df_hash,22ZHK4.25F3JF
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7JT9
person_label,V145
date_time_start,2026-06-08_16-35-56.969000_+03
date_time_start_unix,1780918556.969
date_time_end,2026-06-08_16-48-43.335000_+03
length_difference_noticed,no

time,spo2
125.318,95
128.441,95
137.947,95
147.549,95
176.473,95
181.135,95
192.056,95
192.929,95
198.535,95
200.635,95
201.514,95
203.312,95
204.190,95
206.286,95
208.436,95
209.311,95
209.848,95
214.932,95
218.574,95
235.148,95
236.171,95
238.813,95
239.680,95
248.793,95
251.675,95
260.418,95
261.424,96
263.518,96
267.665,96
268.493,96
269.468,96
270.342,95
272.253,95
273.222,96
284.870,96
286.675,96
288.671,96
293.113,96
294.811,96
296.720,96
305.197,96
306.234,96
314.071,96
315.727,96
317.381,96
317.581,96
325.378,96
327.185,96
328.059,96
328.349,96
330.886,96
333.422,96
337.318,96
339.272,96
340.198,96
343.070,96
343.951,96
349.705,96
350.775,96
352.487,96
354.532,96
355.457,96
358.482,96
361.205,96
362.097,95
363.012,95
374.294,95
375.257,95
376.124,95
377.100,95
378.217,95
379.924,95
381.098,95
385.437,95
387.978,94
389.773,94
390.554,94
418.781,94
419.757,94
419.848,94
421.851,94
424.725,95
426.773,95
427.700,95
431.453,95
435.408,95
436.328,95
437.454,96
438.278,96
439.109,96
440.082,96
441.202,96
441.886,96
443.689,96
447.981,96
459.534,96
471.768,96
473.960,96
497.070,96
503.893,96
504.718,96
506.575,96
514.032,96
516.664,96
517.006,96
517.835,96
526.804,96
531.626,96
537.335,96
540.015,96
541.046,96
543.673,96
545.438,96
547.281,96
548.061,96
549.958,96
551.031,96
551.519,96
555.127,96
557.127,96
557.953,96
558.783,96
559.656,96
560.440,96
561.415,96
569.606,96
569.652,96
580.722,96
584.912,96
588.666,96
602.997,96
606.709,96
610.212,96
613.866,96
616.451,96
618.409,96
632.442,96
638.631,96
642.144,96
643.994,96
644.920,95
647.653,95
648.329,95
648.770,96
654.280,95
656.227,96
656.863,96
667.053,95
685.302,95
688.308,96
689.233,95
689.473,95
694.400,95
695.567,95
696.496,95
697.568,96
699.372,96
712.582,95
713.465,95
717.945,95
718.873,95
719.847,96
720.967,95
722.625,95
725.890,95
729.987,95
732.911,95
736.368,95
742.274,95
744.219,95
