df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,omega
68.315,0.564
68.652,0.584
76.692,0.587
80.111,0.589
110.629,0.592
111.555,0.595
112.530,0.603
124.230,0.595
129.788,0.603
168.936,0.595
173.372,0.592
191.310,0.611
195.504,0.611
251.911,0.609
252.740,0.608
273.550,0.578
281.551,0.575
319.489,0.575
321.933,0.580
325.876,0.595
328.639,0.587
346.040,0.595
347.068,0.601
353.750,0.608
354.435,0.665
360.126,0.723
367.297,0.727
373.682,0.731
373.884,0.738
393.971,0.744
403.718,0.747
417.854,0.744
455.242,0.747
457.878,0.750
475.620,0.750
488.497,0.750
