df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,acc_mag
4.858,0.994
4.888,0.988
4.918,0.994
4.948,0.988
4.978,0.994
5.008,0.987
5.038,0.992
5.068,0.992
5.098,0.991
5.128,0.995
5.158,0.997
5.188,0.997
5.218,0.993
5.248,0.998
5.278,0.990
5.308,0.992
5.338,0.996
5.368,0.994
5.398,0.996
5.428,0.998
5.458,0.999
5.488,0.995
5.518,0.983
5.548,0.995
5.578,0.991
5.608,0.994
5.638,0.996
5.668,0.993
5.698,0.981
5.728,0.994
5.758,0.996
5.788,0.986
5.818,1.004
5.848,0.990
5.878,0.996
5.908,0.992
5.938,0.992
5.968,0.992
5.998,0.998
6.028,0.996
6.058,0.995
6.088,0.995
6.118,0.994
6.148,0.993
6.178,0.994
6.208,0.994
6.238,0.993
6.268,0.993
6.298,0.996
6.328,0.996
6.358,0.993
6.388,0.995
6.418,0.994
6.448,0.999
6.478,0.988
6.508,0.996
6.538,0.998
6.568,0.989
6.598,0.994
6.628,0.990
6.658,0.993
6.688,0.998
6.718,0.996
6.748,0.994
6.778,0.993
6.808,0.997
6.838,0.995
6.868,0.995
6.898,0.994
6.928,0.995
6.958,0.997
6.988,0.993
7.018,0.996
7.048,0.997
7.078,0.992
7.108,0.997
7.138,0.994
7.168,0.995
7.198,0.997
7.228,0.994
7.258,0.994
7.288,0.993
7.318,0.993
7.348,0.997
7.378,0.993
7.408,0.994
7.438,0.993
7.468,0.993
7.498,1.002
7.528,0.996
7.558,0.992
7.588,0.991
7.618,0.993
7.648,0.996
7.678,0.994
7.708,0.994
7.738,0.990
7.768,0.995
7.798,0.997
7.828,0.993
7.858,0.994
7.888,0.989
7.918,0.994
7.948,0.994
7.978,0.993
8.008,0.995
8.038,0.994
8.068,0.990
8.098,0.993
8.128,0.996
8.158,0.994
8.188,0.993
8.218,0.993
8.248,0.993
8.278,0.993
8.308,0.993
8.338,0.999
8.368,0.996
8.398,0.992
8.428,0.993
8.458,0.995
8.488,1.000
8.518,0.997
8.548,0.992
8.578,0.988
8.608,0.996
8.638,0.999
8.668,1.001
8.698,0.993
8.728,0.992
8.758,0.999
8.788,0.993
8.818,0.996
8.848,0.992
8.878,0.990
8.908,0.994
8.938,1.000
8.968,0.995
8.998,0.995
9.028,0.993
9.058,0.992
9.088,0.993
9.118,0.996
9.148,0.994
9.178,0.995
9.208,0.991
9.238,0.999
9.268,0.997
9.298,0.997
9.328,0.994
9.358,0.997
9.388,0.992
9.418,0.996
9.448,0.995
9.478,0.994
9.508,0.988
9.538,0.989
9.568,0.997
9.598,0.998
9.628,1.000
9.658,0.988
9.688,0.992
9.718,1.000
9.748,0.996
9.778,0.992
9.808,0.995
9.838,0.996
9.868,0.997
9.898,0.991
9.928,0.997
9.958,0.992
9.988,0.995
10.018,0.999
10.048,0.997
10.078,0.990
10.108,0.991
10.138,0.995
10.168,0.992
10.198,0.994
10.228,0.992
10.258,0.996
10.288,0.995
10.318,0.997
10.348,0.998
10.378,0.991
10.408,0.993
10.438,0.993
10.468,0.995
10.498,0.997
10.528,1.002
10.558,0.989
10.588,0.994
10.618,0.997
10.648,0.997
10.678,0.996
10.708,0.996
10.738,0.996
10.768,0.993
10.798,0.992
10.828,0.997
10.858,0.996
10.888,0.999
10.918,0.996
10.948,0.995
10.978,0.996
11.008,0.997
11.038,0.999
11.068,0.998
11.098,0.991
11.128,0.994
11.158,0.995
11.188,0.999
11.218,0.993
11.248,0.992
11.278,0.994
11.308,0.994
11.338,0.996
11.368,0.999
11.398,0.993
11.428,0.995
11.458,0.999
11.488,0.993
11.518,1.000
11.548,0.995
11.578,0.992
11.608,0.996
11.638,1.000
11.668,0.994
11.698,0.996
11.728,0.997
11.758,0.992
11.788,0.989
11.818,0.995
11.848,0.993
11.878,0.995
11.908,1.001
11.938,0.996
11.968,0.994
11.998,0.994
12.028,0.997
12.058,1.000
12.088,0.996
12.118,0.992
12.148,0.990
12.178,0.994
12.208,0.994
12.238,1.004
12.268,0.992
12.298,0.992
12.328,0.998
12.358,0.996
12.388,0.990
12.418,0.997
12.448,0.996
12.478,0.990
12.508,0.990
12.538,0.995
12.568,1.001
12.598,1.001
12.628,0.999
12.658,0.993
12.688,0.996
12.718,0.992
12.748,0.996
12.778,1.002
12.808,0.994
12.838,0.985
12.868,0.994
12.898,0.998
12.928,0.989
12.958,0.994
12.988,0.988
13.018,0.992
13.048,0.992
13.078,1.003
13.108,0.995
13.138,0.995
13.168,0.991
13.198,0.990
13.228,0.992
13.258,0.991
13.288,0.994
13.318,0.995
13.348,0.998
13.378,0.998
13.408,0.995
13.438,0.996
13.468,0.992
13.498,0.994
13.528,0.998
13.558,0.996
13.588,0.999
13.618,0.990
13.648,0.992
13.678,0.996
13.708,0.995
13.738,0.994
13.768,0.995
13.798,0.996
13.828,0.998
13.858,0.999
13.888,0.994
13.918,0.994
13.948,0.994
13.978,0.994
14.008,0.992
14.038,0.995
14.068,0.993
14.098,1.000
14.128,0.996
14.158,1.000
14.188,0.995
14.218,0.991
