df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,ppg_quality
57.938,92
58.948,101
59.958,100
60.968,96
62.988,84
65.008,81
67.028,76
68.038,76
69.038,75
71.058,77
72.068,83
74.088,90
76.108,94
78.128,104
79.138,108
80.148,107
82.168,104
83.178,103
85.198,87
87.218,73
89.238,61
90.248,54
92.268,56
93.278,53
94.288,55
96.308,41
97.318,28
98.328,19
100.348,25
102.358,25
104.378,35
105.388,45
107.408,71
109.428,79
110.438,78
111.448,77
112.458,79
113.468,82
115.488,86
117.508,84
118.518,84
120.538,91
122.558,92
124.578,87
126.598,85
128.618,85
129.628,85
130.638,83
131.648,81
133.658,80
135.678,78
137.698,71
138.708,67
140.728,53
142.748,34
144.768,35
146.788,28
148.808,27
151.838,32
153.858,45
154.868,44
155.878,45
157.898,36
159.918,31
160.928,31
162.948,25
164.968,11
166.988,18
169.008,49
171.028,60
172.038,66
174.058,86
176.078,94
178.098,93
180.118,63
182.138,40
184.158,30
185.168,27
187.188,18
188.198,22
189.208,30
191.228,43
193.248,62
196.278,77
197.288,78
198.298,75
200.318,87
202.338,93
204.358,88
206.378,85
208.398,86
209.408,88
211.428,88
213.448,89
214.458,85
215.468,86
217.488,89
220.518,94
222.538,93
224.558,97
226.578,90
227.588,86
229.608,81
231.628,80
233.648,89
235.668,72
237.688,70
238.698,74
239.708,61
240.718,58
242.738,43
244.758,33
246.778,31
248.798,22
250.818,39
251.828,37
253.848,44
255.868,54
257.888,70
258.898,77
259.908,53
260.918,34
262.938,24
264.958,21
266.978,7
271.018,32
272.028,49
274.048,56
276.068,66
278.088,86
280.108,95
282.128,100
284.148,104
287.178,98
288.188,94
289.198,92
291.218,91
293.238,82
294.248,79
295.258,79
298.288,81
300.308,78
302.328,79
303.338,78
305.358,61
306.368,71
307.378,69
308.388,64
309.398,56
311.418,48
313.438,51
315.458,68
317.478,50
318.488,44
320.508,48
321.518,58
322.528,36
323.538,24
324.548,15
326.568,23
328.588,38
331.618,36
333.638,65
334.648,75
335.658,67
337.678,66
338.688,61
340.708,60
342.728,57
343.738,57
344.748,57
346.768,62
349.798,71
350.808,74
351.818,77
352.828,77
353.838,77
355.858,71
357.878,64
359.898,41
360.908,33
361.918,34
364.948,6
366.968,1
368.988,8
371.008,26
372.018,27
373.028,37
374.038,49
376.058,65
378.078,71
380.098,74
381.108,72
382.118,73
383.128,73
384.138,74
385.148,74
386.158,72
387.168,73
389.188,70
391.208,67
393.228,66
395.248,66
397.268,66
398.278,65
399.288,66
400.298,69
402.318,75
404.338,71
406.358,73
409.388,53
411.408,47
413.428,51
415.448,51
416.458,53
417.468,77
418.478,77
419.488,79
420.498,71
422.518,79
424.538,79
425.548,77
426.558,74
428.578,71
429.588,68
430.598,66
431.608,64
433.628,68
435.648,66
437.668,67
438.678,68
439.688,68
441.708,70
442.718,68
443.728,65
444.738,65
446.758,65
448.778,67
450.798,64
452.818,67
455.848,66
457.868,63
458.878,60
459.888,59
461.908,61
462.918,62
463.928,66
464.938,66
466.958,64
468.978,69
470.998,73
473.018,70
474.028,69
475.038,72
476.048,73
477.058,71
478.068,67
480.088,72
482.108,66
484.128,54
486.148,53
488.168,61
489.178,61
491.198,60
493.218,74
494.228,79
495.238,81
497.258,78
498.268,78
500.288,42
502.308,54
504.328,41
505.338,43
507.358,42
509.378,40
510.388,64
511.398,48
513.418,59
515.438,48
517.458,37
519.478,33
