df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
6.626,-0.588,0.801,0.061
6.636,-0.590,0.799,0.062
6.646,-0.588,0.797,0.066
6.656,-0.590,0.797,0.061
6.666,-0.592,0.799,0.062
6.675,-0.592,0.801,0.062
6.685,-0.592,0.799,0.062
6.695,-0.588,0.797,0.062
6.705,-0.592,0.799,0.062
6.715,-0.590,0.799,0.064
6.725,-0.588,0.803,0.066
6.735,-0.586,0.801,0.062
6.745,-0.586,0.797,0.062
6.755,-0.584,0.795,0.061
6.765,-0.586,0.799,0.061
6.775,-0.584,0.805,0.062
6.785,-0.582,0.801,0.062
6.795,-0.584,0.805,0.064
6.805,-0.586,0.803,0.062
6.815,-0.584,0.805,0.061
6.824,-0.584,0.803,0.061
6.834,-0.584,0.803,0.062
6.844,-0.584,0.801,0.064
6.854,-0.584,0.803,0.061
6.864,-0.584,0.801,0.061
6.874,-0.588,0.799,0.059
6.884,-0.588,0.799,0.059
6.894,-0.584,0.801,0.059
6.904,-0.582,0.803,0.059
6.914,-0.588,0.801,0.061
6.924,-0.588,0.801,0.059
6.934,-0.588,0.799,0.061
6.944,-0.588,0.803,0.059
6.954,-0.588,0.803,0.061
6.964,-0.586,0.803,0.057
6.973,-0.586,0.799,0.062
6.983,-0.586,0.801,0.061
6.993,-0.586,0.801,0.061
7.003,-0.588,0.801,0.062
7.013,-0.586,0.801,0.059
7.023,-0.586,0.799,0.059
7.033,-0.588,0.803,0.061
7.043,-0.588,0.801,0.055
7.053,-0.588,0.799,0.059
7.063,-0.582,0.801,0.061
7.073,-0.584,0.803,0.062
7.083,-0.586,0.803,0.059
7.093,-0.586,0.805,0.061
7.103,-0.586,0.801,0.059
7.112,-0.584,0.801,0.061
7.122,-0.586,0.801,0.059
7.132,-0.584,0.801,0.059
7.142,-0.586,0.801,0.061
7.152,-0.588,0.801,0.061
7.162,-0.586,0.799,0.059
7.172,-0.586,0.799,0.062
7.182,-0.588,0.803,0.062
7.192,-0.588,0.801,0.062
7.202,-0.586,0.801,0.062
7.212,-0.588,0.799,0.064
7.222,-0.586,0.801,0.062
7.232,-0.586,0.801,0.062
7.242,-0.582,0.803,0.064
7.252,-0.584,0.801,0.062
7.261,-0.588,0.801,0.062
7.271,-0.586,0.799,0.062
7.281,-0.584,0.799,0.059
7.291,-0.588,0.801,0.061
7.301,-0.584,0.801,0.061
7.311,-0.586,0.801,0.062
7.321,-0.586,0.799,0.059
7.331,-0.588,0.803,0.062
7.341,-0.590,0.801,0.061
7.351,-0.590,0.805,0.062
7.361,-0.584,0.801,0.062
7.371,-0.584,0.801,0.062
7.381,-0.578,0.797,0.064
7.391,-0.582,0.803,0.064
7.400,-0.588,0.807,0.066
7.410,-0.588,0.809,0.066
7.420,-0.584,0.801,0.064
7.430,-0.582,0.795,0.062
