df_hash,22ZHK4.LYE8RS
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XR9V
person_label,V20
date_time_start,2025-05-23_10-51-26.361000_+03
date_time_start_unix,1747986686.361
date_time_end,2025-05-23_11-00-10.433000_+03
length_difference_noticed,no

time,rr_int
10.732,3980
11.561,1850
12.390,820
13.219,880
13.658,830
14.048,300
14.194,495
14.342,170
14.489,40
14.492,10
15.055,10
15.608,755
16.437,560
17.418,845
17.679,975
17.707,220
17.948,10
18.777,270
19.605,910
20.438,840
20.727,825
21.701,330
23.359,945
23.944,1630
24.919,550
25.748,990
26.723,915
27.407,895
27.698,805
27.702,195
27.844,15
28.234,10
29.209,605
30.184,920
31.013,950
31.988,930
32.134,860
32.670,230
33.256,500
33.499,850
35.352,940
36.278,945
37.156,950
37.984,860
38.813,810
39.496,795
40.178,760
40.470,720
41.007,205
41.299,610
41.986,280
42.811,630
43.688,885
44.637,925
45.589,925
46.467,985
47.003,835
47.009,480
47.150,215
48.663,740
48.820,725
48.955,195
49.245,10
49.928,455
50.611,630
51.293,680
52.024,715
52.853,780
53.682,815
54.511,820
55.485,865
56.461,925
57.436,970
58.265,960
59.094,890
59.922,830
60.899,805
61.046,730
61.335,245
62.165,495
62.993,820
63.822,850
64.650,870
65.625,855
66.455,875
67.283,900
68.258,885
68.550,895
69.090,325
69.916,490
70.800,890
71.768,890
72.748,980
73.670,990
74.644,920
75.522,940
76.453,910
77.423,970
78.301,975
79.277,885
79.958,980
80.254,680
81.177,250
81.618,940
81.908,485
82.737,275
83.566,820
84.011,860
84.267,425
85.370,305
85.964,1110
87.173,540
87.320,1290
87.473,140
87.476,40
87.612,10
87.759,365
87.763,20
87.766,10
87.855,10
87.859,20
89.123,270
89.964,995
90.781,905
91.223,870
91.659,305
92.586,545
92.731,885
92.739,215
92.877,15
92.883,10
93.469,15
94.291,595
94.535,795
94.858,360
95.071,250
95.120,225
96.631,845
96.805,705
97.314,225
98.191,590
99.117,845
99.994,880
100.970,900
101.798,920
102.774,935
103.602,905
103.749,855
103.846,210
103.849,10
104.431,10
105.259,600
106.094,855
106.237,815
106.244,190
106.917,15
107.746,600
108.721,895
109.696,945
110.524,980
111.499,940
112.474,935
113.303,950
113.601,895
113.647,180
113.651,10
113.654,10
114.132,10
115.010,610
115.941,880
116.813,865
117.519,850
118.325,800
119.454,830
120.128,900
121.107,930
122.078,930
122.907,925
123.882,915
124.175,915
124.713,300
125.589,635
125.686,770
125.689,215
125.832,10
126.368,420
126.807,215
127.636,445
128.611,770
129.732,1025
130.708,1045
131.683,1005
132.658,1030
133.584,1000
134.474,905
135.680,950
135.999,1130
136.002,395
136.363,10
137.484,305
138.070,1210
138.316,485
138.897,260
139.190,585
139.193,370
139.292,10
139.336,10
139.339,15
139.343,15
139.347,10
139.580,10
139.584,15
140.408,235
140.555,950
140.560,10
140.706,20
140.993,15
141.676,440
142.895,685
143.484,1285
144.337,615
144.991,735
145.837,710
146.022,820
146.063,150
146.649,25
147.623,740
148.599,1010
149.574,955
150.548,940
151.524,1015
152.383,960
153.181,885
153.473,810
154.010,210
154.888,615
155.718,850
155.960,805
156.399,245
156.935,480
156.939,530
157.085,235
158.056,755
158.495,220
159.324,415
159.860,735
160.006,555
160.543,220
160.553,480
160.556,15
160.716,10
160.841,310
161.810,785
161.813,210
161.858,10
163.085,510
164.053,785
165.028,885
166.002,995
167.026,1015
167.918,990
168.781,945
169.473,850
169.707,755
169.713,190
169.767,10
170.147,10
170.830,465
171.658,700
172.389,770
173.217,750
174.193,900
174.339,905
174.344,160
174.488,45
175.028,10
175.314,655
175.862,245
176.679,615
176.973,830
177.023,290
177.026,10
177.508,10
177.800,490
178.491,250
178.629,690
178.775,250
179.068,70
179.897,325
180.146,765
180.432,300
180.436,305
181.115,10
181.262,800
182.919,1160
184.489,595
185.844,1490
186.283,1460
186.527,640
187.501,765
187.506,150
187.650,15
187.940,10
188.232,510
188.237,195
188.381,10
188.384,10
188.623,15
189.451,480
190.280,780
191.161,835
191.255,870
191.401,175
191.405,35
191.645,10
191.989,10
192.230,615
192.815,300
193.644,530
193.791,815
193.887,210
193.892,10
193.943,15
194.473,15
195.155,550
195.450,765
195.506,200
195.867,15
196.715,525
197.544,785
198.372,805
199.205,865
200.176,915
201.152,955
201.859,900
202.127,800
202.671,200
203.638,635
204.613,965
205.442,955
206.416,890
207.246,855
208.220,875
208.225,885
208.610,185
208.614,10
208.617,10
208.936,10
209.195,630
209.201,230
209.732,10
210.024,570
210.030,230
210.468,10
210.863,510
211.145,235
211.974,430
212.657,765
213.674,775
214.606,975
214.613,990
215.581,10
216.557,980
216.703,930
216.711,165
216.714,50
217.385,10
217.531,625
218.214,195
219.189,710
220.034,915
220.310,905
220.313,230
220.896,10
220.993,570
221.870,165
221.873,645
222.553,210
223.394,615
224.214,870
225.039,845
225.186,860
225.333,200
225.339,10
225.348,10
226.014,535
226.551,155
226.697,580
226.843,190
227.284,50
228.118,505
228.939,820
229.930,865
230.596,880
230.889,830
230.892,210
231.425,10
232.172,540
232.403,750
232.842,10
232.849,680
234.230,10
235.204,1425
236.008,885
236.885,865
237.129,880
237.133,220
237.275,135
237.279,10
238.544,620
240.058,635
242.151,1585
242.297,2080
242.443,345
