df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
15.949,1.074
15.979,1.070
16.009,1.083
16.039,1.079
16.069,1.073
16.099,1.084
16.129,1.082
16.159,1.072
16.189,1.074
16.219,1.077
16.249,1.078
16.279,1.074
16.309,1.076
16.339,1.083
16.369,1.078
16.399,1.073
16.429,1.076
16.459,1.076
16.489,1.075
16.519,1.072
16.549,1.079
16.579,1.079
16.609,1.074
16.639,1.075
16.669,1.075
16.699,1.085
16.729,1.083
16.759,1.075
16.789,1.076
16.819,1.076
16.849,1.077
16.879,1.072
16.909,1.076
16.939,1.077
16.969,1.077
16.999,1.078
17.029,1.074
17.059,1.073
17.089,1.072
17.119,1.081
17.149,1.078
17.179,1.079
17.209,1.076
17.239,1.075
17.269,1.076
17.299,1.072
17.329,1.076
17.359,1.070
17.389,1.077
17.419,1.070
17.449,1.079
17.479,1.074
17.509,1.081
17.539,1.076
17.569,1.072
17.599,1.070
17.629,1.076
17.659,1.080
17.689,1.080
17.719,1.077
17.749,1.072
17.779,1.075
17.809,1.081
17.839,1.078
17.869,1.078
17.899,1.076
17.929,1.078
17.959,1.078
17.989,1.069
18.019,1.079
18.049,1.080
18.079,1.080
18.109,1.075
18.139,1.078
18.169,1.069
18.199,1.063
18.229,1.093
18.259,1.080
18.289,1.065
18.319,1.067
18.349,1.083
18.379,1.084
18.409,1.075
18.439,1.073
18.469,1.075
18.499,1.074
18.529,1.071
18.559,1.076
18.589,1.081
18.619,1.074
18.649,1.072
18.679,1.076
18.709,1.077
18.739,1.078
18.769,1.081
18.799,1.077
18.829,1.081
18.859,1.069
18.889,1.074
18.919,1.081
18.949,1.077
18.979,1.072
19.009,1.073
19.039,1.077
19.069,1.077
19.099,1.075
19.129,1.075
19.159,1.077
19.189,1.075
19.219,1.079
19.249,1.077
19.279,1.072
19.309,1.074
19.339,1.079
19.369,1.075
19.399,1.073
19.429,1.082
19.459,1.078
19.489,1.074
19.519,1.076
19.549,1.075
19.579,1.078
19.609,1.082
19.639,1.072
19.669,1.066
19.699,1.076
19.729,1.082
19.759,1.081
19.789,1.072
19.819,1.071
19.849,1.077
19.879,1.076
19.909,1.081
19.939,1.087
19.969,1.073
19.999,1.071
20.029,1.077
20.059,1.076
20.089,1.069
20.119,1.080
20.149,1.078
20.179,1.071
20.209,1.076
20.239,1.067
20.269,1.083
20.299,1.076
20.329,1.074
20.359,1.075
20.389,1.072
20.419,1.082
20.449,1.079
20.479,1.076
20.509,1.069
20.539,1.076
20.569,1.078
20.599,1.077
20.629,1.077
20.659,1.078
20.689,1.074
20.719,1.068
20.749,1.073
20.779,1.081
20.809,1.077
20.839,1.071
20.869,1.075
20.899,1.076
20.929,1.079
20.959,1.078
20.989,1.068
21.019,1.081
21.049,1.078
21.079,1.079
21.109,1.076
21.139,1.074
21.169,1.073
21.199,1.075
21.229,1.076
21.259,1.077
21.289,1.079
21.319,1.075
21.349,1.077
21.379,1.074
21.409,1.075
21.439,1.079
21.469,1.078
21.499,1.071
21.529,1.071
21.559,1.077
21.589,1.084
21.619,1.074
21.649,1.069
21.679,1.073
21.709,1.084
21.739,1.077
21.769,1.074
21.799,1.074
21.829,1.078
21.859,1.070
21.889,1.074
21.919,1.078
21.949,1.077
21.979,1.074
22.009,1.073
22.039,1.078
22.069,1.076
22.099,1.077
22.129,1.068
22.159,1.076
22.189,1.075
22.219,1.074
22.249,1.078
22.279,1.075
22.309,1.071
22.339,1.076
22.369,1.075
22.399,1.078
22.429,1.077
22.459,1.077
22.489,1.075
22.519,1.073
22.549,1.079
22.579,1.081
22.609,1.074
22.639,1.076
22.669,1.074
22.699,1.078
22.729,1.074
22.759,1.074
22.789,1.075
22.819,1.078
22.849,1.077
22.879,1.074
22.909,1.078
22.939,1.080
22.969,1.075
22.999,1.072
23.029,1.072
23.059,1.074
23.089,1.083
23.119,1.080
23.149,1.075
23.179,1.073
23.209,1.073
23.239,1.074
23.269,1.075
23.299,1.077
23.329,1.069
23.359,1.076
23.389,1.078
23.419,1.077
23.449,1.074
23.479,1.083
23.509,1.072
23.539,1.076
23.569,1.076
23.599,1.079
23.629,1.079
23.659,1.077
23.689,1.070
23.719,1.072
23.749,1.080
23.779,1.077
23.809,1.076
23.839,1.073
