df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,perfusion_ir
22.549,0.390
23.328,0.380
23.926,0.380
24.498,0.370
25.181,0.370
25.863,0.370
26.543,0.380
27.379,0.380
28.062,0.380
28.644,0.370
33.176,0.370
34.009,0.370
34.641,0.370
35.318,0.360
36.102,0.370
36.740,0.360
37.561,0.360
38.100,0.360
38.782,0.370
39.469,0.360
40.293,0.360
40.979,0.360
41.461,0.360
42.157,0.360
42.877,0.360
43.511,0.350
44.051,0.350
44.779,0.340
45.461,0.350
46.101,0.350
46.829,0.350
47.557,0.350
48.337,0.340
49.020,0.340
49.608,0.340
50.431,0.340
51.263,0.340
51.701,0.340
52.383,0.340
53.070,0.340
53.700,0.340
54.343,0.340
55.162,0.340
55.747,0.340
56.444,0.340
57.112,0.340
61.453,0.350
62.036,0.350
66.573,0.340
67.986,0.340
68.915,0.340
69.203,0.350
69.982,0.350
71.152,0.350
71.835,0.340
72.531,0.340
73.252,0.340
73.931,0.340
79.882,0.340
80.320,0.340
81.151,0.340
83.890,0.330
84.560,0.330
85.238,0.330
85.875,0.330
86.465,0.330
87.042,0.320
87.929,0.320
88.413,0.320
89.093,0.320
89.772,0.310
90.360,0.310
91.186,0.310
91.969,0.310
92.551,0.310
93.139,0.310
93.821,0.310
94.559,0.310
95.284,0.320
95.968,0.320
96.598,0.320
97.137,0.320
97.866,0.320
98.523,0.320
99.287,0.330
99.927,0.330
100.612,0.330
101.329,0.340
102.017,0.340
102.703,0.340
103.377,0.340
104.108,0.350
105.283,0.350
106.058,0.350
106.740,0.350
107.423,0.350
108.105,0.350
108.788,0.350
109.617,0.350
110.348,0.350
110.987,0.350
111.564,0.350
112.298,0.350
112.981,0.350
113.620,0.350
114.297,0.350
115.027,0.350
115.615,0.350
116.296,0.350
116.978,0.350
117.715,0.350
118.392,0.350
118.949,0.350
119.760,0.350
120.974,0.350
123.462,0.340
123.949,0.340
124.534,0.340
125.215,0.350
125.460,0.350
127.215,0.340
127.846,0.340
128.529,0.340
129.458,0.340
131.067,0.340
131.701,0.340
133.076,0.340
133.797,0.340
135.169,0.350
136.573,0.350
139.306,0.340
140.476,0.340
141.158,0.350
142.386,0.350
143.111,0.350
143.791,0.350
144.522,0.350
147.156,0.350
147.837,0.350
149.836,0.350
151.155,0.350
151.693,0.360
152.417,0.360
152.956,0.360
154.221,0.350
154.764,0.350
157.536,0.340
158.462,0.340
159.196,0.340
159.632,0.340
160.268,0.340
160.910,0.340
161.626,0.340
162.316,0.340
162.948,0.340
163.494,0.340
164.315,0.340
165.047,0.340
165.485,0.340
166.164,0.340
166.693,0.340
167.292,0.340
168.666,0.340
169.238,0.340
169.774,0.340
170.555,0.340
171.148,0.340
171.968,0.340
172.555,0.340
173.331,0.340
173.919,0.340
174.549,0.330
175.283,0.330
175.966,0.330
176.558,0.340
178.114,0.350
180.061,0.340
181.285,0.340
181.969,0.340
183.376,0.350
184.059,0.350
184.644,0.350
185.519,0.350
186.057,0.360
187.428,0.360
188.199,0.360
188.258,0.360
192.102,0.360
192.934,0.350
194.491,0.350
195.366,0.350
195.905,0.360
196.588,0.350
197.370,0.350
198.098,0.350
198.830,0.350
200.205,0.350
200.975,0.350
201.462,0.350
202.145,0.350
202.784,0.340
203.519,0.340
208.240,0.350
209.068,0.350
209.506,0.350
211.456,0.350
212.823,0.350
214.626,0.350
216.576,0.350
217.989,0.360
218.671,0.360
220.085,0.360
221.545,0.360
222.178,0.360
222.826,0.370
223.544,0.370
224.866,0.370
225.546,0.370
227.590,0.370
228.909,0.380
229.457,0.380
230.225,0.380
231.100,0.380
232.272,0.390
233.007,0.400
234.466,0.400
234.951,0.400
235.883,0.400
236.319,0.400
237.666,0.400
238.516,0.400
239.150,0.400
239.788,0.400
240.509,0.400
242.390,0.400
243.193,0.400
243.872,0.390
244.527,0.390
245.204,0.390
246.028,0.390
247.392,0.380
248.839,0.380
249.530,0.380
250.215,0.380
250.895,0.370
252.358,0.370
252.851,0.370
253.533,0.370
255.341,0.370
262.991,0.360
263.765,0.360
264.202,0.360
270.054,0.360
271.468,0.360
273.662,0.360
274.344,0.360
276.245,0.360
277.367,0.360
278.391,0.360
279.512,0.370
280.292,0.370
280.779,0.380
281.657,0.380
283.217,0.380
284.342,0.390
285.703,0.390
286.432,0.390
286.873,0.390
287.557,0.390
288.238,0.390
290.871,0.400
291.850,0.400
294.478,0.400
300.435,0.400
300.770,0.400
301.300,0.400
301.986,0.400
305.158,0.400
305.645,0.400
306.324,0.400
307.108,0.400
307.787,0.400
308.246,0.410
308.970,0.410
311.639,0.410
312.272,0.410
312.915,0.410
313.693,0.410
319.195,0.410
322.073,0.420
322.805,0.420
325.919,0.410
327.680,0.420
328.408,0.430
330.212,0.430
333.039,0.430
333.573,0.430
335.524,0.430
346.264,0.430
349.225,0.430
356.732,0.430
357.269,0.430
358.049,0.430
358.631,0.430
359.224,0.430
362.385,0.430
364.095,0.420
365.410,0.420
366.190,0.430
368.822,0.430
369.456,0.430
371.070,0.430
372.381,0.430
