df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,quality
14.700,61
15.578,67
16.806,64
17.673,70
18.599,67
19.772,73
20.650,80
21.547,77
22.743,79
23.621,79
24.550,79
25.718,77
26.596,80
27.580,77
28.886,78
29.865,74
30.541,69
31.667,66
32.837,59
33.469,50
34.736,60
35.518,50
36.446,55
37.613,71
38.498,78
39.417,81
40.681,74
41.559,77
42.391,74
43.901,71
44.486,70
45.364,79
46.534,78
47.464,81
48.535,81
49.528,82
50.529,81
51.506,81
52.530,84
53.410,81
54.287,77
55.550,75
56.427,77
57.259,74
58.478,78
59.547,77
60.233,76
61.548,69
62.329,67
63.352,70
64.426,55
65.303,55
66.183,57
67.400,62
68.277,64
69.451,72
70.373,73
71.250,75
72.420,72
73.347,68
74.224,66
75.101,60
76.512,59
77.198,57
78.124,59
79.294,60
80.269,63
81.099,65
82.362,64
83.146,66
84.072,67
85.438,76
86.413,75
87.242,72
88.358,69
89.434,71
90.166,78
91.286,76
92.116,77
92.993,76
94.452,75
95.089,79
96.259,79
97.529,81
98.209,81
99.230,81
100.119,74
101.039,74
101.961,75
103.140,74
104.013,77
104.917,75
106.108,77
107.082,77
107.862,78
109.081,78
109.959,78
110.836,76
112.055,75
113.228,70
113.809,67
115.177,74
116.201,76
116.783,75
118.051,70
118.925,69
119.854,65
121.411,54
121.853,54
122.779,61
124.342,61
124.829,58
125.848,63
126.925,65
127.947,63
128.728,70
129.897,69
130.778,70
131.750,71
132.873,70
134.046,67
134.675,67
135.990,71
136.722,72
137.649,73
138.819,72
139.696,65
140.622,59
141.938,61
142.965,60
143.645,63
144.863,78
145.696,78
146.667,83
147.741,80
148.666,79
149.592,78
151.118,76
151.640,72
152.546,72
154.028,69
154.708,65
155.493,60
156.805,59
157.587,48
158.470,55
159.878,65
160.856,65
161.441,71
162.657,76
163.535,78
164.416,77
165.631,77
166.509,75
167.386,75
168.607,75
169.509,74
170.405,75
171.579,67
172.502,54
173.479,58
174.613,67
175.430,71
176.308,72
177.918,71
178.404,74
179.284,77
180.500,71
181.378,60
182.304,62
183.474,70
184.448,73
185.278,71
186.449,71
187.327,73
188.498,70
189.421,68
190.540,71
191.225,73
192.395,70
193.275,69
194.200,70
195.417,72
196.295,68
197.267,66
198.489,66
199.277,75
200.147,75
201.317,72
202.246,69
203.215,60
204.291,51
205.263,51
206.286,49
207.504,54
208.191,53
209.365,53
210.239,56
211.165,69
212.041,73
213.222,71
214.186,70
215.016,72
216.234,66
217.266,59
218.057,65
219.209,72
220.134,76
220.964,72
222.230,73
223.071,71
223.936,72
225.445,72
226.043,72
226.910,75
228.223,72
229.007,71
229.896,68
231.148,71
231.983,72
232.952,72
234.101,64
235.198,65
236.177,60
237.051,61
237.928,65
238.854,68
240.049,71
240.904,76
241.829,76
242.998,74
243.924,72
244.802,69
245.973,61
246.876,53
247.778,70
248.946,73
249.872,74
250.749,77
251.926,64
253.097,60
253.918,63
254.893,66
256.015,30
256.700,36
258.208,34
258.793,0
259.675,0
260.867,33
261.773,35
262.646,50
264.058,58
264.786,59
265.859,67
266.789,68
267.715,38
268.600,22
269.762,35
270.698,33
271.660,18
272.736,26
273.964,20
274.738,50
275.855,30
276.928,25
277.514,35
278.685,55
279.853,42
280.487,49
282.096,52
282.827,27
283.461,30
284.635,51
285.603,65
286.529,66
287.653,68
288.628,71
289.408,73
290.628,79
291.505,83
292.409,84
293.744,75
294.525,74
295.356,71
296.575,59
297.452,56
298.522,59
299.549,59
300.532,37
301.544,42
302.668,58
303.471,64
304.279,57
305.496,65
306.374,71
307.348,71
308.469,64
309.360,59
310.225,69
311.458,72
312.322,68
313.345,63
314.418,64
315.295,78
316.367,74
317.539,72
318.269,68
319.441,45
320.366,27
321.388,34
322.169,45
323.531,47
324.265,35
325.143,57
326.315,65
327.193,52
328.118,51
329.287,70
330.261,79
331.091,67
332.357,38
333.187,44
334.064,46
335.282,35
336.164,42
337.086,61
338.257,55
339.207,71
340.307,76
341.519,61
342.202,55
342.985,50
344.224,32
345.082,39
345.960,59
347.129,70
348.055,66
348.933,35
350.153,24
351.029,47
351.964,68
353.125,54
354.057,57
354.880,54
356.100,59
356.979,61
357.855,63
359.167,69
359.951,72
360.828,80
362.049,73
362.970,70
363.901,71
365.068,73
365.900,73
366.775,62
368.043,62
368.872,64
369.843,72
370.969,57
371.846,50
372.724,55
373.951,68
374.820,52
375.994,64
376.923,66
377.936,71
378.719,71
379.890,67
380.768,51
381.695,50
382.865,56
383.816,40
384.861,31
385.983,43
386.737,59
387.640,57
388.908,58
389.744,52
390.664,52
391.786,53
392.908,70
393.637,70
394.784,78
395.688,76
396.585,71
398.073,67
398.704,64
399.583,76
400.849,74
401.736,79
402.660,76
403.729,62
404.751,60
405.483,65
406.702,66
407.580,67
408.458,65
409.678,62
410.556,68
411.477,61
412.795,66
413.670,69
414.450,66
415.720,58
416.501,62
417.521,57
418.597,64
419.523,69
420.449,70
421.571,76
422.494,65
423.519,62
424.544,68
425.517,71
426.349,74
427.664,51
428.396,49
429.323,10
