df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,ppg_quality
57.629,67
60.659,63
62.679,63
64.699,54
66.719,50
68.729,58
69.739,61
71.759,62
73.779,69
75.799,76
77.819,77
78.829,71
79.839,71
80.849,70
82.869,69
84.889,71
86.909,65
88.929,70
90.949,68
93.979,70
95.999,72
98.019,73
100.039,75
102.049,77
103.059,81
105.079,83
106.089,82
107.099,86
109.119,86
110.129,85
112.149,86
113.159,84
114.169,86
116.189,86
118.209,86
120.229,86
121.239,82
123.259,76
124.269,77
125.279,78
126.289,78
127.299,78
129.319,78
131.339,84
133.349,93
135.369,92
138.399,94
139.409,94
140.419,96
142.439,98
144.459,97
146.479,92
147.489,91
149.509,84
151.529,77
152.539,76
153.549,76
155.569,77
156.579,76
158.599,77
160.619,80
162.639,79
164.659,79
166.679,79
168.699,82
169.709,82
171.729,84
173.749,85
175.769,87
177.789,89
179.809,92
180.819,94
181.829,95
182.839,95
183.849,96
184.859,97
186.879,97
188.899,96
189.909,96
190.919,96
192.939,96
193.949,94
195.969,92
196.979,92
197.989,91
198.999,91
200.009,90
202.029,88
203.039,86
204.049,87
205.059,85
206.069,83
207.079,77
209.099,65
211.119,65
213.139,66
215.159,69
216.169,73
218.189,86
220.209,94
222.229,94
224.249,97
226.269,99
227.279,98
229.299,102
230.309,105
231.319,104
232.329,106
233.339,105
234.349,107
235.359,106
236.369,108
237.379,106
238.389,107
240.409,105
242.429,104
244.449,102
246.469,100
248.489,98
249.499,99
251.519,98
253.539,98
255.559,96
257.579,79
259.599,54
260.609,47
262.629,26
264.649,9
266.669,11
268.689,23
270.709,41
271.719,48
272.729,53
273.739,54
274.749,57
275.759,62
277.779,62
279.799,62
280.809,61
281.819,64
284.849,82
286.869,82
288.889,86
289.899,88
291.919,81
292.929,76
293.939,72
295.959,63
297.979,55
299.999,45
302.019,43
303.029,45
304.039,45
305.049,46
306.059,50
307.069,54
308.079,58
309.089,60
311.109,68
313.129,69
315.149,74
318.179,67
320.199,65
321.209,64
322.219,58
323.229,55
324.239,51
326.259,42
329.289,32
331.309,37
333.329,45
334.339,41
336.359,43
337.369,50
338.379,56
340.399,48
342.419,42
344.439,51
346.459,57
348.479,50
351.509,57
352.519,51
353.529,47
355.549,38
357.569,32
359.589,31
361.609,37
362.619,40
364.639,44
366.659,54
367.669,60
368.679,65
369.689,65
370.699,66
371.709,64
372.719,62
375.749,60
377.769,57
379.789,56
381.809,60
382.819,68
383.829,67
384.839,65
385.849,61
386.859,60
388.879,62
390.899,78
392.919,71
394.939,76
395.949,79
397.969,75
399.989,60
400.999,50
402.009,43
403.019,47
404.029,49
406.049,50
407.059,51
409.079,43
411.099,37
412.109,42
413.119,48
414.129,50
415.139,47
417.159,45
418.169,43
420.189,47
422.209,42
424.229,33
426.249,39
428.269,58
429.279,65
431.299,73
433.319,70
434.329,61
435.339,56
436.349,56
437.359,50
438.369,46
440.389,10
442.409,18
444.429,36
445.439,37
446.449,37
448.469,30
450.489,53
451.499,61
452.509,52
453.519,40
454.529,35
455.539,39
456.549,41
457.559,40
459.579,58
461.599,61
462.609,70
464.629,85
466.649,81
468.669,90
470.689,96
471.699,97
472.709,90
475.739,83
476.749,84
477.759,77
479.779,57
481.799,46
483.819,45
486.849,46
487.859,49
488.869,57
490.889,66
492.909,63
493.919,61
494.929,65
495.939,71
496.949,73
497.959,70
499.979,49
501.999,52
504.019,44
506.039,34
509.069,38
511.089,46
513.109,54
515.129,59
517.149,54
518.159,52
519.169,47
520.179,46
522.199,42
524.219,36
