df_hash,22ZHK4.U7GHWZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BXYU
person_label,V51
date_time_start,2025-10-30_18-20-01.333000_+03
date_time_start_unix,1761834001.333
date_time_end,2025-10-30_18-28-49.664000_+03
length_difference_noticed,no

time,perfusion_ir
53.058,0.250
58.476,0.240
59.302,0.240
60.720,0.240
61.399,0.250
65.005,0.240
67.832,0.240
69.198,0.240
69.880,0.240
72.619,0.230
73.245,0.230
76.173,0.230
76.902,0.220
77.534,0.220
86.455,0.220
87.146,0.220
89.088,0.220
90.456,0.220
92.646,0.220
104.298,0.220
108.345,0.220
108.493,0.220
109.950,0.220
110.738,0.220
111.172,0.220
112.979,0.220
113.658,0.220
114.048,0.220
115.462,0.210
116.093,0.210
116.824,0.210
117.655,0.210
118.984,0.200
119.028,0.200
120.580,0.200
121.312,0.200
122.089,0.200
128.429,0.210
129.939,0.210
130.621,0.210
131.354,0.210
132.038,0.220
132.719,0.220
133.505,0.220
136.424,0.210
137.007,0.220
141.202,0.220
141.934,0.220
142.762,0.220
143.444,0.220
144.086,0.220
144.819,0.220
145.503,0.220
146.326,0.220
147.829,0.220
148.956,0.220
151.680,0.220
152.363,0.220
152.484,0.220
154.410,0.220
156.461,0.220
157.049,0.220
161.774,0.220
163.088,0.220
165.138,0.220
166.114,0.220
166.671,0.220
168.020,0.220
168.746,0.220
170.157,0.220
170.940,0.220
171.627,0.220
173.767,0.210
174.447,0.210
175.863,0.210
176.546,0.210
177.622,0.210
180.156,0.210
180.852,0.210
181.467,0.220
181.672,0.220
185.662,0.220
187.076,0.220
187.807,0.220
188.602,0.220
190.683,0.220
191.122,0.220
191.850,0.220
191.909,0.220
193.319,0.220
193.861,0.220
194.633,0.220
195.458,0.220
196.130,0.220
196.683,0.220
197.408,0.220
198.059,0.220
199.556,0.220
201.420,0.220
202.101,0.220
202.923,0.220
204.234,0.220
205.017,0.220
205.845,0.220
207.109,0.220
207.995,0.220
209.109,0.210
209.842,0.210
212.085,0.210
213.401,0.210
215.010,0.220
215.695,0.220
216.323,0.220
217.006,0.220
217.557,0.220
217.844,0.220
219.836,0.220
220.519,0.220
221.254,0.220
222.029,0.220
222.712,0.220
223.492,0.230
224.074,0.230
224.662,0.220
225.349,0.220
226.028,0.220
227.454,0.220
228.770,0.230
233.632,0.230
236.462,0.230
257.422,0.230
259.720,0.230
270.151,0.240
278.776,0.240
284.576,0.240
285.855,0.240
287.110,0.240
287.889,0.240
288.527,0.240
289.939,0.250
290.574,0.250
291.211,0.260
300.472,0.260
301.883,0.260
303.245,0.260
312.569,0.260
314.464,0.270
333.534,0.260
351.608,0.260
351.660,0.260
353.656,0.260
354.337,0.260
354.826,0.260
355.508,0.260
365.749,0.260
366.477,0.260
368.184,0.260
370.134,0.260
374.866,0.250
376.812,0.250
378.174,0.250
378.763,0.250
412.400,0.250
413.522,0.250
437.019,0.250
454.374,0.250
455.056,0.250
457.593,0.250
460.075,0.250
463.049,0.250
465.392,0.250
466.074,0.250
466.756,0.250
467.293,0.250
468.710,0.250
469.930,0.240
471.434,0.240
472.604,0.240
473.387,0.240
479.676,0.230
480.406,0.230
486.940,0.230
493.326,0.220
496.256,0.210
499.076,0.210
499.861,0.210
502.149,0.210
508.730,0.210
509.754,0.210
510.437,0.210
514.584,0.210
518.088,0.200
519.315,0.200
521.013,0.200
