df_hash,22ZHK4.U7GHWZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BXYU
person_label,V51
date_time_start,2025-10-30_18-20-01.333000_+03
date_time_start_unix,1761834001.333
date_time_end,2025-10-30_18-28-49.664000_+03
length_difference_noticed,no

time,omega
53.062,0.515
58.570,0.513
59.306,0.509
60.726,0.506
61.405,0.503
65.009,0.501
67.836,0.499
69.201,0.497
69.885,0.487
72.656,0.477
73.248,0.474
76.179,0.474
76.907,0.473
77.537,0.473
86.459,0.473
87.235,0.476
89.091,0.476
90.459,0.476
92.650,0.476
104.303,0.486
108.348,0.473
108.497,0.485
109.954,0.485
110.741,0.497
111.176,0.497
112.985,0.489
113.661,0.495
114.051,0.498
115.465,0.507
116.096,0.518
116.829,0.518
117.659,0.518
119.018,0.518
119.115,0.518
120.584,0.512
121.316,0.509
122.093,0.506
128.432,0.502
129.943,0.499
130.815,0.497
131.358,0.500
132.042,0.502
132.723,0.502
133.520,0.500
136.428,0.500
137.013,0.502
141.206,0.503
141.942,0.502
142.765,0.502
143.448,0.500
144.128,0.500
144.824,0.500
145.638,0.500
146.333,0.500
147.834,0.500
148.960,0.503
151.686,0.501
152.369,0.505
152.504,0.505
154.414,0.505
156.464,0.496
157.092,0.487
161.783,0.487
163.094,0.487
165.142,0.497
166.122,0.486
166.893,0.482
168.023,0.482
168.749,0.479
170.160,0.479
170.944,0.479
171.632,0.479
173.771,0.479
174.450,0.479
175.867,0.482
176.549,0.482
177.650,0.486
180.170,0.486
180.855,0.494
181.470,0.502
181.675,0.511
185.668,0.519
187.079,0.517
187.810,0.517
188.605,0.513
190.690,0.517
191.128,0.519
191.857,0.520
191.916,0.520
193.322,0.519
193.998,0.519
194.639,0.518
195.462,0.518
196.141,0.518
196.687,0.518
197.412,0.513
198.093,0.513
199.560,0.519
201.432,0.519
202.104,0.519
202.926,0.514
204.243,0.510
205.026,0.510
205.853,0.516
207.114,0.516
208.001,0.507
209.120,0.502
209.846,0.501
212.091,0.502
213.447,0.507
215.013,0.507
215.699,0.514
216.328,0.514
217.010,0.518
217.566,0.520
217.847,0.523
219.840,0.520
220.522,0.520
221.257,0.520
222.034,0.518
222.716,0.518
223.498,0.518
224.078,0.514
224.667,0.510
225.735,0.514
226.032,0.514
227.547,0.514
228.776,0.514
233.636,0.514
236.478,0.514
257.426,0.514
259.752,0.516
270.154,0.524
278.781,0.529
284.581,0.516
286.088,0.516
287.138,0.519
287.892,0.519
288.532,0.514
289.942,0.514
290.579,0.523
291.255,0.544
300.476,0.544
301.886,0.560
303.249,0.568
312.581,0.577
314.469,0.578
333.771,0.575
351.612,0.568
351.664,0.568
353.659,0.556
354.341,0.556
354.830,0.568
355.513,0.568
365.753,0.575
366.492,0.575
368.188,0.586
370.179,0.600
374.873,0.607
376.816,0.607
378.178,0.607
378.766,0.600
412.403,0.591
413.527,0.591
437.024,0.600
454.377,0.594
455.060,0.594
457.597,0.594
460.079,0.594
463.053,0.584
465.395,0.584
466.077,0.572
466.760,0.556
467.297,0.540
468.714,0.517
470.071,0.503
471.439,0.503
472.607,0.500
473.390,0.491
479.681,0.483
480.412,0.477
486.943,0.470
493.331,0.463
496.270,0.463
499.079,0.459
499.865,0.459
502.153,0.456
508.734,0.456
509.758,0.455
510.440,0.455
514.589,0.456
518.092,0.456
519.320,0.456
521.017,0.456
