df_hash,22ZHK4.U7GHWZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.BXYU
person_label,V51
date_time_start,2025-10-30_18-20-01.333000_+03
date_time_start_unix,1761834001.333
date_time_end,2025-10-30_18-28-49.664000_+03
length_difference_noticed,no

time,rr_int
9.378,4050
9.383,785
10.060,15
10.890,690
11.573,865
12.303,670
12.987,710
13.668,635
14.792,700
15.082,725
15.765,720
16.598,720
17.422,800
18.251,825
18.933,790
19.665,725
20.493,755
21.177,770
21.881,770
22.884,730
23.128,790
23.272,590
23.954,605
24.100,200
25.758,1200
25.761,470
26.197,10
27.562,490
29.126,1395
29.951,1515
30.787,850
31.493,770
32.302,730
33.022,780
33.851,780
34.538,790
35.217,710
36.044,755
36.727,770
37.458,735
37.462,685
38.141,10
38.824,660
39.411,715
40.237,655
40.943,745
41.212,755
41.604,220
42.434,465
43.260,860
43.992,750
44.674,745
45.519,780
46.189,725
46.916,720
46.920,670
47.452,10
48.145,640
48.941,690
49.549,735
50.383,700
51.060,740
51.888,810
52.668,745
53.009,755
53.064,375
53.068,10
53.351,270
54.667,770
55.502,715
56.227,740
56.910,740
57.738,745
58.469,780
59.152,735
59.981,725
60.667,765
61.352,750
62.080,710
62.762,685
63.442,695
64.130,705
64.856,725
65.685,715
66.368,745
67.050,720
67.781,720
68.463,690
69.146,710
69.828,700
70.563,665
71.120,670
71.925,690
72.609,715
72.613,690
73.193,10
73.201,675
74.021,10
74.703,760
75.392,735
76.120,705
76.800,670
77.482,670
78.067,675
78.750,670
79.445,635
80.163,650
80.944,725
82.066,865
82.357,1200
82.503,265
82.507,20
82.799,10
82.802,15
82.893,10
82.898,445
83.186,240
84.307,410
84.990,770
85.673,670
86.403,705
87.086,695
87.624,690
88.353,650
89.036,685
89.752,680
90.404,675
91.133,670
91.815,690
92.497,705
93.180,710
93.183,775
93.326,10
93.329,10
93.472,200
93.476,15
94.008,525
94.013,10
94.453,15
95.276,445
95.863,770
97.080,655
98.592,1280
99.322,1450
100.005,700
100.687,745
101.419,725
102.248,720
102.784,705
102.787,665
103.467,10
104.197,715
104.880,675
104.886,680
105.565,10
106.160,635
106.830,660
107.513,680
108.236,710
108.349,715
109.024,10
109.755,710
110.442,725
111.124,740
111.851,720
112.685,735
113.362,725
113.899,690
114.630,665
115.312,645
115.995,670
116.678,685
117.458,715
118.093,725
118.972,780
119.019,800
119.749,10
120.431,790
121.260,765
121.992,750
122.723,730
123.357,690
124.039,695
124.773,685
125.453,710
126.135,740
126.866,715
127.695,730
128.378,770
129.207,745
129.889,745
130.609,725
131.302,715
131.985,725
132.668,700
133.403,695
134.092,725
134.764,720
135.447,710
136.178,680
136.860,720
137.543,680
138.225,725
138.956,675
139.639,710
140.471,710
141.150,740
141.881,730
142.710,750
143.393,755
144.076,735
144.786,700
145.490,710
146.174,695
146.854,710
147.585,690
148.315,680
148.950,700
149.633,700
150.380,690
151.052,685
151.583,690
152.314,670
152.461,670
152.996,10
153.683,700
154.386,670
154.416,655
154.946,10
155.629,645
156.312,670
156.998,660
157.043,680
157.725,10
158.408,685
158.993,685
159.676,680
160.358,660
161.040,675
161.625,675
162.308,645
162.991,655
163.673,680
164.404,700
165.087,735
165.915,740
166.646,770
167.329,750
168.012,725
168.694,690
169.377,675
170.108,675
170.790,685
171.499,670
172.205,705
172.936,765
173.715,725
174.398,735
175.080,745
175.812,750
176.494,710
177.323,715
178.057,710
178.688,725
179.424,690
180.132,695
180.790,700
181.320,685
181.618,600
182.052,330
182.880,460
182.884,710
182.930,10
182.933,10
182.936,15
183.027,140
183.030,10
183.077,15
183.177,210
183.417,210
184.830,735
185.513,715
186.342,715
187.024,720
187.756,745
188.443,695
189.124,685
189.804,695
190.534,705
191.070,680
191.753,645
191.860,675
192.484,10
193.167,690
193.850,720
194.581,725
195.409,715
196.119,720
196.628,715
197.359,670
198.043,690
198.725,685
199.407,690
199.992,655
200.685,635
201.390,680
202.090,675
202.774,705
203.454,685
204.223,710
204.965,730
205.696,725
206.379,715
207.061,715
207.746,715
208.475,700
209.011,685
209.742,650
210.428,670
211.112,700
211.789,730
212.619,715
213.350,740
214.032,745
214.861,750
215.563,715
216.275,720
216.983,695
217.498,705
217.809,660
217.848,165
217.935,15
217.938,30
218.226,10
219.102,485
219.736,725
220.418,740
221.154,745
221.978,710
222.661,730
223.343,735
224.026,710
224.611,665
225.342,685
225.981,675
226.708,665
227.446,635
228.082,690
228.757,715
229.496,760
229.633,870
230.851,315
231.582,890
231.585,685
232.312,10
232.948,710
233.532,670
234.215,640
234.751,595
235.462,695
236.408,605
236.702,1005
237.968,330
238.261,1275
238.651,205
239.240,430
240.602,625
240.895,1285
242.405,350
243.673,1515
244.111,1205
245.040,430
245.330,1060
246.743,305
246.890,1485
246.893,10
246.991,175
247.280,190
249.088,640
249.236,1180
249.428,195
249.431,10
249.668,10
250.888,390
251.473,1310
252.161,465
252.691,740
253.471,565
254.157,680
254.642,730
255.373,535
256.055,745
256.737,620
257.274,695
257.858,585
258.541,635
259.674,635
259.955,805
260.540,555
261.320,665
262.148,760
262.295,855
262.636,390
265.220,1395
265.805,1255
266.342,600
267.031,625
267.316,680
267.707,315
268.437,355
268.584,755
268.587,135
268.681,20
268.685,10
268.730,15
