df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,battery
9.501,13
19.494,13
29.780,13
39.482,13
49.524,13
59.470,13
69.467,13
79.506,13
89.500,13
99.493,13
109.496,13
119.482,13
129.574,13
139.473,13
149.561,13
159.457,13
169.499,13
179.494,13
189.536,13
199.481,13
209.481,12
219.490,12
229.463,12
239.456,12
249.548,12
259.454,12
269.487,12
279.480,12
289.474,12
299.468,12
309.462,12
319.455,12
329.449,12
339.495,12
349.437,12
359.528,12
369.473,12
379.467,12
389.461,12
399.456,12
409.465,12
419.491,12
429.436,12
439.430,12
449.427,12
459.466,12
469.460,12
479.527,12
489.501,12
499.441,12
509.435,12
519.429,12
