df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,rr_int
11.255,4320
12.084,2105
12.087,895
12.913,10
13.790,875
14.717,865
15.451,855
15.594,815
15.692,10
15.740,175
15.743,25
15.791,20
15.794,10
16.277,15
17.108,490
17.544,675
18.226,670
18.373,690
19.202,175
19.207,575
19.760,235
20.030,560
20.567,200
20.570,590
20.713,10
20.717,160
20.720,20
20.859,25
20.863,20
21.106,10
21.109,10
21.444,20
21.541,545
21.545,170
21.591,15
21.593,30
21.688,20
21.691,10
21.785,10
21.788,10
22.126,25
22.858,430
23.395,680
24.246,660
24.320,715
24.323,195
24.906,25
25.734,525
25.737,830
26.611,10
27.392,820
27.396,820
27.538,10
27.542,240
27.733,15
27.737,15
28.397,445
28.664,260
28.805,390
29.390,10
29.395,650
29.570,10
30.052,165
30.756,485
31.439,705
31.742,745
32.276,235
32.413,525
32.957,205
33.842,545
34.412,740
34.948,655
35.630,600
36.167,610
36.850,610
37.581,640
38.410,745
39.238,815
40.069,825
40.213,790
40.216,195
40.749,55
40.895,510
40.899,170
40.993,10
40.997,10
41.000,10
41.432,25
42.017,455
42.020,610
42.553,10
43.138,590
43.826,585
44.383,585
45.186,645
46.063,805
46.892,875
46.897,825
47.136,10
47.139,205
47.724,25
47.890,600
47.971,165
47.983,10
47.992,15
48.051,10
48.055,10
48.598,10
48.699,580
48.702,185
49.232,50
49.817,475
50.500,640
51.182,650
51.864,665
51.913,675
52.596,10
53.279,715
53.424,750
54.156,165
54.253,590
54.938,160
55.472,585
56.057,675
56.746,635
57.325,600
57.864,620
58.985,630
59.522,805
60.500,875
61.322,870
61.468,870
61.473,180
61.517,15
61.523,10
61.545,10
61.667,10
62.151,15
62.297,575
62.301,175
62.443,10
62.446,65
62.540,15
62.887,20
63.418,430
64.101,640
64.784,650
65.514,655
65.665,715
66.197,140
66.344,615
66.489,180
66.500,15
66.538,20
66.542,10
66.545,10
67.026,10
67.855,585
68.001,835
68.147,240
68.829,570
68.834,160
68.982,10
68.996,55
69.125,15
69.136,10
69.464,30
70.097,430
70.685,645
71.364,645
72.096,660
72.876,755
72.879,805
73.168,10
73.708,210
74.540,630
74.679,820
74.685,180
74.729,10
74.733,10
74.746,10
74.851,10
74.975,10
75.509,15
75.521,555
75.606,165
75.609,20
75.613,40
76.142,10
76.630,465
77.312,645
77.897,625
78.580,660
79.408,695
79.413,735
79.570,10
80.091,205
80.383,575
80.920,215
81.066,575
81.069,185
81.212,35
81.216,15
81.749,10
81.895,550
82.041,260
82.480,15
83.016,420
83.994,645
83.998,625
84.284,10
84.966,640
85.259,715
85.795,200
86.770,655
87.609,910
87.931,880
88.040,185
88.045,20
88.430,15
88.720,640
88.724,175
88.771,55
88.774,15
89.256,30
89.402,485
89.988,150
90.673,520
91.206,685
91.938,685
92.766,710
93.448,715
94.034,700
94.720,660
95.252,635
95.837,605
95.841,585
96.569,10
97.056,590
97.739,625
98.660,680
99.300,790
99.445,820
99.591,10
99.594,205
99.598,20
100.128,40
100.274,545
100.420,160
100.423,60
100.470,15
100.956,10
101.102,555
101.248,260
101.252,10
101.297,10
102.325,415
102.909,635
103.592,630
104.322,650
104.325,715
104.418,10
105.003,185
105.831,550
106.513,780
106.806,790
106.810,180
106.955,20
106.959,15
107.342,20
107.345,545
107.488,10
107.492,150
107.635,90
107.639,15
107.643,15
108.756,450
109.292,650
109.975,620
110.706,645
111.388,685
112.220,760
113.046,810
113.051,825
113.246,10
113.290,175
113.293,15
113.298,20
113.339,10
113.342,10
113.875,40
114.021,535
114.024,175
114.070,50
114.173,25
114.558,20
114.850,510
114.855,250
114.901,10
114.906,10
115.389,10
115.874,405
116.532,615
116.535,600
117.092,10
117.776,605
118.458,665
119.286,775
119.579,845
119.582,210
120.184,25
120.408,605
120.992,205
120.996,585
121.139,10
121.419,170
121.675,20
122.116,535
122.371,170
122.942,465
123.485,595
124.162,605
124.746,590
124.749,635
125.575,10
126.453,780
127.232,865
127.525,860
128.061,210
128.065,635
128.890,10
129.036,795
129.085,170
129.088,25
129.184,20
129.187,20
129.190,10
129.193,10
129.722,15
130.353,450
130.840,620
131.572,610
132.018,595
132.644,600
133.472,660
133.619,755
134.204,195
135.102,615
135.276,830
135.862,185
136.007,610
136.160,175
136.168,55
136.171,10
136.690,10
136.836,535
136.840,180
136.885,55
136.888,10
136.892,10
137.227,15
138.209,410
138.236,645
138.640,10
138.643,655
139.327,10
139.469,690
140.057,165
140.062,545
140.736,10
140.834,735
141.422,170
142.593,560
142.784,705
143.369,640
144.052,615
144.640,620
145.465,655
145.563,725
146.148,215
146.977,595
147.269,825
147.276,180
147.318,15
147.324,15
147.330,10
147.806,10
147.951,580
147.954,170
148.003,10
148.097,10
148.101,15
148.344,15
148.347,15
148.488,30
149.171,455
149.755,640
150.438,630
151.023,625
151.903,640
152.388,680
153.220,725
153.365,725
153.899,10
154.679,735
155.315,705
155.849,645
156.483,600
157.121,605
157.653,625
158.530,670
159.359,785
159.510,790
159.603,195
160.042,50
160.188,515
160.334,170
160.337,50
