df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,temperature
385.564,34.000
386.536,34.000
387.562,34.000
388.851,33.969
389.559,33.969
390.533,33.969
391.567,33.938
392.532,33.875
393.564,33.906
394.531,33.875
395.555,33.875
396.578,33.875
397.557,33.875
398.531,33.906
399.799,33.938
400.527,33.938
401.555,33.969
402.869,33.938
403.842,33.938
404.573,33.906
405.548,33.938
406.572,33.938
407.547,33.938
408.573,33.938
409.548,33.938
410.576,34.031
411.544,34.031
412.618,34.062
413.543,34.062
414.567,34.094
415.542,34.125
416.566,34.125
417.541,34.125
418.564,34.094
419.539,34.062
420.599,33.969
421.538,33.969
422.562,34.000
423.543,34.000
424.561,34.000
425.782,34.000
426.559,34.031
427.535,34.031
428.558,34.031
429.533,34.062
430.557,34.062
431.778,34.094
432.605,34.094
433.531,34.062
434.555,34.094
435.676,34.031
436.553,34.000
437.577,34.031
438.556,34.031
439.527,34.031
440.574,34.000
441.529,33.969
442.598,33.938
443.525,34.000
444.598,34.000
445.523,34.031
446.647,34.062
447.552,34.031
448.546,34.031
449.525,34.062
450.544,34.094
451.568,34.031
452.543,34.062
453.616,33.969
454.542,33.906
455.565,33.938
456.541,33.875
457.662,33.875
458.539,33.875
459.563,33.844
460.538,33.812
461.563,33.938
462.541,33.906
463.561,34.031
464.613,34.062
465.559,34.094
466.583,34.125
467.558,34.094
468.535,34.094
469.557,34.094
470.580,34.125
471.606,34.000
472.582,34.000
473.555,33.969
474.530,33.969
475.557,33.969
476.528,34.000
477.610,34.031
478.819,34.031
479.648,34.062
480.526,34.094
481.549,34.094
482.574,34.031
483.597,34.000
484.524,34.000
485.549,33.969
486.522,33.938
487.549,33.906
488.554,33.906
489.563,33.875
490.525,33.875
491.544,33.875
492.567,33.938
493.693,33.969
494.580,33.969
495.541,33.938
496.516,33.906
497.540,33.906
498.564,33.812
499.539,33.781
500.562,33.625
501.545,33.531
502.563,33.375
503.595,33.281
504.696,33.094
505.535,32.969
506.580,32.812
507.560,32.656
508.557,32.594
509.630,32.469
510.556,32.500
511.531,32.406
512.584,32.312
513.529,32.219
514.553,32.156
515.626,32.062
516.552,32.031
517.527,31.938
518.551,31.844
519.672,31.750
520.703,31.562
521.525,31.516
