df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,heart_rate
15.987,70
16.959,71
17.836,71
18.763,71
19.933,83
20.810,84
21.791,82
22.907,80
23.834,80
24.710,82
25.921,82
26.822,81
27.684,81
28.854,79
29.787,80
30.658,79
31.877,79
32.758,82
33.689,82
34.850,82
35.728,82
36.608,82
37.825,82
38.702,82
39.628,82
40.873,82
41.675,80
42.605,81
43.773,80
44.649,80
45.576,85
46.745,82
47.672,80
48.549,78
49.719,77
50.646,76
51.523,76
52.693,81
53.619,81
54.497,83
55.667,82
56.593,83
57.471,82
58.690,82
59.567,85
60.447,83
61.676,79
62.544,78
63.423,76
64.637,77
65.615,76
66.441,80
67.638,81
68.488,79
69.414,80
70.585,79
71.462,79
72.388,79
73.558,81
74.487,79
75.383,79
76.532,78
77.458,78
78.336,78
79.511,81
80.432,82
81.310,83
82.528,82
83.406,82
84.287,82
85.502,82
86.380,84
87.257,82
88.476,82
89.353,78
90.231,77
91.450,78
92.327,77
93.302,79
94.448,81
95.301,82
96.283,84
97.397,86
98.275,88
99.201,86
100.371,86
101.301,86
102.175,83
103.388,84
104.271,83
105.171,84
106.318,85
107.294,84
108.122,83
109.298,82
110.219,82
111.096,82
112.315,84
113.212,82
114.077,82
115.288,80
116.169,79
117.044,79
118.262,79
119.140,83
120.166,80
121.238,81
122.358,79
123.040,79
124.210,76
125.087,77
126.014,81
127.185,78
128.356,79
128.987,76
130.232,76
131.084,74
132.010,75
133.132,75
134.058,83
135.082,79
136.117,80
137.031,79
137.909,78
139.127,79
140.005,80
140.883,82
142.101,83
142.979,84
143.857,84
145.075,85
145.953,86
146.854,85
148.050,85
148.926,83
149.876,82
151.027,82
151.915,82
152.826,85
154.000,86
154.874,86
155.800,86
156.970,86
157.848,86
158.774,88
159.944,86
160.870,86
161.748,84
162.922,84
163.845,84
164.722,86
165.917,87
166.822,86
167.724,85
168.914,84
169.840,84
170.670,84
171.898,85
172.765,86
173.643,86
174.862,85
175.739,85
176.619,86
177.835,86
178.715,85
179.640,85
180.809,81
181.694,80
182.613,81
183.810,80
184.661,84
185.590,85
186.782,83
187.683,84
188.681,83
189.755,83
190.657,83
191.583,88
192.763,85
193.637,85
194.509,85
195.727,85
196.604,86
197.482,85
198.701,89
199.584,90
200.456,88
201.674,88
202.553,86
203.478,85
204.652,85
205.526,88
206.452,86
207.622,86
208.500,84
209.430,83
210.611,83
211.522,83
212.399,85
213.573,86
214.496,86
215.373,85
216.565,85
217.518,85
218.414,87
219.566,88
220.448,87
221.321,87
222.539,84
223.466,83
224.343,84
225.562,83
226.450,85
227.289,86
228.487,86
229.365,85
230.291,86
231.461,85
232.342,85
233.266,85
234.435,85
235.373,79
236.239,77
237.413,79
238.383,78
239.212,78
240.411,78
241.311,78
242.186,78
243.356,78
244.282,78
245.208,78
246.378,78
247.256,78
248.133,82
249.352,83
250.248,81
251.111,81
252.326,86
253.203,88
254.130,86
255.546,86
256.177,86
257.103,86
258.273,86
259.151,86
260.117,86
261.247,86
262.223,84
263.051,85
264.221,90
265.155,91
266.025,89
267.196,87
268.121,87
268.998,85
270.239,85
271.095,85
271.972,86
273.193,86
274.068,86
274.946,85
276.593,85
277.042,85
277.969,85
279.140,86
280.016,85
280.944,85
282.112,85
282.990,85
283.917,85
285.088,86
286.012,85
286.938,85
288.060,85
288.991,85
289.863,84
291.104,85
291.960,85
292.984,86
294.056,87
295.178,88
295.811,86
297.030,86
297.910,85
298.791,85
300.003,86
300.881,87
301.807,89
302.985,89
303.855,88
304.781,88
305.954,88
306.832,88
307.755,88
308.925,88
309.851,87
310.729,87
311.947,86
312.825,86
313.869,85
314.921,85
316.099,85
316.701,86
317.895,85
318.772,85
319.650,86
320.869,86
321.746,87
322.675,87
323.842,88
324.720,88
325.646,88
326.817,87
327.694,87
328.620,84
329.790,83
330.716,82
331.594,81
332.795,81
333.693,81
334.594,81
335.786,82
336.668,82
337.554,83
338.760,84
339.643,84
340.515,85
341.737,86
342.611,86
343.538,87
344.707,88
345.590,87
346.511,87
347.681,82
348.563,82
349.485,81
350.655,82
351.581,81
352.474,84
354.019,85
354.555,86
355.455,86
356.602,86
357.529,86
358.406,85
359.625,86
360.503,87
361.380,86
362.599,86
363.479,86
364.354,86
365.576,86
366.450,86
367.376,86
368.546,85
369.424,85
370.350,85
371.520,86
372.397,86
373.324,86
374.548,85
375.423,85
376.322,84
377.468,84
378.394,84
379.271,84
380.490,82
381.369,82
382.245,82
383.464,82
384.343,85
385.239,87
386.438,88
387.317,88
388.242,87
389.411,87
390.289,87
391.215,88
392.385,90
393.555,90
394.189,89
395.359,89
396.285,86
397.166,85
398.333,85
399.259,85
400.137,86
401.357,87
402.233,89
403.110,87
404.329,87
405.206,87
406.085,87
407.303,87
408.180,87
409.106,90
410.325,91
411.154,89
412.080,89
413.250,86
414.131,84
415.054,83
416.230,83
417.151,83
418.028,84
419.198,84
420.452,84
421.002,83
422.236,83
423.172,83
423.979,83
425.194,83
426.072,83
426.949,83
428.168,83
429.045,83
429.977,83
