df_hash,22ZHK4.DA4SRM
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VZ79
person_label,V62
date_time_start,2025-10-31_16-10-53.892000_+03
date_time_start_unix,1761912653.892
date_time_end,2025-10-31_16-19-41.517000_+03
length_difference_noticed,no

time,ppg_quality
57.800,106
59.820,112
61.840,107
62.850,109
64.870,108
65.880,105
66.890,103
68.900,97
70.920,97
71.930,99
72.940,100
74.960,99
75.970,100
76.980,99
77.990,102
80.010,103
82.030,105
84.050,102
86.070,108
88.090,107
89.100,105
90.110,103
91.120,103
92.130,104
93.140,103
95.160,105
97.180,108
99.200,115
100.210,116
101.210,118
102.220,115
104.240,115
105.250,116
106.260,112
107.270,109
108.280,106
110.300,106
112.320,106
113.330,104
114.340,105
115.350,103
116.360,104
117.370,106
119.390,109
121.410,110
123.430,107
125.450,108
127.470,107
128.480,108
130.500,105
132.520,104
134.530,107
136.550,105
138.570,101
139.580,102
140.590,106
141.600,108
142.610,107
143.620,106
145.640,106
146.650,108
147.660,111
149.680,109
151.700,107
153.720,107
154.730,105
155.740,106
156.750,105
157.760,108
158.770,111
160.790,113
162.810,110
163.820,108
165.840,110
167.860,108
169.880,104
171.900,108
173.920,109
174.930,106
175.940,108
176.950,106
178.970,109
179.980,109
180.990,107
183.010,104
185.030,106
186.040,105
188.060,103
189.070,100
190.080,101
192.100,104
194.120,105
196.140,104
197.150,106
199.170,110
200.180,109
201.190,109
203.210,109
205.230,109
207.250,106
209.270,103
210.280,102
212.300,99
213.310,101
214.320,100
215.330,99
216.340,97
218.360,98
220.380,101
222.400,100
223.410,97
224.420,97
225.430,97
227.450,98
229.470,93
230.480,95
231.490,94
232.500,97
233.510,99
236.540,104
238.560,96
239.570,82
240.580,85
242.600,62
244.620,50
247.650,40
249.670,40
251.690,37
253.710,38
254.720,38
255.730,35
256.740,20
257.750,17
258.760,28
260.780,39
262.800,44
263.810,41
264.820,32
265.830,37
266.840,47
268.860,60
269.870,65
271.890,70
272.900,70
273.910,79
275.930,91
277.950,80
278.960,76
279.970,71
280.980,69
283.000,61
285.020,66
287.040,55
289.060,53
290.070,56
292.090,58
294.110,53
296.130,68
298.150,73
300.170,68
302.190,67
303.200,67
304.210,68
305.220,65
307.240,55
309.260,60
311.280,65
313.300,70
316.330,82
318.350,84
320.370,91
322.390,84
324.410,78
327.440,82
328.450,92
329.460,84
331.480,73
333.500,85
335.520,89
336.530,94
338.550,93
340.570,93
341.580,93
342.590,88
344.610,78
345.620,70
346.630,63
348.650,55
349.660,52
351.680,56
353.700,54
355.720,58
356.730,59
357.740,55
358.750,49
359.760,44
360.770,37
362.790,25
364.810,5
373.900,19
375.920,43
377.940,51
379.960,58
380.970,64
382.990,75
385.010,78
387.030,78
389.050,79
391.070,90
392.080,95
394.100,87
395.110,78
396.120,77
398.140,86
399.150,88
400.160,88
402.180,75
404.200,97
407.230,107
408.240,105
409.250,105
411.270,107
413.290,105
415.310,97
417.330,95
418.340,93
419.350,87
420.360,86
422.380,95
423.390,89
424.400,81
425.410,77
426.420,79
428.440,80
429.450,79
431.470,86
433.490,91
434.500,99
435.510,86
436.520,79
437.530,85
438.540,89
439.550,91
440.560,82
442.580,77
443.590,68
445.610,85
446.620,93
448.640,94
450.660,103
451.670,100
452.680,101
453.690,106
455.710,105
457.730,104
459.750,102
460.760,105
462.780,114
463.790,118
464.800,120
466.820,120
468.840,119
470.860,129
471.870,133
472.880,127
474.900,124
475.910,123
476.920,122
477.930,120
479.950,116
480.960,111
482.980,110
483.990,109
487.020,114
489.040,112
490.050,113
491.060,111
493.080,108
495.100,100
497.120,127
499.140,102
502.170,94
504.190,91
506.210,77
508.230,43
509.240,48
510.250,40
513.280,47
515.300,63
517.320,64
519.340,50
520.350,45
521.360,43
