df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,rr_int
10.473,4175
10.909,1625
11.299,655
11.884,395
11.895,630
12.031,10
12.034,30
12.037,10
12.451,25
12.569,530
12.576,10
13.006,15
13.395,450
13.401,475
13.445,10
13.553,25
13.591,10
13.688,10
14.102,255
14.107,410
14.516,15
14.663,340
14.809,260
14.813,15
14.821,10
14.908,120
14.915,40
14.919,20
14.957,15
14.964,15
15.053,15
15.056,20
15.059,10
15.199,150
16.467,925
16.470,330
16.564,10
16.613,175
18.124,275
18.812,1265
18.956,675
20.221,10
20.237,1420
20.240,10
20.757,10
21.588,585
21.731,810
21.878,165
22.465,65
22.470,600
23.243,10
23.535,805
23.974,215
24.803,550
24.806,755
25.488,10
26.168,715
26.851,705
26.900,750
27.680,10
28.557,750
29.239,815
30.070,780
30.754,745
30.899,795
31.726,10
31.749,780
32.408,215
33.144,575
33.386,790
33.968,10
33.971,810
34.797,10
34.800,795
35.483,10
36.308,785
36.844,765
36.849,505
37.014,10
38.552,265
39.240,1430
39.915,690
39.921,685
39.964,10
39.985,10
39.991,15
40.061,10
40.125,165
40.208,10
40.214,20
40.219,170
40.501,150
41.037,630
41.183,10
41.329,145
41.576,95
42.305,350
42.987,630
43.815,735
43.962,770
43.966,160
44.010,15
44.014,15
44.017,30
44.108,30
44.118,10
44.130,10
44.498,15
44.509,465
44.512,10
44.547,10
44.550,10
44.553,15
44.556,15
44.645,15
44.648,15
44.790,10
44.794,10
44.798,230
45.034,15
45.620,830
46.448,10
46.887,795
47.033,550
47.036,10
47.132,170
47.277,105
48.544,1070
48.841,240
50.202,275
50.738,1275
51.470,595
52.006,690
52.693,565
53.275,685
53.517,625
53.521,210
53.565,15
53.569,15
53.586,25
53.672,25
53.841,300
55.224,605
55.905,745
56.296,700
56.881,370
58.148,615
58.684,1220
59.221,590
59.957,635
60.783,655
61.326,690
62.048,675
62.731,710
62.780,675
62.877,10
62.880,165
63.267,25
63.950,415
64.095,660
64.099,175
64.242,15
64.535,55
64.680,385
64.684,135
64.733,10
65.070,10
65.753,405
66.342,675
66.485,575
67.021,150
67.703,560
68.437,650
68.678,700
69.142,245
69.168,445
69.657,10
70.385,550
70.921,700
71.213,585
72.188,285
72.432,1015
72.871,220
73.555,415
73.699,770
73.703,15
73.748,15
73.751,10
73.755,10
73.845,130
73.849,10
73.894,15
73.998,145
74.257,235
75.652,680
75.701,770
76.478,10
77.307,790
78.136,835
79.111,830
79.114,870
79.549,180
79.797,370
80.622,280
81.383,865
81.597,945
82.719,275
83.693,915
83.986,940
84.669,295
86.326,725
86.329,1680
86.472,10
86.625,185
87.886,1125
88.422,215
88.720,605
89.251,230
90.079,605
90.372,995
91.055,805
91.347,15
91.350,180
91.884,10
92.030,660
92.859,10
93.590,895
93.594,675
93.997,10
94.808,490
95.345,790
96.119,525
96.615,675
97.295,685
98.124,695
98.952,765
99.830,825
100.659,855
100.902,865
101.487,220
102.608,650
102.706,1055
102.998,230
103.001,220
104.287,445
104.805,885
104.809,475
105.095,10
106.069,300
106.073,950
106.460,10
106.606,485
106.609,35
106.654,20
106.658,15
106.668,10
106.706,10
106.709,15
106.712,10
106.908,225
108.702,900
109.531,900
110.360,880
110.506,845
111.189,175
111.923,635
112.748,795
112.752,830
112.992,10
112.996,160
113.044,15
113.050,10
113.053,15
113.290,10
113.296,20
113.577,30
114.552,575
115.381,885
116.210,870
116.215,870
117.039,10
117.868,835
118.706,820
119.525,805
120.207,805
121.046,805
121.234,760
121.768,10
122.450,700
123.278,765
124.108,815
125.083,870
125.911,890
126.740,865
127.423,795
128.157,720
128.690,710
129.519,645
130.347,785
130.353,785
130.493,10
130.640,275
130.645,10
131.907,535
132.605,730
133.273,680
133.858,755
134.247,625
134.540,345
135.515,275
135.551,980
135.661,10
135.667,170
135.759,15
135.764,10
135.770,10
135.807,15
136.198,130
136.880,315
137.627,690
138.001,705
138.849,415
139.123,880
139.268,265
139.415,310
140.243,760
140.780,10
141.901,695
142.096,1030
142.102,200
142.145,15
142.174,15
142.199,10
142.291,150
143.708,605
143.891,810
145.218,235
146.874,1375
147.313,1640
147.605,390
147.752,285
148.141,190
148.704,440
148.824,545
149.116,410
149.120,10
149.213,10
149.217,10
149.277,65
149.316,15
149.340,10
149.354,15
149.358,15
149.409,145
150.411,790
150.533,145
150.922,15
151.212,515
151.603,275
152.870,460
153.553,1265
154.137,650
154.141,660
154.820,10
155.517,665
156.331,665
156.334,810
157.160,10
157.988,820
158.817,850
158.821,825
159.556,10
159.837,765
160.085,250
160.378,295
161.646,265
162.328,1325
162.864,635
163.303,610
163.693,455
163.985,325
164.132,410
165.496,950
166.227,550
166.617,675
166.913,335
168.326,300
170.374,1440
170.664,2020
171.054,325
172.200,480
172.614,1145
173.980,390
173.987,1315
174.297,10
174.515,320
175.247,265
175.929,665
176.618,685
176.779,830
177.440,10
178.317,800
178.323,820
178.577,10
179.146,220
179.975,575
180.657,805
181.486,780
181.491,750
182.170,10
182.315,690
182.318,175
182.900,75
183.315,525
183.582,390
