df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,ppg_quality
58.324,25
60.344,48
61.354,62
63.374,79
65.394,78
67.414,75
69.424,59
71.444,53
74.474,6
84.574,40
86.594,70
87.604,74
89.624,68
91.644,72
93.664,62
95.684,64
97.704,56
98.714,68
99.724,71
100.734,79
102.754,86
104.774,75
106.794,55
107.804,44
109.824,32
110.834,34
112.854,41
113.864,43
115.884,45
117.904,65
119.924,80
121.944,79
123.964,84
124.974,88
125.984,92
126.994,93
129.014,96
131.034,91
132.044,85
133.054,79
135.074,60
138.104,27
140.124,11
141.134,5
142.144,4
144.164,13
146.184,33
147.194,32
148.204,24
149.214,37
150.224,33
151.234,28
152.244,23
153.254,33
155.274,35
156.284,45
157.294,64
158.304,86
159.314,81
161.334,105
163.354,92
165.374,57
166.384,47
168.404,29
170.424,13
172.444,33
174.464,57
176.484,53
178.504,45
181.534,44
183.554,58
186.584,54
187.594,62
188.604,66
189.614,64
190.624,63
191.634,69
192.644,71
194.664,71
195.674,67
196.684,65
197.694,65
198.704,65
200.724,66
201.734,62
202.744,52
203.754,61
205.774,65
207.794,65
209.814,66
210.824,75
211.834,85
213.854,84
215.874,89
217.894,94
219.914,98
220.924,95
222.944,95
224.964,92
225.974,90
226.984,87
229.004,75
230.014,72
231.024,59
233.044,47
234.054,43
236.074,24
237.084,19
239.104,29
240.114,30
242.134,38
244.154,37
245.164,38
246.174,44
247.184,45
248.194,40
249.204,38
250.214,36
251.224,39
252.234,46
253.244,43
255.264,58
257.284,69
258.294,75
259.304,77
261.324,81
263.344,85
264.354,85
266.374,56
268.394,31
270.414,18
272.434,22
273.444,10
276.474,3
277.484,8
279.504,13
280.514,7
285.564,14
287.584,20
288.594,23
290.614,42
292.634,60
294.654,79
296.674,94
298.694,93
300.714,85
301.724,86
303.744,73
305.764,72
