df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,temperature
4.572,34.125
5.596,34.125
6.624,34.188
7.594,34.250
8.569,34.250
9.593,34.219
10.576,34.250
11.591,34.250
12.737,34.219
13.596,34.188
14.566,34.188
15.590,34.188
16.568,34.188
17.590,34.156
18.806,34.125
19.587,34.156
20.562,34.188
21.585,34.188
22.561,34.219
23.584,34.219
24.559,34.188
25.583,34.219
26.617,34.219
27.582,34.250
28.560,34.250
29.603,34.281
30.556,34.281
31.589,34.281
32.555,34.281
33.624,34.312
34.553,34.375
35.608,34.344
36.552,34.375
37.576,34.344
38.600,34.344
39.575,34.344
40.598,34.344
41.573,34.312
42.597,34.344
43.572,34.312
44.596,34.219
45.571,34.250
46.595,34.250
47.590,34.281
48.593,34.406
49.568,34.406
50.592,34.375
51.567,34.438
52.688,34.406
53.663,34.438
54.590,34.500
55.565,34.500
56.588,34.500
57.563,34.531
58.587,34.438
59.562,34.469
60.683,34.531
61.622,34.500
62.633,34.531
63.759,34.531
64.583,34.500
65.558,34.531
66.582,34.500
67.557,34.500
68.582,34.500
69.653,34.500
70.580,34.469
71.555,34.438
72.578,34.469
73.604,34.500
74.577,34.500
75.552,34.500
76.576,34.500
77.551,34.531
78.575,34.531
79.793,34.500
80.574,34.531
81.549,34.562
82.572,34.562
83.547,34.531
84.571,34.531
85.547,34.531
86.570,34.531
87.593,34.531
88.569,34.500
89.592,34.500
90.859,34.469
91.591,34.500
92.566,34.469
93.597,34.562
94.565,34.562
95.589,34.594
96.564,34.625
97.587,34.594
98.601,34.594
99.586,34.594
100.564,34.625
101.584,34.625
102.560,34.625
103.584,34.562
104.802,34.562
105.582,34.531
106.558,34.531
107.581,34.562
108.556,34.562
109.580,34.531
110.588,34.531
111.579,34.500
112.554,34.500
113.775,34.469
114.557,34.469
115.577,34.469
116.551,34.500
117.575,34.500
118.696,34.531
119.587,34.531
120.549,34.531
121.573,34.531
122.548,34.562
123.571,34.594
124.792,34.625
125.570,34.625
126.545,34.594
127.568,34.594
128.593,34.594
129.667,34.625
130.543,34.625
131.574,34.625
132.593,34.656
133.565,34.656
134.546,34.625
135.588,34.625
136.588,34.625
137.564,34.625
138.830,34.656
139.561,34.625
140.585,34.625
141.560,34.625
142.583,34.656
143.705,34.719
144.583,34.844
145.558,34.875
146.581,34.938
147.557,34.938
148.678,34.938
149.555,35.000
150.579,34.938
151.554,34.938
152.577,34.906
153.556,34.875
154.577,34.750
155.572,34.750
156.585,34.719
157.626,34.719
158.574,34.750
159.834,34.719
160.573,34.750
161.548,34.750
162.574,34.750
163.546,34.781
164.570,34.844
165.545,34.875
166.569,34.875
167.544,34.938
168.600,35.000
169.543,35.062
170.567,35.125
171.542,35.156
172.585,35.219
173.540,35.250
174.564,35.250
175.688,35.250
176.562,35.250
177.538,35.281
178.562,35.250
179.561,35.250
180.562,35.219
181.535,35.219
182.633,35.219
183.536,35.219
184.558,35.188
185.592,35.188
186.558,35.188
187.580,35.188
188.562,35.188
189.823,35.156
190.554,35.156
191.578,35.188
192.553,35.156
193.576,35.156
194.552,35.125
195.578,35.125
196.648,35.094
197.574,35.094
198.551,35.094
199.586,35.094
200.548,35.094
201.572,35.062
202.547,35.062
203.571,35.031
204.840,35.062
205.569,35.062
206.544,35.031
207.568,35.031
208.546,35.094
209.566,35.094
210.542,35.062
211.566,35.094
212.541,35.125
213.564,35.125
214.539,35.125
215.564,35.156
216.538,35.219
217.562,35.156
218.537,35.156
219.560,35.188
220.536,35.219
221.559,35.219
222.729,35.281
223.558,35.281
224.538,35.312
225.592,35.281
226.575,35.281
227.556,35.281
228.580,35.281
229.555,35.219
230.529,35.219
231.553,35.188
232.528,35.188
233.572,35.188
234.575,35.156
235.706,35.125
236.575,35.125
237.550,35.125
238.573,35.094
239.548,35.094
240.574,35.094
241.547,35.125
242.591,35.125
243.546,35.125
244.569,35.125
245.545,35.125
246.568,35.188
247.546,35.188
248.567,35.250
249.770,35.281
250.663,35.250
251.638,35.219
252.588,35.188
253.540,35.219
254.567,35.250
255.835,35.219
256.562,35.188
257.540,35.125
258.597,35.125
259.542,35.094
260.608,35.125
261.557,35.156
262.559,35.125
263.731,35.125
264.563,35.125
265.581,35.125
266.559,35.125
267.531,35.125
268.555,35.125
269.578,35.094
270.553,35.094
271.567,35.125
272.554,35.094
273.527,35.094
274.551,35.062
275.580,35.094
276.942,35.094
277.533,35.125
278.549,35.125
279.524,35.156
280.547,35.156
281.597,35.094
282.546,35.094
283.570,35.062
284.547,35.094
285.568,35.062
286.551,35.031
287.569,34.969
288.545,34.969
289.566,34.938
290.541,34.938
291.811,34.969
292.540,34.969
293.564,35.000
294.539,35.000
295.562,35.000
296.590,35.000
297.561,35.062
298.538,35.062
299.566,35.062
300.540,35.094
301.559,35.125
302.685,35.156
303.557,35.156
304.533,35.156
305.561,35.125
