df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,quality
10.571,100
11.401,0
12.420,0
13.547,0
14.374,0
15.254,23
16.421,0
17.350,0
18.231,0
19.413,18
20.321,14
21.200,17
22.417,18
23.295,0
24.172,36
25.391,77
26.268,72
27.146,72
28.366,76
29.538,78
30.216,79
31.584,77
32.216,83
33.139,89
34.312,81
35.195,82
36.067,86
37.288,27
38.166,21
39.233,24
40.262,27
41.137,16
42.161,14
43.526,32
44.429,35
45.091,22
46.253,29
47.085,43
48.013,44
49.184,46
50.061,29
50.985,0
52.593,0
53.032,0
53.963,33
55.129,31
56.006,51
56.932,40
58.103,33
59.029,37
59.952,38
61.321,36
62.002,45
62.936,46
64.050,61
64.976,68
65.853,48
67.072,48
67.950,57
69.124,51
70.046,43
71.116,58
71.802,29
73.020,0
73.992,19
74.775,0
75.994,25
76.872,28
77.749,44
78.967,46
80.138,59
80.772,71
81.943,62
82.821,21
83.745,0
84.916,32
85.793,44
87.011,39
88.035,34
89.059,30
89.839,19
90.911,0
91.790,47
92.715,51
93.989,72
94.714,53
95.640,32
96.810,23
97.738,37
98.616,37
99.788,37
100.711,32
101.880,36
102.758,44
103.688,40
104.562,41
105.731,35
106.903,38
107.535,33
108.851,42
109.632,64
110.569,68
111.679,71
112.605,60
113.484,63
115.096,72
115.584,68
116.505,70
117.675,75
118.567,79
119.433,76
120.657,79
121.527,81
122.405,78
123.623,77
124.502,74
125.422,64
126.597,63
127.477,76
128.354,57
129.573,39
130.450,54
131.566,56
132.547,58
133.507,63
134.299,40
135.574,25
136.397,29
137.273,29
138.496,16
139.370,0
140.295,0
141.468,25
142.351,23
143.270,10
144.440,20
145.317,30
146.340,31
147.413,24
148.586,21
149.264,0
150.540,0
151.265,0
152.486,24
153.362,18
154.384,29
155.165,30
156.579,50
157.261,29
158.138,33
159.548,28
160.234,51
161.112,62
162.282,30
163.210,23
164.088,7
165.259,0
166.182,0
167.072,0
168.278,19
169.165,19
170.035,17
171.255,14
172.139,11
173.049,8
174.228,0
175.140,0
175.983,17
177.201,17
178.079,0
178.958,23
180.174,46
181.070,72
181.978,78
183.148,75
184.119,46
184.951,35
186.123,34
187.002,40
187.925,35
189.095,56
190.410,66
190.898,74
192.117,58
192.995,57
194.021,42
195.042,35
195.973,35
197.040,38
198.070,28
198.946,32
199.821,41
200.992,45
201.932,34
203.037,28
203.982,22
204.890,26
205.767,64
206.991,45
207.864,42
208.741,59
209.961,77
210.935,84
211.718,73
212.933,33
213.811,36
214.692,40
215.907,25
216.931,27
217.666,27
219.027,44
219.772,40
220.636,56
221.855,49
222.878,68
223.662,61
224.832,52
225.706,51
226.632,50
227.802,51
228.680,54
229.608,61
230.776,27
231.653,29
232.580,31
233.801,32
234.649,33
235.697,41
236.740,68
237.674,60
238.531,52
239.697,49
240.624,44
241.504,38
242.680,34
243.600,36
244.477,26
245.647,36
246.575,49
247.449,58
248.669,57
249.546,44
250.424,39
251.787,37
252.528,48
253.397,46
254.616,56
255.493,79
256.405,66
257.590,57
258.561,60
259.344,62
260.617,72
261.442,67
262.366,61
263.536,64
264.414,46
265.341,52
266.510,28
267.425,26
268.459,30
269.484,28
270.411,17
271.382,38
272.460,32
273.390,36
274.263,44
275.551,48
276.358,43
277.528,41
278.453,43
279.338,39
280.213,39
281.428,38
282.305,38
283.183,29
284.405,40
285.279,53
286.400,52
287.378,41
288.282,43
289.325,55
290.349,82
291.228,43
292.261,39
293.326,44
294.448,57
295.175,59
296.539,64
297.177,56
298.194,43
299.277,40
300.148,41
301.076,34
302.536,25
303.121,24
304.049,30
305.219,30
