df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,rr_int
10.911,4230
11.856,2095
12.832,1035
14.004,1015
14.976,1050
15.902,1000
16.878,980
17.853,980
18.853,960
19.852,960
20.631,955
21.606,910
21.616,930
21.753,10
21.756,215
21.899,10
21.902,10
22.094,10
22.435,20
22.582,595
23.118,160
23.800,560
24.096,700
24.678,260
25.604,595
25.613,910
26.584,10
27.457,955
27.559,955
28.432,10
29.358,930
30.240,895
31.211,935
31.217,905
32.052,10
33.016,885
33.989,935
34.964,1020
35.943,990
36.037,955
36.866,10
37.744,920
38.864,955
39.701,990
40.814,975
41.889,1035
42.569,985
43.398,900
44.129,770
44.134,715
44.958,10
45.933,840
45.936,1030
47.105,10
48.029,1035
49.005,1030
49.931,995
50.811,915
50.814,865
51.637,10
52.612,830
53.587,940
54.562,1010
55.537,1015
55.541,1000
56.534,10
57.438,935
57.441,940
58.514,10
58.517,990
59.395,10
60.575,1045
61.485,1015
62.462,960
63.288,955
63.292,965
64.410,10
65.384,1025
66.360,1025
66.371,1000
67.334,10
68.166,925
68.261,910
69.138,10
70.113,920
71.091,975
72.063,995
73.082,980
73.867,945
74.696,885
75.671,880
76.647,960
77.767,1010
78.742,1000
79.584,975
80.402,900
80.408,820
81.277,10
82.252,785
83.038,865
84.007,1020
84.983,1000
85.957,970
86.933,990
87.082,895
87.127,250
87.761,10
88.502,575
89.371,790
90.307,875
91.271,980
92.198,965
93.173,970
94.050,955
94.879,900
95.610,765
96.244,710
97.365,725
98.341,1025
99.364,1060
100.292,970
101.119,885
101.122,925
102.093,10
103.263,1025
104.190,1035
105.021,970
105.848,875
106.824,840
107.798,945
108.627,975
108.945,905
109.455,220
110.137,585
111.112,790
111.116,880
112.092,10
113.065,995
113.068,1000
114.041,10
114.866,895
115.695,855
115.699,890
116.670,10
117.499,955
118.280,820
118.284,775
119.059,10
120.180,855
121.155,1015
121.159,1020
122.130,10
123.105,990
123.934,945
124.617,845
125.445,755
126.274,755
127.249,900
128.373,1025
129.345,1045
130.417,995
131.247,925
131.258,855
132.026,10
132.806,860
132.812,890
133.781,10
134.756,950
135.732,1000
136.708,980
137.736,970
138.364,895
139.243,810
139.924,740
140.899,795
141.876,935
142.804,985
143.776,975
144.605,920
145.337,850
146.169,780
146.609,745
146.993,10
147.822,825
148.949,960
149.043,1020
149.918,10
150.747,970
151.868,940
152.550,915
153.233,850
154.062,740
154.947,730
155.915,910
156.894,1040
157.824,980
158.693,920
159.522,895
160.352,845
161.036,775
162.008,760
163.005,865
163.812,965
163.815,965
164.936,10
165.470,875
166.299,775
167.132,750
168.102,885
169.077,945
170.052,985
170.881,960
170.884,905
171.710,10
172.443,790
173.269,745
174.098,775
175.084,940
175.122,955
176.115,10
176.877,910
176.880,810
177.559,10
177.563,715
178.440,10
179.168,700
180.144,805
181.072,1050
181.900,985
182.727,880
182.731,755
183.556,10
184.385,790
185.411,940
185.414,910
186.237,10
186.880,825
187.602,700
188.435,705
189.406,905
189.811,910
189.942,485
189.968,15
190.088,280
191.746,830
192.429,760
193.260,810
193.988,730
193.993,700
194.749,10
195.353,685
196.106,710
196.915,780
197.596,780
198.425,750
199.254,785
200.572,920
200.943,910
201.648,765
201.889,710
202.373,10
203.014,655
203.837,760
204.000,830
204.128,275
205.645,615
206.764,835
207.053,915
207.443,540
208.326,350
208.605,945
208.612,190
208.616,10
209.247,15
209.842,675
210.661,660
211.353,740
211.928,800
212.319,555
213.739,340
215.683,1365
215.926,2240
217.730,920
218.120,895
218.559,305
218.754,560
218.757,170
218.802,20
218.810,10
218.813,10
218.851,10
218.854,15
218.857,10
219.000,15
219.003,10
219.049,180
219.061,10
219.068,25
219.290,185
220.655,735
220.948,725
221.338,270
222.069,410
222.752,705
223.629,695
223.639,800
224.801,10
224.805,870
225.386,10
225.530,795
225.822,295
226.115,550
227.187,1220
229.040,10
229.045,1680
229.143,10
229.284,400
230.551,320
230.555,870
231.246,10
231.965,735
232.745,745
233.577,815
233.868,835
234.457,10
234.601,860
235.673,10
236.304,895
236.938,805
237.187,790
237.230,245
237.233,15
237.525,10
238.595,540
239.277,795
239.716,735
240.018,460
240.692,270
241.379,700
242.205,710
242.208,755
243.036,10
243.762,825
244.445,770
245.420,685
245.424,905
246.249,10
247.077,915
247.081,835
247.906,10
247.910,760
248.589,10
249.320,720
249.323,780
250.002,10
250.832,675
251.515,755
252.489,775
253.224,890
254.049,820
254.053,780
254.293,10
254.298,295
254.731,10
254.735,430
255.414,10
256.243,685
256.389,870
257.072,10
257.804,775
258.730,750
259.168,725
259.859,660
260.728,670
260.837,875
260.971,140
260.975,20
261.022,20
261.487,10
261.801,445
261.947,495
262.093,230
263.751,845
264.482,855
265.310,715
265.313,800
265.993,10
266.285,705
266.288,320
266.383,10
266.432,110
266.676,255
267.504,10
268.092,795
268.333,635
268.918,280
268.921,510
269.746,10
270.429,795
270.435,775
271.261,10
271.989,705
272.379,845
273.355,285
274.038,1040
274.041,695
275.450,10
275.453,1385
276.133,10
276.815,680
277.548,715
