df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,ppg_quality
57.576,103
59.596,104
60.606,105
62.626,103
64.646,101
66.666,101
68.676,101
69.686,101
70.696,102
71.706,102
73.726,106
75.746,109
77.766,112
79.786,112
80.796,108
81.806,105
84.836,103
86.856,99
88.876,96
90.896,97
91.906,99
93.926,99
95.946,100
97.966,99
99.986,100
102.006,100
104.026,101
105.036,99
107.056,103
109.076,104
111.096,104
113.116,102
115.136,104
118.166,93
120.186,92
121.196,94
122.206,95
123.216,94
125.236,94
126.246,93
127.256,96
129.276,104
131.296,103
133.316,105
135.336,105
137.356,106
138.366,105
140.386,104
142.406,108
144.426,107
146.446,103
147.456,103
148.466,106
150.486,108
151.496,107
153.516,99
155.536,102
157.556,107
159.576,102
160.586,100
162.606,100
164.626,106
166.646,99
168.666,98
169.676,102
170.686,105
171.696,106
173.716,100
175.736,101
176.746,105
177.756,104
179.776,99
181.796,101
183.816,103
184.826,103
186.846,99
188.866,101
189.876,100
190.886,97
192.906,73
194.926,66
195.936,64
197.956,60
199.976,60
201.996,72
204.016,86
206.036,84
207.046,80
209.066,73
210.076,72
211.086,66
212.096,57
213.106,22
215.126,53
217.146,58
218.156,61
219.166,49
220.176,55
221.186,51
222.196,53
224.216,69
225.226,55
226.236,40
228.256,53
230.276,53
232.296,56
233.306,57
235.326,58
237.346,67
239.366,80
241.386,80
243.406,93
245.426,93
246.436,93
248.456,86
249.466,84
250.476,85
252.496,88
253.506,88
254.516,90
256.536,91
257.546,86
258.556,84
259.566,87
261.586,88
263.606,85
264.616,80
265.626,73
267.646,63
268.656,55
270.676,38
272.696,27
274.716,34
276.736,51
277.746,54
278.756,53
279.766,60
281.786,67
283.806,71
285.826,47
287.846,58
288.856,70
290.876,69
292.896,80
294.916,78
296.936,82
298.956,73
300.976,77
301.986,75
302.996,70
304.006,64
306.026,68
308.046,65
310.066,64
311.076,60
312.086,60
314.106,66
315.116,74
317.136,79
319.156,76
321.176,67
322.186,66
323.196,66
325.216,62
326.226,64
328.246,71
330.266,85
332.286,87
334.306,88
335.316,89
337.336,93
339.356,88
341.376,87
343.396,89
346.426,84
348.446,83
349.456,85
350.466,85
352.486,86
354.506,82
356.526,81
358.546,74
359.556,69
361.576,62
362.586,64
363.596,65
365.616,53
367.636,54
369.656,60
370.666,62
372.686,66
374.706,82
375.716,91
376.726,95
377.736,93
378.746,91
380.766,88
381.776,90
383.796,84
385.816,82
387.826,83
388.836,89
390.856,84
391.866,76
392.876,68
394.896,63
395.906,60
396.916,59
397.926,54
398.936,52
399.946,57
401.966,71
402.976,78
403.986,81
406.006,85
408.026,88
410.046,86
412.066,85
414.086,68
415.096,59
417.116,58
419.136,65
421.156,65
422.166,65
424.186,83
425.196,89
428.226,84
429.236,80
430.246,86
432.266,95
434.286,101
436.306,112
437.316,111
439.336,114
441.356,105
442.366,103
443.376,106
445.396,101
446.406,98
447.416,99
448.426,98
450.446,102
452.466,103
454.486,98
456.506,101
457.516,101
458.526,102
459.536,103
461.556,97
462.566,95
463.576,97
465.596,104
467.616,105
469.636,98
472.666,96
473.676,84
474.686,75
475.696,69
476.706,61
478.726,42
479.736,48
480.746,53
481.756,50
482.766,48
483.776,62
484.786,60
485.796,70
486.806,67
487.816,74
489.836,69
491.856,53
