df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,quality
9.614,100
10.891,100
11.664,100
12.542,0
13.760,0
14.638,36
15.809,42
16.734,81
17.612,84
18.490,88
19.712,89
20.588,87
21.464,85
22.683,87
23.608,65
24.438,49
25.659,40
26.579,54
27.554,48
28.680,50
29.804,65
30.530,86
32.039,84
32.498,84
33.410,88
34.623,85
35.509,82
36.442,85
37.551,90
38.477,87
39.501,87
40.574,89
41.451,85
42.407,86
43.548,85
44.425,58
45.358,33
46.521,48
47.398,40
48.568,37
49.689,54
50.499,84
51.296,77
52.469,65
53.348,72
54.274,76
55.492,68
56.516,73
57.292,83
58.471,85
59.388,84
60.220,82
61.396,81
62.367,84
63.240,84
64.364,84
65.290,87
66.167,86
67.630,87
68.410,85
69.485,80
70.362,81
71.583,86
72.358,85
73.339,86
74.211,87
75.283,78
76.353,76
77.185,78
78.157,74
79.334,79
80.160,86
81.088,76
82.356,60
83.327,67
84.059,68
85.229,53
86.156,65
87.034,85
88.496,76
89.178,62
90.296,59
91.227,64
92.104,60
92.981,69
94.200,77
95.076,82
95.978,54
97.173,32
98.053,47
98.974,38
100.147,38
101.029,51
101.902,66
103.171,71
104.044,74
104.921,79
106.097,75
107.018,67
107.903,73
109.110,78
109.945,77
110.948,69
112.088,59
112.970,62
113.846,52
115.313,62
116.234,68
116.819,66
117.989,69
118.916,73
119.839,68
120.964,63
121.890,54
122.767,50
123.986,72
124.863,71
125.744,43
127.010,46
127.936,59
128.716,42
129.938,36
130.815,71
131.739,76
132.921,64
133.990,71
134.711,82
136.038,75
136.761,78
137.685,87
138.884,86
139.733,59
140.707,45
141.829,60
142.755,55
143.632,43
144.802,70
145.732,75
146.854,52
147.776,53
148.943,66
149.587,49
150.898,43
151.678,70
152.748,82
153.772,69
154.942,45
155.529,55
156.889,53
157.816,36
158.503,45
159.771,75
160.889,70
161.669,52
162.696,63
163.572,65
164.498,52
165.713,57
166.545,69
167.569,52
168.652,63
169.568,61
170.445,54
171.615,73
172.538,75
173.467,53
174.589,51
175.560,60
176.587,51
177.611,59
178.489,55
179.461,30
180.586,45
181.463,33
182.340,29
183.609,47
184.438,43
185.363,60
186.875,69
187.412,63
188.431,47
189.797,49
190.433,55
191.359,53
192.629,59
193.360,57
194.358,59
195.649,57
196.331,62
197.260,77
198.720,78
199.451,82
200.281,63
201.643,64
202.279,72
203.449,48
204.521,47
205.302,57
206.233,52
207.349,51
208.321,72
209.166,66
210.332,58
211.343,33
212.276,10
213.732,10
214.419,14
215.125,0
216.321,0
217.203,0
218.175,0
219.536,0
220.172,0
221.096,25
222.267,27
223.436,31
224.123,62
225.289,47
226.413,9
227.044,15
228.265,11
229.138,12
230.021,11
231.240,10
232.358,0
233.047,0
234.452,20
235.348,47
235.965,57
237.181,63
238.062,76
238.988,70
240.411,66
241.088,62
241.917,65
243.424,70
244.155,66
245.040,69
246.106,63
246.983,53
247.862,55
249.079,56
249.957,50
250.883,50
252.054,69
252.957,73
253.859,53
255.187,55
255.906,41
256.831,38
258.050,42
258.927,51
259.854,45
261.472,49
261.901,50
262.874,40
263.994,38
264.878,35
265.755,35
266.972,35
267.849,51
268.726,62
269.946,62
270.822,69
271.759,66
272.919,37
273.799,22
274.677,42
275.941,26
276.770,0
277.697,0
278.866,0
279.793,5
280.670,24
281.840,44
282.718,55
283.644,59
284.814,40
285.740,33
286.714,36
287.833,35
288.732,33
289.734,41
291.002,50
291.688,67
292.588,80
293.785,74
294.661,59
295.541,39
296.760,33
297.637,0
298.564,0
299.736,0
300.660,32
301.538,54
302.708,68
303.587,69
304.652,67
305.680,63
306.557,59
307.529,60
308.699,66
309.603,75
310.457,82
312.014,83
312.647,73
313.431,67
314.646,70
315.526,66
316.404,76
317.623,86
318.501,85
319.427,73
320.840,67
321.526,62
322.400,38
323.572,41
324.450,46
325.374,42
326.593,35
327.471,74
328.446,83
329.521,83
330.636,91
331.323,82
332.637,75
333.712,76
334.296,79
335.660,81
336.400,80
337.270,80
338.562,80
339.366,73
340.343,66
341.462,74
342.385,82
343.265,76
344.925,83
345.410,85
346.531,80
347.411,85
348.628,87
349.264,81
350.434,77
351.311,81
352.187,70
353.406,64
354.283,65
355.161,65
356.379,66
357.501,65
358.229,72
359.453,70
360.523,65
361.304,64
362.327,70
363.253,64
364.131,68
365.747,63
366.276,61
367.105,56
368.324,48
369.201,55
370.370,56
371.301,43
372.177,43
373.053,44
374.278,45
375.151,49
376.074,68
377.246,72
378.271,75
379.051,76
380.218,78
381.194,78
382.022,71
383.289,80
384.362,78
385.139,75
386.259,73
387.151,70
387.970,62
389.189,58
390.112,44
390.993,41
392.163,39
393.085,38
393.968,38
395.379,58
396.208,53
396.941,59
398.113,61
399.130,67
400.014,66
401.093,72
402.112,83
402.891,87
404.057,79
405.081,84
405.861,86
407.080,79
407.958,78
408.884,64
410.060,60
410.931,39
411.809,38
413.028,39
413.999,34
414.783,34
416.242,39
416.880,35
417.807,46
418.975,36
419.861,0
420.827,33
422.101,53
422.872,41
423.909,36
