df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,heart_rate
9.565,46
10.882,46
11.661,44
12.539,44
13.757,45
14.635,44
15.514,44
16.731,60
17.609,61
18.486,61
19.705,62
20.582,63
21.460,64
22.679,64
23.604,65
24.434,64
25.656,64
26.533,69
27.461,67
28.676,68
29.799,67
30.453,66
31.731,65
32.478,66
33.404,66
34.583,66
35.500,65
36.434,64
37.548,63
38.474,63
39.354,63
40.570,63
41.448,63
42.402,62
43.545,62
44.422,63
45.348,60
46.518,60
47.395,60
48.325,60
49.493,60
50.495,60
51.247,61
52.465,62
53.343,64
54.269,65
55.488,65
56.318,64
57.243,63
58.462,62
59.292,62
60.217,62
61.387,62
62.362,61
63.191,61
64.361,61
65.287,61
66.164,61
67.341,61
68.264,61
69.482,61
70.357,62
71.578,63
72.115,63
73.331,63
74.208,63
75.088,63
76.304,64
77.182,64
78.110,64
79.330,63
80.156,62
81.082,62
82.258,64
83.191,67
84.056,68
85.226,68
86.152,66
87.030,64
88.492,63
89.175,64
90.081,66
91.222,68
92.100,68
92.978,67
94.196,65
95.073,64
95.975,64
97.170,64
98.050,69
98.926,67
100.143,66
101.022,64
101.898,63
103.166,63
103.996,63
104.872,62
106.091,62
106.970,63
107.895,64
109.107,65
109.942,66
110.945,67
112.042,68
112.965,69
113.843,68
115.308,66
116.146,65
116.816,65
117.986,66
118.912,67
119.790,68
120.960,68
121.886,68
122.764,66
123.982,64
124.860,63
125.738,64
127.005,64
127.931,68
128.711,66
129.930,65
130.809,63
131.734,62
132.904,63
133.787,65
134.707,66
136.025,66
136.755,65
137.681,64
138.881,63
139.729,64
140.704,64
141.825,68
142.751,70
143.629,68
144.799,66
145.725,65
146.849,66
147.773,68
148.704,70
149.577,70
150.755,69
151.673,66
152.565,64
153.769,64
154.939,64
155.524,68
156.766,70
157.631,68
158.498,66
159.765,65
160.597,65
161.473,67
162.691,69
163.568,70
164.494,70
165.664,69
166.542,68
167.565,69
168.639,70
169.564,70
170.442,69
171.612,67
172.489,66
173.464,67
174.586,69
175.557,70
176.392,71
177.608,70
178.486,70
179.412,70
180.582,70
181.459,70
182.337,70
183.559,69
184.433,68
185.360,69
186.871,69
187.407,70
188.290,71
189.528,73
190.429,74
191.314,75
192.624,74
193.355,74
194.352,75
195.452,77
196.328,79
197.255,81
198.428,81
199.306,81
200.277,79
201.401,78
202.276,77
203.227,77
204.375,77
205.298,77
206.225,77
207.346,76
208.272,73
209.150,71
210.320,69
211.252,70
212.127,70
213.352,70
214.241,69
215.120,69
216.316,69
217.193,69
218.169,69
219.293,69
220.167,69
221.050,73
222.263,66
223.195,74
224.119,79
225.286,80
226.410,77
227.041,78
228.260,77
229.114,77
230.018,77
231.236,77
232.116,77
233.040,77
234.184,77
235.088,76
235.962,74
237.146,73
238.059,72
238.985,73
240.220,74
241.084,75
241.910,78
243.150,80
244.008,81
245.030,81
246.103,80
246.980,79
247.857,77
249.076,76
249.954,75
250.880,76
252.050,78
252.951,79
253.854,78
255.173,77
255.901,77
256.828,77
258.001,77
258.924,78
259.850,79
261.460,79
261.898,80
262.824,79
263.963,80
264.871,79
265.750,79
266.968,79
267.845,78
268.723,79
269.942,79
270.819,79
271.747,79
272.915,79
273.793,79
274.670,76
275.938,77
276.767,76
277.693,76
278.863,76
279.789,76
280.667,76
281.837,79
282.714,78
283.641,77
284.810,77
285.737,77
286.617,77
287.786,77
288.719,77
289.651,75
290.786,73
291.684,71
292.585,71
293.781,70
294.658,71
295.536,70
296.754,70
297.632,70
298.558,70
299.728,70
300.654,70
301.532,69
302.702,70
303.579,70
304.509,70
305.676,70
306.553,71
307.479,72
308.649,74
309.599,75
310.453,76
311.652,76
312.549,77
313.427,78
314.600,79
315.523,78
316.401,78
317.619,77
318.497,77
319.423,76
320.610,75
321.519,74
322.397,74
323.567,74
324.445,78
325.371,76
326.590,75
327.467,73
328.442,72
329.515,72
330.443,73
331.318,74
332.539,75
333.427,76
334.293,77
335.521,77
336.390,76
337.266,75
338.559,75
339.362,76
340.338,78
341.458,80
342.336,80
343.262,80
344.436,80
345.407,80
346.257,79
347.406,79
348.362,79
349.259,80
350.429,81
351.306,82
352.184,82
353.402,83
354.280,82
355.157,82
356.376,81
357.498,81
358.183,81
359.375,81
360.230,81
361.155,81
362.324,80
363.250,80
364.128,79
365.743,79
366.273,78
367.101,78
368.320,78
369.198,79
370.076,80
371.294,79
372.171,79
373.049,77
374.268,77
375.145,76
376.071,76
377.241,78
378.265,79
379.045,78
380.215,78
381.190,78
382.019,78
383.193,78
384.359,78
384.996,79
386.253,79
387.139,80
387.966,80
389.185,80
390.063,79
390.989,79
392.159,79
393.036,79
393.963,78
395.158,79
396.014,79
396.937,78
398.107,77
399.035,76
399.923,76
401.080,76
402.059,78
402.885,79
404.054,79
405.078,79
405.858,79
407.077,79
407.954,79
408.880,79
410.050,80
410.928,79
411.806,79
413.024,79
413.906,79
414.779,79
416.002,79
416.876,77
417.802,77
418.972,75
419.849,76
420.824,76
422.092,67
422.823,62
423.905,59
