df_hash,22ZHK4.ZXX6DZ
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.JBFB
person_label,V65
date_time_start,2025-10-31_16-53-13.121000_+03
date_time_start_unix,1761915193.121
date_time_end,2025-10-31_17-01-29.357000_+03
length_difference_noticed,no

time,respiration_rate
82.326,10
87.206,10
91.646,10
95.946,10
105.446,11
109.926,11
114.506,12
118.816,12
123.656,13
127.926,12
132.626,12
137.426,11
141.596,11
146.106,10
150.656,10
154.826,8
159.566,9
163.786,9
168.036,8
172.636,7
176.966,7
181.066,7
185.436,7
189.486,7
193.576,7
197.966,7
202.106,7
206.786,7
211.086,10
353.756,13
362.836,17
367.546,19
413.066,20
417.326,21
479.826,21
