df_hash,22ZHK4.PSDHWK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K20S
person_label,V29
date_time_start,2025-08-06_11-13-35.368000_+03
date_time_start_unix,1754460815.368
date_time_end,2025-08-06_11-15-12.561000_+03
length_difference_noticed,no

time,quality
4.447,100
8.298,100
9.517,10
10.440,0
11.271,0
12.490,24
13.368,56
14.343,62
15.464,60
16.489,63
17.416,60
18.535,67
19.314,44
20.251,41
21.411,24
22.289,3
23.215,0
24.435,8
25.312,0
26.241,0
27.361,0
28.332,0
29.259,0
30.382,0
31.261,0
32.282,22
33.357,24
34.234,0
35.116,28
36.377,0
37.206,0
38.085,35
39.446,34
40.180,27
41.203,21
42.276,27
43.445,0
44.080,0
45.277,0
46.127,17
47.101,21
48.269,20
49.147,17
51.202,28
52.172,25
53.001,26
54.170,28
55.094,3
66.992,53
67.965,57
69.088,45
69.966,28
70.845,24
72.112,24
72.943,39
73.825,44
75.036,48
75.916,57
76.807,68
78.023,70
78.887,70
79.814,70
80.985,70
81.863,67
82.837,68
83.958,47
84.853,43
85.762,46
86.962,50
87.809,45
88.887,46
89.906,60
90.929,60
91.711,57
