df_hash,22ZHK4.PSDHWK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K20S
person_label,V29
date_time_start,2025-08-06_11-13-35.368000_+03
date_time_start_unix,1754460815.368
date_time_end,2025-08-06_11-15-12.561000_+03
length_difference_noticed,no

time,ppg_quality
56.044,26
57.054,65
58.064,69
60.084,65
61.094,62
62.104,41
64.124,40
65.134,47
66.144,49
67.154,49
68.164,42
70.184,44
71.194,43
73.214,53
75.234,35
76.244,32
77.254,31
78.264,36
79.274,43
80.284,48
81.294,48
82.304,49
84.324,69
85.334,82
86.344,88
87.354,88
88.364,91
90.384,97
