df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,perfusion_ir
24.959,0.270
25.635,0.270
37.335,0.270
37.771,0.260
38.407,0.260
40.179,0.260
40.702,0.260
41.289,0.260
41.977,0.250
42.552,0.260
45.473,0.260
46.354,0.260
59.225,0.260
59.812,0.250
63.952,0.250
64.736,0.260
65.223,0.250
67.804,0.250
68.243,0.250
69.560,0.250
70.144,0.250
85.110,0.240
85.553,0.240
86.092,0.240
87.204,0.240
94.568,0.200
95.694,0.180
97.344,0.180
98.521,0.180
99.147,0.180
102.074,0.180
103.055,0.170
103.493,0.170
105.293,0.170
107.096,0.170
107.581,0.170
108.315,0.160
110.124,0.160
111.874,0.160
112.956,0.160
113.970,0.160
115.189,0.160
116.896,0.160
117.245,0.150
117.919,0.150
118.920,0.150
119.922,0.150
121.088,0.150
121.721,0.150
122.259,0.150
123.380,0.150
123.866,0.140
124.402,0.140
130.350,0.140
135.423,0.140
159.214,0.140
162.972,0.140
163.602,0.140
166.133,0.140
169.987,0.130
173.589,0.130
174.087,0.130
175.172,0.130
176.333,0.120
177.589,0.120
219.025,0.130
219.956,0.130
243.445,0.120
261.875,0.120
