df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,rr_int
257.729,255
257.924,255
258.899,355
260.020,915
260.507,950
261.141,645
261.824,515
263.213,780
264.754,1435
265.027,1495
265.336,275
265.790,395
266.358,380
266.650,535
267.820,370
269.331,1210
269.874,1420
269.939,480
270.813,215
271.671,895
272.208,740
272.793,545
273.186,675
274.121,400
274.196,735
274.700,255
275.864,525
276.162,1140
276.448,380
277.326,295
277.476,765
278.544,255
278.936,1085
280.007,340
281.518,1000
282.103,1575
282.939,600
283.770,745
284.348,895
285.467,635
286.850,1130
287.953,1285
288.051,1350
288.542,300
288.977,10
290.147,580
290.440,1190
291.662,400
293.168,1170
293.364,1455
295.222,175
296.728,1920
297.021,1630
297.898,155
298.191,910
298.489,305
299.702,345
300.871,1225
301.115,1160
301.118,195
301.167,20
301.170,15
301.386,10
301.506,240
303.211,655
303.925,1160
304.404,695
305.454,355
305.948,1265
306.136,400
306.331,180
307.696,265
308.232,1465
309.208,360
309.500,1205
309.744,180
310.484,235
311.255,810
311.888,680
313.595,750
314.277,1600
315.155,755
315.691,835
316.286,505
317.543,615
319.350,1445
319.596,2000
320.536,610
321.200,250
321.395,705
322.226,250
322.813,670
323.198,680
323.786,305
324.856,730
325.297,975
325.304,490
326.464,10
326.468,1230
326.473,10
326.761,195
327.344,270
327.440,325
328.336,210
328.471,815
329.734,185
329.758,1160
330.532,10
331.101,875
332.315,520
332.948,1250
333.632,595
334.167,770
335.308,475
335.678,1175
336.994,440
337.628,1305
338.067,575
338.070,565
338.118,10
338.126,10
338.221,10
338.244,15
338.279,10
338.381,15
338.384,285
338.408,10
338.603,10
339.334,15
339.341,775
339.724,10
340.455,575
340.466,695
340.512,10
341.040,10
341.634,425
343.088,675
343.136,1330
343.141,180
344.306,15
344.311,1070
344.605,10
346.695,365
346.987,1980
348.206,490
348.378,1135
348.744,160
348.791,300
349.084,240
350.284,265
350.893,1120
351.132,860
351.472,290
351.477,25
352.452,10
352.642,975
352.935,250
352.939,290
353.276,10
353.764,365
354.056,440
354.318,270
355.031,270
356.104,890
356.201,910
356.206,180
356.500,10
358.200,220
358.737,1630
359.711,565
361.271,1060
361.274,1515
361.514,240
362.782,1245
362.953,10
363.085,265
363.124,15
363.127,10
363.151,120
365.025,1315
366.013,560
366.172,1200
366.829,300
367.904,295
368.052,1170
368.167,285
368.195,15
368.206,15
368.442,225
369.900,1200
371.120,300
372.483,1100
372.580,1525
372.584,15
372.629,10
372.633,10
372.636,10
372.683,10
372.693,10
372.696,10
372.699,10
373.074,10
374.338,385
374.969,1295
376.239,615
376.246,1350
376.283,10
376.480,235
378.186,1665
378.192,10
378.235,25
378.241,140
378.430,85
378.436,20
378.479,20
378.485,10
379.749,515
380.039,895
380.332,260
380.624,355
380.627,155
380.675,10
381.310,10
381.501,710
381.745,340
381.895,10
382.915,615
383.208,575
383.215,265
383.356,10
383.362,10
383.452,245
383.890,400
383.899,10
383.939,155
384.919,815
384.922,160
384.926,10
385.111,10
386.474,10
386.864,1510
387.501,535
388.155,610
388.160,575
388.667,10
389.253,505
389.886,580
389.984,590
390.230,90
391.447,290
391.933,1250
392.473,540
392.518,555
392.624,10
393.060,10
393.737,505
394.072,650
394.179,285
394.182,20
394.336,220
394.858,550
395.253,10
395.980,470
396.419,720
397.247,520
397.588,700
398.469,525
399.977,850
400.319,1435
402.074,485
402.666,1630
403.536,550
404.025,1015
404.315,360
404.754,310
405.004,510
405.053,255
405.291,10
405.441,445
405.637,225
408.313,995
408.898,1580
408.902,560
409.191,245
410.507,285
410.994,1170
412.808,520
412.830,1765
413.090,15
413.093,280
413.188,15
413.386,10
413.921,175
413.971,770
413.978,15
414.262,195
414.553,320
415.138,10
415.771,595
416.310,645
417.108,605
417.234,620
417.479,525
417.531,20
417.672,10
419.623,1070
419.916,1080
420.695,235
420.699,750
420.844,30
421.085,10
422.349,410
422.889,1180
423.430,620
423.474,610
424.107,10
424.693,445
424.987,1030
425.573,290
426.301,365
426.305,695
426.496,10
426.740,15
427.325,405
427.471,815
427.666,235
430.054,1165
430.059,1155
430.325,15
430.347,15
430.447,20
430.591,395
431.127,610
431.671,10
432.107,475
432.741,415
433.906,750
434.735,1065
435.027,825
436.587,535
436.841,1460
436.880,260
438.927,900
439.268,1125
440.730,470
440.734,1340
440.784,10
440.810,10
440.975,195
441.267,305
441.959,10
442.124,665
442.250,200
442.486,10
442.785,410
443.607,295
443.610,765
443.756,10
443.809,230
444.045,10
445.168,290
445.343,1050
445.347,225
445.361,15
445.365,25
445.412,15
445.430,10
445.433,10
445.459,10
445.462,15
445.709,215
445.803,10
446.678,540
447.263,500
447.801,530
448.100,490
448.774,490
449.066,600
449.070,230
449.312,260
450.003,685
450.142,15
450.149,180
450.285,10
451.465,265
452.089,1070
453.210,585
453.503,1090
454.727,265
456.234,1290
456.531,1620
456.573,190
456.577,10
456.581,15
456.584,10
456.674,15
456.678,20
456.837,240
456.869,135
457.110,295
457.744,10
458.915,565
460.327,1035
461.058,1545
462.472,600
462.965,1505
463.713,540
464.775,830
465.154,955
466.285,340
466.330,1315
468.664,925
469.053,1360
470.713,350
471.101,1680
472.807,440
473.197,1610
474.323,475
