df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,omega
24.965,0.638
25.642,0.638
37.339,0.638
37.775,0.638
38.411,0.623
40.187,0.608
40.705,0.605
41.338,0.602
41.995,0.600
42.555,0.597
45.477,0.600
46.358,0.600
59.229,0.594
59.817,0.587
63.956,0.580
64.743,0.580
65.227,0.580
67.807,0.570
68.247,0.555
69.567,0.546
70.147,0.544
85.114,0.546
85.556,0.545
86.100,0.543
87.207,0.543
94.571,0.486
95.737,0.483
97.350,0.485
98.528,0.486
99.153,0.485
102.083,0.483
103.059,0.483
103.497,0.485
105.297,0.485
107.100,0.485
107.605,0.481
108.320,0.477
110.130,0.475
111.878,0.475
112.961,0.467
114.018,0.467
115.194,0.467
116.913,0.467
117.249,0.460
117.922,0.457
118.923,0.451
119.963,0.450
121.091,0.450
121.725,0.443
122.262,0.443
123.386,0.443
123.870,0.443
124.406,0.443
130.356,0.450
135.426,0.450
159.258,0.450
162.994,0.455
163.607,0.460
166.137,0.456
169.990,0.468
173.599,0.476
174.127,0.482
175.177,0.487
176.513,0.495
177.593,0.513
219.030,0.525
219.970,0.536
243.468,0.536
261.879,0.554
