df_hash,22ZHK4.JVF6GR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2LVU
person_label,V157
date_time_start,2026-06-08_20-04-04.390000_+03
date_time_start_unix,1780931044.39
date_time_end,2026-06-08_20-13-20.835000_+03
length_difference_noticed,no

time,ppg_quality
57.687,69
58.697,61
59.707,56
60.717,55
62.737,57
63.747,59
64.757,67
66.777,81
67.787,88
69.797,88
71.817,85
73.837,84
75.857,84
76.867,83
77.877,83
79.897,90
82.927,91
84.947,90
86.967,94
88.987,93
91.007,94
93.027,96
95.047,99
96.057,98
98.077,96
100.097,90
101.097,86
102.107,86
103.117,86
104.127,84
105.137,82
107.157,81
108.167,79
109.177,81
111.197,87
113.217,88
114.227,91
115.237,95
117.257,98
119.277,96
120.287,96
122.307,95
124.327,91
125.337,62
126.347,54
128.367,47
129.377,41
130.387,53
132.407,29
134.417,20
136.437,49
137.447,51
139.467,55
141.487,27
143.507,50
145.527,43
147.547,38
149.567,37
150.577,42
151.587,44
152.597,41
154.617,55
155.627,57
158.657,74
160.677,81
161.687,85
162.697,91
164.717,96
166.737,99
168.757,103
169.767,106
171.787,106
173.807,95
175.827,87
176.837,84
177.847,82
178.857,82
179.867,80
181.887,71
182.897,67
183.907,57
185.927,56
186.937,44
187.947,32
188.957,15
190.977,6
194.007,1
196.027,3
198.047,23
199.057,33
200.067,39
201.077,52
202.087,63
203.097,63
204.107,74
206.127,68
208.147,63
210.167,70
211.177,72
212.187,75
213.197,78
215.217,74
217.237,81
219.257,85
221.277,73
223.297,44
225.317,69
227.337,56
228.347,62
229.357,55
230.367,56
231.377,58
232.387,69
234.407,59
235.417,57
236.427,60
238.447,55
240.467,59
242.487,55
243.497,52
245.517,57
247.537,59
249.557,56
250.567,57
252.587,70
253.597,76
255.617,64
258.647,106
260.667,129
262.687,141
264.707,126
266.727,123
267.737,98
269.757,75
270.767,66
271.777,58
272.787,48
273.797,56
275.817,47
276.827,36
277.837,33
279.857,47
281.877,59
283.897,47
285.917,50
287.937,50
288.947,41
289.957,37
290.967,18
291.977,30
292.987,35
293.997,51
296.017,71
297.027,76
299.047,106
301.067,123
303.087,123
304.097,114
305.107,108
306.117,105
307.127,105
308.137,94
310.157,56
312.177,44
313.187,35
317.227,71
318.237,80
319.247,87
320.257,85
322.277,90
324.297,72
325.307,61
327.327,56
329.347,49
331.367,44
332.377,39
334.397,47
335.407,47
337.427,38
339.447,20
342.477,30
344.497,26
346.517,20
348.537,41
349.547,64
350.557,57
351.567,52
352.577,43
354.597,36
356.617,11
358.637,4
361.667,13
363.687,38
365.707,48
367.727,64
370.757,82
371.767,73
373.787,64
375.807,75
376.817,71
377.827,70
378.837,63
380.857,47
382.877,58
384.897,32
385.907,20
388.937,20
389.947,23
391.967,27
393.987,44
394.997,47
396.007,47
398.027,54
400.047,44
402.067,36
404.087,36
405.097,49
406.107,65
408.127,74
409.137,59
411.157,62
413.177,47
415.197,24
416.207,26
417.217,24
418.227,15
420.247,27
421.257,19
423.277,55
424.287,76
426.307,66
428.327,54
429.337,56
430.347,51
432.367,43
434.387,22
436.407,4
438.427,28
441.457,47
443.477,44
445.497,69
446.507,63
447.517,57
448.527,46
449.537,38
450.547,40
451.557,37
453.577,33
454.587,26
456.607,31
458.627,28
459.637,29
460.647,35
462.667,40
464.687,58
466.707,41
468.727,34
469.737,30
471.757,47
473.777,56
475.797,64
476.807,71
477.817,90
478.827,95
480.847,97
481.857,89
482.867,81
483.877,66
485.897,38
487.917,26
488.927,23
490.947,23
492.967,18
494.987,32
497.007,38
498.017,36
499.027,33
500.037,17
501.047,17
502.057,20
504.077,30
506.097,38
508.117,49
510.137,68
512.157,79
514.177,73
516.197,83
517.207,83
518.217,86
519.227,91
521.247,66
523.267,58
525.287,64
527.307,44
528.317,32
529.327,20
530.337,34
531.347,36
532.357,34
534.377,35
535.387,28
536.397,18
538.417,32
540.437,37
541.447,43
542.457,55
543.467,55
544.477,53
545.487,56
547.507,77
549.527,59
551.547,21
