df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,temperature
-55.522,35.719
-54.503,35.750
-53.480,35.812
-52.504,35.844
-51.481,35.781
-50.505,35.812
-49.481,35.812
-48.434,35.812
-47.483,35.844
-46.115,35.812
-45.483,35.875
-44.508,35.875
-43.436,35.844
-42.509,35.875
-41.485,35.938
-40.264,35.906
-39.487,35.938
-38.512,35.938
-37.488,35.938
-36.490,35.969
-35.489,35.938
-34.514,35.938
-33.490,35.969
-32.514,36.000
-31.491,36.031
-30.458,36.062
-29.492,36.094
-28.516,36.125
-27.493,36.188
-26.479,36.219
-25.494,36.188
-24.519,36.250
-23.495,36.250
-22.520,36.250
-21.492,36.250
-20.227,36.250
-19.498,36.281
-18.276,36.281
-17.499,36.250
-16.524,36.281
-15.445,36.281
-14.279,36.250
-13.501,36.312
-12.526,36.312
-11.500,36.344
-10.478,36.375
-9.503,36.375
-8.528,36.406
-7.504,36.406
-6.476,36.406
-5.506,36.438
-4.481,36.469
-3.506,36.406
-2.483,36.406
-1.508,36.438
-0.484,36.406
0.491,36.375
1.515,36.344
2.518,36.312
3.514,36.375
4.503,36.375
5.707,36.344
6.488,36.344
7.659,36.344
8.487,36.312
9.511,36.312
10.631,36.312
11.510,36.375
12.586,36.375
13.509,36.375
14.484,36.375
15.507,36.406
16.677,36.406
17.510,36.438
18.481,36.469
19.505,36.500
20.480,36.500
21.504,36.469
22.486,36.469
23.503,36.500
24.506,36.500
25.502,36.469
26.504,36.500
27.501,36.562
28.476,36.562
29.500,36.531
30.475,36.531
31.644,36.500
32.473,36.531
33.497,36.500
34.618,36.500
35.496,36.531
36.520,36.531
37.495,36.500
38.718,36.469
39.496,36.500
40.469,36.531
41.494,36.594
42.472,36.562
43.492,36.594
44.515,36.594
45.493,36.594
46.514,36.625
47.509,36.625
48.513,36.625
49.488,36.625
50.513,36.594
51.486,36.656
52.517,36.719
53.487,36.719
54.558,36.750
55.489,36.750
56.509,36.750
57.483,36.750
58.514,36.750
59.487,36.750
60.514,36.750
61.482,36.719
62.508,36.656
63.589,36.688
64.507,36.656
65.479,36.656
66.502,36.688
67.478,36.688
68.502,36.688
69.688,36.750
70.500,36.781
71.475,36.781
72.499,36.812
73.475,36.781
74.498,36.781
75.524,36.812
76.497,36.781
77.767,36.812
78.496,36.812
79.471,36.844
80.495,36.844
81.470,36.844
82.559,36.844
83.713,36.875
84.492,36.875
85.516,36.875
86.491,36.906
87.761,36.906
88.490,36.938
89.469,36.906
90.489,36.906
91.535,36.906
92.488,36.875
93.511,36.844
94.497,36.844
95.510,36.812
96.503,36.812
97.511,36.719
98.581,36.688
99.518,36.688
100.489,36.656
101.506,36.656
102.481,36.719
103.506,36.750
104.481,36.750
105.505,36.750
106.485,36.750
107.503,36.781
108.478,36.812
109.502,36.781
110.477,36.812
111.501,36.812
112.476,36.781
113.795,36.781
114.506,36.719
115.499,36.719
116.478,36.750
117.498,36.750
118.472,36.719
119.496,36.750
120.476,36.750
121.497,36.781
122.470,36.750
123.546,36.719
124.489,36.750
125.493,36.750
126.468,36.750
127.491,36.812
128.467,36.812
129.490,36.844
130.466,36.875
131.489,36.875
132.464,36.875
133.488,36.938
134.463,36.938
135.489,36.969
136.462,36.969
137.486,36.969
138.462,37.000
139.728,36.969
140.460,36.906
141.483,36.906
142.520,36.844
143.482,36.875
144.603,36.781
145.481,36.750
146.505,36.750
147.530,36.719
148.503,36.719
149.479,36.781
150.502,36.812
151.478,36.812
152.501,36.844
153.479,36.812
154.500,36.906
155.520,36.906
156.499,36.938
157.474,36.938
158.498,36.938
159.672,36.906
160.497,36.875
161.667,36.906
162.495,36.906
163.470,36.938
164.494,36.938
165.469,36.969
166.493,37.000
167.468,36.969
168.493,37.000
169.490,37.000
170.540,37.031
171.466,37.000
172.542,37.031
173.464,37.000
174.488,36.969
175.560,36.938
176.487,36.938
177.462,36.906
178.485,36.938
179.488,36.906
180.485,36.938
181.461,36.906
182.484,36.906
183.459,36.938
184.680,36.875
185.460,36.875
186.581,36.875
187.460,36.875
188.480,36.875
189.506,36.875
190.579,36.875
191.503,36.906
192.483,36.938
193.550,36.906
194.476,37.000
195.500,36.906
196.478,36.938
197.498,36.969
198.475,36.969
199.497,37.000
200.626,36.969
201.497,36.938
202.508,36.906
203.495,36.875
204.470,36.875
205.494,36.969
206.712,36.969
207.493,36.969
208.468,36.969
209.492,36.969
210.467,36.969
211.522,36.969
212.466,37.000
213.495,37.031
214.513,37.031
215.501,37.062
216.463,37.062
217.487,37.062
218.462,37.031
219.486,37.000
220.513,36.969
221.485,36.969
222.460,36.969
223.484,36.969
224.461,37.000
225.483,37.000
226.457,36.938
227.485,36.938
228.456,36.969
229.483,37.000
230.455,37.062
231.479,37.031
232.454,37.062
233.478,37.031
234.698,37.062
235.476,37.062
236.458,37.094
237.475,37.062
238.843,37.094
239.481,37.094
240.497,37.031
241.473,37.094
242.519,37.062
243.472,37.062
244.495,37.031
245.471,37.062
246.494,37.094
247.862,37.125
248.493,37.125
249.468,37.156
