df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,perfusion_ir
-35.631,0.580
-34.947,0.580
-31.833,0.580
-24.958,0.590
-24.758,0.600
-22.710,0.610
-20.619,0.620
-19.935,0.630
-19.008,0.630
-18.521,0.630
-17.836,0.620
-17.106,0.620
-16.277,0.630
-15.449,0.630
-14.522,0.630
-13.940,0.640
-13.157,0.640
-12.423,0.640
-11.549,0.640
-10.866,0.650
-10.183,0.650
-7.404,0.650
-6.578,0.650
-5.939,0.670
-5.305,0.670
-4.624,0.650
-3.941,0.630
-3.214,0.620
5.515,0.620
6.147,0.630
7.323,0.630
8.002,0.630
8.443,0.620
9.028,0.610
11.951,0.610
12.877,0.590
13.462,0.580
13.998,0.560
15.414,0.550
16.098,0.530
16.740,0.530
17.506,0.530
18.094,0.530
18.676,0.520
19.268,0.520
19.849,0.510
20.580,0.510
21.263,0.510
22.094,0.510
22.482,0.510
23.408,0.510
23.846,0.510
24.438,0.510
25.017,0.510
25.699,0.520
29.600,0.520
30.379,0.520
30.818,0.510
31.401,0.510
31.942,0.510
32.671,0.500
33.355,0.490
34.139,0.490
34.474,0.490
35.260,0.490
35.791,0.490
36.377,0.490
44.177,0.490
44.761,0.490
45.298,0.490
45.812,0.490
46.566,0.490
54.271,0.490
55.435,0.480
56.254,0.480
56.902,0.480
58.072,0.480
58.705,0.480
59.295,0.480
59.875,0.480
60.506,0.480
61.196,0.480
61.825,0.480
63.491,0.480
63.977,0.480
64.750,0.480
65.579,0.490
66.259,0.490
67.090,0.490
67.675,0.490
68.358,0.490
68.894,0.490
69.479,0.490
77.247,0.490
82.545,0.490
89.711,0.490
95.318,0.490
95.997,0.490
96.539,0.490
98.243,0.490
98.929,0.490
99.221,0.490
99.852,0.480
100.339,0.470
101.019,0.470
108.334,0.460
110.236,0.450
110.821,0.440
111.454,0.440
112.142,0.440
112.771,0.440
113.258,0.440
113.943,0.440
114.476,0.430
115.018,0.430
115.796,0.430
116.474,0.420
116.974,0.420
117.692,0.410
118.377,0.410
119.109,0.410
119.600,0.410
120.472,0.410
120.912,0.410
121.836,0.410
128.371,0.410
131.546,0.410
132.564,0.410
138.365,0.410
142.512,0.410
175.712,0.410
