df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,ppg_quality
-2.887,101
-0.867,105
0.143,105
2.163,98
4.183,93
6.203,89
8.213,79
10.233,81
11.243,89
12.253,91
13.263,92
15.283,95
17.303,92
19.323,93
21.343,93
23.363,95
24.373,96
26.393,93
28.413,83
30.433,79
32.453,79
34.473,77
36.493,78
37.503,78
39.523,72
41.533,59
43.553,47
45.573,50
46.583,48
47.593,54
50.623,57
52.643,57
54.663,61
56.683,62
57.693,60
58.703,61
60.723,78
61.733,86
63.753,97
65.773,98
67.793,100
68.803,104
69.813,104
71.833,101
72.833,98
74.853,83
76.873,61
77.883,56
78.893,41
80.913,36
81.923,36
82.933,29
84.953,10
87.983,13
90.003,29
92.023,26
93.033,33
95.053,53
97.073,64
98.083,72
99.093,67
101.113,79
103.133,84
105.153,89
107.173,90
108.183,88
110.203,86
111.213,84
112.223,82
114.243,86
116.263,90
118.283,91
121.313,94
123.333,107
125.353,108
126.363,108
127.373,103
129.393,81
130.403,73
131.413,65
132.423,61
133.433,46
134.443,39
135.453,39
136.463,34
137.473,32
138.483,35
140.503,39
142.523,38
144.543,51
146.563,49
147.573,51
148.583,57
149.593,53
151.613,60
153.633,54
155.653,50
157.673,59
158.683,63
159.693,70
160.703,78
161.713,79
162.723,75
164.743,62
165.753,59
166.763,58
168.783,56
170.803,47
172.823,40
174.843,50
175.853,51
177.873,48
179.893,55
181.913,60
182.923,60
183.933,59
184.943,46
185.953,23
187.973,10
193.023,19
194.033,23
195.043,29
196.053,44
197.063,44
198.073,47
200.093,47
202.113,42
204.133,28
206.153,46
208.173,62
210.193,61
211.203,53
213.223,45
214.233,50
215.243,49
217.263,50
219.283,54
221.303,52
222.313,57
223.323,51
224.333,51
225.343,59
226.353,47
228.373,39
229.383,38
230.393,48
232.413,50
233.423,32
234.433,18
237.463,6
243.523,16
245.543,36
246.553,45
248.573,41
249.583,43
250.593,39
252.613,31
254.633,35
255.643,33
256.653,22
257.663,31
258.673,36
259.683,39
260.693,40
261.703,36
262.713,43
263.723,51
265.743,53
267.763,45
269.783,56
270.793,76
272.813,74
274.833,53
276.853,71
278.873,85
280.893,75
282.913,84
284.933,101
286.953,85
289.983,76
292.003,69
293.013,70
294.023,65
295.033,58
296.043,41
297.053,51
298.063,54
300.083,38
301.093,39
302.103,38
303.113,27
305.133,28
307.153,24
308.163,17
309.173,21
311.193,27
313.213,51
314.223,51
315.233,51
317.253,54
318.263,44
319.273,37
320.283,27
322.303,9
334.423,8
335.433,14
336.443,26
337.453,39
338.463,52
339.473,65
341.493,66
342.503,75
343.513,82
345.533,84
347.553,76
348.563,85
349.573,94
350.583,95
351.593,89
353.613,72
354.623,73
356.643,56
358.663,48
360.683,48
362.703,61
364.723,70
367.753,67
369.773,58
371.793,36
373.813,15
375.833,2
377.853,27
378.863,30
379.873,36
380.883,42
381.893,55
383.913,63
385.933,64
386.943,65
387.953,64
390.983,54
393.003,55
395.023,62
397.043,77
398.053,81
400.073,81
402.093,89
403.103,89
404.113,91
406.133,79
407.143,82
408.153,79
410.173,80
411.183,77
412.193,75
415.223,76
417.243,43
419.263,30
421.283,26
422.293,20
423.303,10
425.323,12
426.333,13
428.353,21
430.373,21
432.393,32
