df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,omega
-35.586,0.535
-34.901,0.537
-31.830,0.538
-24.955,0.540
-24.756,0.540
-22.707,0.540
-20.616,0.540
-19.925,0.540
-19.005,0.541
-18.518,0.540
-17.830,0.541
-17.103,0.543
-16.274,0.543
-15.446,0.548
-14.520,0.548
-13.938,0.554
-13.154,0.554
-12.414,0.559
-11.546,0.561
-10.864,0.557
-10.181,0.552
-7.402,0.557
-6.575,0.554
-5.892,0.555
-5.297,0.554
-4.620,0.554
-3.938,0.554
-3.209,0.552
5.520,0.552
6.162,0.554
7.327,0.554
8.005,0.551
8.450,0.551
9.032,0.548
11.954,0.542
12.881,0.542
13.466,0.550
14.001,0.550
15.420,0.542
16.101,0.534
16.748,0.542
17.509,0.534
18.097,0.534
18.680,0.534
19.410,0.542
19.852,0.534
20.583,0.542
21.266,0.550
22.097,0.552
22.485,0.550
23.411,0.550
23.849,0.551
24.447,0.553
25.020,0.553
25.703,0.554
29.603,0.554
30.383,0.556
30.823,0.555
31.405,0.556
31.946,0.556
32.674,0.556
33.362,0.558
34.142,0.558
34.477,0.557
35.285,0.557
35.794,0.557
36.381,0.555
44.183,0.554
44.767,0.554
45.303,0.554
45.816,0.555
46.569,0.555
54.275,0.553
55.439,0.555
56.265,0.553
56.932,0.549
58.078,0.549
58.708,0.549
59.298,0.549
59.878,0.549
60.511,0.544
61.201,0.544
61.828,0.541
63.499,0.540
64.068,0.540
64.754,0.539
65.582,0.540
66.262,0.546
67.093,0.546
67.679,0.546
68.361,0.544
68.991,0.545
69.482,0.545
77.328,0.545
82.558,0.549
89.714,0.550
95.326,0.550
96.002,0.550
96.635,0.550
98.246,0.550
98.932,0.554
99.224,0.554
99.855,0.554
100.343,0.557
101.024,0.558
108.345,0.558
110.240,0.558
110.825,0.558
111.459,0.558
112.332,0.561
112.774,0.564
113.261,0.564
113.956,0.564
114.490,0.561
115.062,0.558
115.800,0.556
116.477,0.553
116.977,0.553
117.696,0.551
118.380,0.551
119.112,0.548
119.742,0.543
120.475,0.543
120.916,0.537
121.839,0.535
128.375,0.537
131.552,0.537
132.569,0.543
138.369,0.543
142.517,0.543
175.716,0.543
