df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,heart_rate
-45.824,94
-44.947,95
-43.729,95
-42.851,95
-41.974,94
-40.755,94
-39.828,94
-38.997,94
-37.781,94
-36.880,94
-36.026,83
-34.807,89
-33.928,87
-33.003,88
-31.829,87
-30.955,87
-29.980,87
-28.810,87
-27.981,87
-27.006,87
-25.885,86
-24.954,87
-24.081,87
-22.908,86
-21.984,86
-21.107,85
-19.925,84
-19.004,84
-18.133,83
-16.963,83
-16.037,83
-15.159,83
-13.937,82
-13.059,81
-12.185,80
-10.966,79
-10.088,79
-9.211,79
-7.970,79
-7.115,81
-6.202,81
-5.018,82
-4.109,82
-3.208,83
-2.044,82
-1.135,83
-0.234,82
0.931,82
1.863,82
2.734,82
3.914,82
4.830,82
5.711,82
6.926,82
7.804,84
8.685,85
9.900,87
10.778,90
11.655,93
13.121,95
13.752,95
14.629,94
15.853,93
16.751,92
17.655,91
18.822,91
19.700,91
20.626,92
21.799,92
22.676,92
23.600,92
24.770,92
25.940,92
26.574,92
27.747,91
28.670,90
29.604,90
30.718,90
31.647,92
32.522,93
33.743,95
34.621,95
35.499,96
36.715,96
37.592,96
38.472,96
39.689,96
40.615,96
41.444,96
42.663,96
43.540,100
44.417,102
45.636,103
46.663,104
47.391,104
48.610,104
49.491,104
50.414,104
51.584,104
52.464,104
53.339,103
54.568,102
55.443,101
56.362,100
57.532,99
58.409,97
59.386,96
60.655,96
61.383,96
62.310,96
63.500,96
64.357,96
65.284,92
66.453,90
67.331,88
68.257,86
69.674,85
70.305,86
71.273,85
72.401,89
73.328,86
74.205,87
75.375,83
76.302,85
77.179,84
78.349,84
79.275,84
80.153,88
81.323,90
82.249,93
83.127,95
84.300,96
85.223,97
86.101,97
87.319,96
88.200,96
89.075,95
90.293,95
91.171,95
92.049,97
93.267,96
94.151,96
95.022,96
96.485,97
97.119,98
98.045,99
99.510,101
100.093,102
101.027,104
102.189,104
103.115,103
103.993,103
105.163,101
106.089,100
106.988,100
108.137,100
109.063,100
109.941,100
111.159,100
112.086,98
112.914,96
114.133,96
115.306,96
115.888,96
117.108,96
118.016,96
118.862,95
120.081,95
120.958,94
121.841,93
123.055,93
123.933,93
124.811,93
126.029,93
126.908,93
127.884,93
129.003,93
129.948,93
130.806,93
131.998,93
132.854,93
133.780,97
134.950,94
135.877,95
136.754,94
137.924,94
138.852,94
139.731,94
140.898,94
141.824,94
142.719,94
143.872,94
144.809,100
145.676,96
146.846,99
147.772,99
148.649,100
149.820,101
150.746,100
151.623,100
152.818,100
153.720,94
154.597,92
155.816,90
156.705,92
157.581,86
159.034,85
159.863,82
160.545,84
161.764,83
162.644,83
163.523,83
164.737,83
165.615,83
166.496,83
167.711,83
168.589,85
169.493,86
170.685,89
171.563,86
172.492,87
173.757,86
174.537,86
175.463,86
176.633,86
177.559,90
178.437,87
179.626,92
180.533,93
181.411,96
182.581,98
183.507,96
184.391,96
185.554,96
186.481,96
187.358,96
188.577,96
189.455,96
190.355,96
191.551,96
192.458,96
193.306,96
194.525,100
195.402,97
196.328,98
197.502,97
198.397,97
199.254,90
200.477,91
201.350,90
202.276,91
203.446,91
204.324,90
205.250,89
206.423,89
207.348,88
208.224,88
209.422,87
210.320,87
211.444,87
212.368,87
213.325,90
214.172,88
215.396,88
216.268,88
217.145,88
218.364,88
219.242,88
220.122,88
221.338,88
222.219,88
223.142,88
224.312,88
225.189,88
226.116,88
227.286,88
228.187,86
229.089,87
230.259,90
231.137,91
232.065,94
233.233,91
234.160,92
235.037,91
236.244,91
237.134,91
238.013,91
239.184,86
240.403,86
241.049,84
242.205,85
243.088,84
243.959,84
245.178,84
246.055,84
246.933,83
248.151,83
249.033,83
249.906,83
251.125,76
252.003,80
252.929,78
254.101,79
254.977,78
255.854,78
257.073,78
257.950,78
258.877,74
260.047,76
260.947,76
261.850,76
263.073,75
263.898,75
264.846,75
265.994,75
266.872,83
267.803,82
268.971,81
269.848,81
270.772,81
271.942,81
272.868,81
273.746,81
274.916,81
275.842,81
276.720,81
278.036,81
278.816,81
279.726,81
280.863,81
281.887,76
282.670,78
283.908,77
284.763,77
285.640,77
286.859,77
287.736,77
288.645,77
289.833,77
290.716,77
291.587,77
292.806,70
293.683,72
294.587,73
295.779,73
296.660,72
297.582,72
299.145,72
299.641,72
300.556,69
301.726,65
302.640,62
303.529,61
304.699,61
305.576,61
306.503,61
307.672,61
308.602,61
309.483,61
310.646,61
311.572,61
312.460,61
314.009,62
314.549,61
315.438,61
316.593,64
317.519,58
318.398,63
319.566,60
320.492,60
321.384,60
322.588,61
323.566,61
324.343,60
325.806,60
326.439,60
327.316,60
328.535,60
329.412,58
330.306,57
331.514,57
332.386,57
333.269,56
334.482,56
335.359,56
336.287,56
337.455,56
338.332,56
339.259,56
340.429,56
341.306,56
342.237,56
343.402,56
344.299,65
345.206,61
346.379,60
347.253,64
348.179,64
349.356,63
350.275,62
351.152,62
352.322,62
353.251,62
354.126,62
355.297,62
356.248,62
357.099,62
358.270,62
359.198,68
360.073,65
