df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,battery
-55.624,59
-45.630,59
-35.585,59
-25.592,59
-15.499,59
-5.603,59
4.492,59
14.401,58
24.380,58
34.377,58
44.369,58
54.412,58
64.406,58
74.400,58
84.399,58
94.393,57
104.383,58
114.377,57
124.371,57
134.366,57
144.360,57
154.403,57
164.397,57
174.391,57
184.385,57
194.379,57
204.373,56
214.467,56
224.361,56
234.355,56
244.350,56
254.397,56
264.385,56
274.380,56
284.374,56
294.366,56
304.358,55
314.351,55
324.445,55
334.336,55
344.342,55
354.370,55
364.369,55
374.358,55
384.361,55
394.341,55
404.334,55
414.327,55
424.363,55
