df_hash,22ZHK4.XSPGQY
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4L3
person_label,V125
date_time_start,2026-04-07_16-37-59.228000_+03
date_time_start_unix,1775561879.228
date_time_end,2026-04-07_16-45-15.946000_+03
length_difference_noticed,no

time,quality
-45.818,51
-44.945,53
-43.726,50
-42.849,34
-41.971,39
-40.752,42
-39.826,40
-38.704,46
-37.778,31
-36.876,38
-36.023,55
-34.804,40
-33.922,33
-33.000,29
-31.781,24
-30.950,34
-29.977,33
-28.807,35
-27.975,48
-27.002,49
-25.882,56
-24.812,50
-24.078,54
-22.862,46
-21.982,46
-21.104,69
-19.690,70
-18.715,76
-18.130,78
-16.913,73
-16.034,72
-15.156,72
-13.840,60
-13.052,73
-12.182,74
-10.963,79
-10.082,79
-9.206,64
-7.967,44
-7.111,47
-6.185,61
-5.016,59
-3.989,65
-2.968,55
-2.042,46
-1.130,49
-0.091,31
1.027,23
2.151,0
2.737,0
3.958,0
4.834,18
5.905,22
6.929,36
7.811,37
8.833,38
9.903,35
10.782,49
11.658,70
13.124,60
13.756,41
14.632,28
16.043,55
16.876,75
17.947,73
18.826,76
19.703,75
20.629,74
21.894,74
22.725,71
23.603,69
24.773,65
25.943,68
26.577,61
27.893,53
28.675,70
29.697,69
30.721,56
31.888,58
32.525,59
33.838,70
34.816,71
35.502,72
36.717,73
37.595,73
38.713,67
39.696,52
40.621,33
41.449,32
42.763,36
43.553,41
44.423,44
45.647,64
46.665,70
47.394,62
48.614,66
49.685,57
50.417,58
51.587,56
52.511,45
53.343,50
54.704,54
55.485,71
56.365,69
57.536,58
58.414,64
59.482,62
60.660,49
61.387,56
62.312,39
63.580,28
64.361,43
65.288,71
66.457,75
67.335,70
68.260,63
69.677,41
70.310,29
71.276,29
72.404,44
73.331,26
74.209,27
75.378,38
76.305,27
77.182,27
78.352,29
79.295,24
80.156,30
81.327,33
82.252,60
83.130,41
84.395,43
85.226,47
86.105,47
87.325,45
88.299,44
89.078,47
90.296,35
91.174,38
92.055,46
93.270,44
94.389,42
95.025,47
96.489,60
97.122,66
98.049,74
99.513,64
100.096,63
101.068,70
102.192,51
103.118,44
103.998,54
105.171,64
106.094,66
106.990,64
108.142,63
109.068,57
109.946,47
111.164,41
112.089,62
112.919,73
114.136,66
115.310,57
115.891,60
117.111,67
118.023,62
118.866,65
120.087,74
120.975,77
121.933,77
123.061,31
123.938,27
124.814,18
126.034,20
126.955,24
128.079,33
129.007,0
130.026,22
130.809,28
132.225,42
132.859,25
133.783,24
134.953,25
135.881,20
136.769,16
137.932,17
139.046,39
139.877,32
140.901,47
141.827,45
142.948,45
143.875,43
145.093,27
145.678,20
146.849,25
147.775,26
148.654,31
149.823,33
150.749,25
151.632,25
152.821,27
153.723,46
154.612,83
155.819,48
156.725,36
157.671,40
159.044,40
159.866,44
160.548,35
161.766,33
162.936,21
163.619,30
164.742,33
165.618,32
166.547,23
167.715,27
168.592,41
169.516,57
170.690,30
171.566,0
172.538,18
173.761,15
174.540,24
175.466,20
176.636,27
177.563,30
178.440,31
179.630,30
180.536,36
181.414,35
182.586,34
183.512,26
184.488,33
185.560,0
186.486,20
187.364,28
188.581,24
189.458,26
190.478,24
191.559,0
192.478,0
193.309,35
194.531,24
195.405,0
196.333,3
197.550,41
198.400,39
199.257,33
200.621,44
201.353,46
202.279,61
203.449,57
204.327,66
205.253,65
206.471,63
207.395,62
208.230,61
209.427,52
210.323,48
211.459,33
212.372,35
213.490,42
214.177,33
215.488,37
216.271,55
217.148,56
218.367,44
219.251,42
220.415,32
221.341,0
222.224,12
223.146,3
224.323,2
225.192,0
226.142,0
227.289,0
228.206,27
229.093,22
230.264,29
231.140,28
232.068,34
233.237,0
234.165,0
235.041,25
236.451,0
237.137,0
238.160,0
239.474,39
240.406,46
241.231,46
242.301,26
243.130,21
243.962,21
245.182,25
246.059,27
246.936,30
248.155,17
249.277,22
249.910,26
251.128,32
252.009,1
252.933,0
254.392,0
254.989,0
255.858,0
257.076,0
257.954,0
258.880,28
260.051,21
260.950,15
261.854,13
263.313,14
263.903,19
265.125,26
265.997,20
266.877,31
267.899,30
268.974,23
270.092,27
270.775,17
271.945,24
272.872,31
273.751,24
274.919,25
275.846,23
276.723,27
278.039,24
278.819,22
279.989,0
280.866,0
281.890,30
282.914,0
283.911,0
284.766,0
285.643,0
286.862,31
287.739,31
288.714,24
289.838,21
290.956,14
291.591,24
292.815,23
293.686,14
294.591,14
295.782,21
296.803,20
297.585,29
299.148,0
299.925,0
300.558,27
301.729,37
302.645,33
303.532,33
304.702,47
305.579,5
306.508,0
307.678,28
308.748,30
309.578,26
310.649,26
311.575,23
312.695,19
314.012,28
314.699,39
315.441,35
316.596,35
317.525,39
318.445,35
319.569,44
320.497,52
321.388,59
322.594,58
323.572,56
324.346,42
325.809,36
326.443,38
327.319,37
328.538,0
329.415,40
330.309,37
331.801,0
332.389,34
333.458,40
334.485,42
335.362,20
336.387,34
337.460,29
338.336,29
339.262,23
340.432,22
341.310,22
342.332,20
343.405,20
344.329,29
345.209,21
346.473,21
347.261,30
348.182,29
349.449,15
350.289,23
351.156,29
352.325,31
353.349,35
354.129,35
355.394,21
356.466,20
357.105,16
358.282,18
359.293,24
360.075,19
