df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,ppg_quality
57.577,64
59.597,58
60.607,57
61.617,55
62.627,54
64.647,49
66.667,61
68.677,75
71.707,83
73.727,76
75.747,75
76.757,76
78.777,83
80.797,82
82.817,92
84.837,99
86.857,93
88.877,84
90.897,74
92.917,62
93.927,58
95.947,64
97.967,67
99.987,75
102.007,82
105.037,92
107.057,94
109.077,91
110.087,92
111.097,94
112.107,93
113.117,87
116.147,72
118.167,67
120.187,72
122.207,61
123.217,59
125.237,66
126.247,74
127.257,74
129.277,62
131.297,65
133.317,79
135.337,77
137.357,80
138.367,86
139.377,94
140.387,94
142.407,92
144.427,86
146.447,88
148.467,89
149.477,86
151.497,84
152.507,85
153.517,93
155.537,101
156.547,101
157.557,101
158.567,104
159.577,104
160.587,103
162.607,98
164.627,86
165.637,83
166.647,83
167.657,80
169.677,78
171.697,82
173.717,92
175.737,95
177.757,94
179.777,91
181.797,90
182.807,90
183.817,98
184.827,86
186.847,68
188.867,69
190.887,65
192.907,52
193.917,34
194.927,40
195.937,46
197.957,54
199.977,58
200.987,63
201.997,65
203.007,68
204.017,72
205.027,77
207.047,86
209.067,82
211.087,70
213.107,74
215.127,71
216.137,72
218.157,70
220.177,78
222.197,83
224.217,90
226.237,91
227.247,89
229.267,93
230.277,90
231.287,85
233.307,76
234.317,71
235.327,64
237.347,64
238.357,63
240.377,64
242.397,79
244.417,87
245.427,90
246.437,89
248.457,85
250.477,88
251.487,85
253.507,79
254.517,80
255.527,83
257.547,86
258.557,86
259.567,95
261.587,94
262.597,85
263.607,81
264.617,73
266.637,66
268.657,66
270.677,55
271.687,59
273.707,64
275.727,67
276.737,67
277.747,66
278.757,67
280.777,65
281.787,68
282.797,76
283.807,85
284.817,92
286.837,97
288.857,98
289.867,98
291.887,96
292.897,92
294.917,90
295.927,93
297.947,97
299.967,99
301.987,98
304.007,97
305.017,94
307.037,88
309.057,85
310.067,85
311.077,85
313.097,90
315.117,85
316.127,82
318.147,83
319.157,83
320.167,85
322.187,83
323.197,79
324.207,81
325.217,83
326.227,86
328.247,89
329.257,89
331.277,88
333.297,93
335.317,93
336.327,94
337.337,93
338.347,94
339.357,93
340.367,93
342.387,93
343.397,94
344.407,94
346.427,95
348.447,96
350.467,97
351.477,98
353.497,97
354.507,96
355.517,97
357.537,98
358.547,97
360.567,78
361.577,68
362.587,60
364.607,53
366.627,54
368.647,51
370.667,71
371.677,78
372.687,83
373.697,88
374.707,88
375.717,96
377.737,84
379.757,76
381.777,74
382.787,71
383.797,70
384.807,70
385.817,62
386.817,69
388.837,79
390.857,78
392.877,82
394.897,83
395.907,81
397.927,77
399.947,79
401.967,83
403.987,78
404.997,68
406.007,54
407.017,46
408.027,44
409.037,39
411.057,30
413.077,23
414.087,29
415.097,39
416.107,52
417.117,60
419.137,64
420.147,65
422.167,64
424.187,61
426.207,53
428.227,54
430.247,67
431.257,70
432.267,74
433.277,82
434.287,91
435.297,100
437.317,106
439.337,95
440.347,91
441.357,84
442.367,77
443.377,69
444.387,63
446.407,47
447.417,37
448.427,36
449.437,39
450.447,39
452.467,46
453.477,49
455.497,55
457.517,53
459.537,34
460.547,34
462.567,30
464.587,23
465.597,15
466.607,6
468.627,23
470.647,30
472.667,36
473.677,35
474.687,38
475.697,37
477.717,40
478.727,44
479.737,44
481.757,37
483.777,44
484.787,49
485.797,58
486.807,65
488.827,71
490.847,75
492.867,83
493.877,80
495.897,70
496.907,58
497.917,61
499.937,64
501.957,57
503.977,53
505.997,59
507.007,71
508.017,65
509.027,59
511.047,60
513.067,40
515.087,28
517.107,31
519.127,34
520.137,29
522.157,28
524.177,37
525.187,44
526.197,40
528.217,35
530.237,44
533.267,53
535.287,56
536.297,52
537.307,51
539.327,39
541.347,33
542.357,30
544.377,30
546.397,38
548.417,53
550.437,68
552.457,82
553.467,83
555.487,78
557.507,63
559.527,68
561.547,62
562.557,65
563.567,67
565.587,75
566.597,76
568.617,60
570.637,54
572.657,50
574.677,38
575.687,26
577.707,43
578.717,56
580.737,59
581.747,53
583.767,44
584.777,47
585.787,56
587.807,46
588.817,45
589.827,48
590.837,53
591.847,60
592.857,68
593.867,67
594.877,65
595.887,65
597.907,78
598.917,81
599.927,82
600.937,77
601.947,78
603.967,89
605.987,91
608.007,82
610.027,78
611.037,81
612.047,81
613.057,81
614.067,74
615.077,70
617.097,75
619.117,93
620.127,87
621.137,78
622.147,73
624.167,63
625.177,70
626.187,79
627.197,70
628.207,60
629.217,54
631.237,72
632.247,82
633.257,93
635.277,96
637.297,94
638.307,83
639.317,68
