df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,quality
17.644,57
18.566,55
19.983,43
20.623,58
21.823,49
22.859,51
23.591,54
24.724,55
25.688,57
26.610,62
27.492,74
28.661,72
29.641,74
30.562,73
31.679,72
32.561,51
33.440,53
34.702,56
35.826,54
36.506,47
37.582,47
38.508,51
39.483,48
40.946,52
41.527,56
42.433,72
43.578,70
44.456,67
45.333,67
46.552,69
47.429,71
48.651,62
49.769,59
50.698,59
51.281,44
52.501,45
53.376,42
54.600,43
55.522,45
56.399,44
57.277,47
58.449,44
59.351,47
60.445,46
61.518,53
62.299,60
63.270,73
64.394,74
65.366,75
66.292,74
67.760,72
68.294,68
69.485,61
70.342,56
71.363,59
72.174,62
73.607,63
74.287,61
75.167,70
76.345,62
77.240,68
78.117,70
79.357,67
80.395,70
81.140,64
82.285,61
83.163,63
84.281,64
85.259,65
86.231,59
87.357,57
88.279,60
89.114,55
90.037,57
91.206,56
92.227,68
92.963,71
94.312,69
95.111,72
96.029,71
97.495,69
98.080,69
99.006,67
100.222,68
101.099,64
101.933,67
103.393,67
103.980,66
104.930,69
106.267,70
107.050,74
107.976,66
109.049,65
109.927,70
110.996,63
112.022,59
113.014,57
114.019,60
115.194,59
115.926,60
116.800,76
118.215,76
118.896,75
119.820,71
120.943,70
121.874,55
122.747,56
123.942,48
124.987,40
125.869,52
126.940,55
127.818,58
128.744,55
129.914,64
130.791,65
131.715,69
132.887,66
134.033,71
134.642,75
135.861,69
136.739,72
137.617,68
138.932,68
139.862,65
140.882,62
141.903,66
142.789,66
143.658,67
144.928,61
145.662,60
146.685,65
147.756,67
148.636,77
149.560,76
150.779,75
151.653,77
152.665,73
153.704,73
154.727,72
155.602,69
156.995,66
157.603,64
158.505,66
159.651,61
160.578,60
161.455,64
162.721,67
163.892,68
164.620,68
165.696,66
166.528,67
167.505,68
168.622,76
169.633,74
170.567,75
171.597,75
172.518,74
173.398,68
174.614,68
175.494,65
176.469,70
177.647,71
178.422,75
179.369,76
180.954,78
181.536,75
182.669,79
183.490,64
184.368,55
185.588,42
186.465,44
187.389,48
188.666,42
189.632,51
190.363,70
191.241,70
192.457,65
193.337,69
194.409,67
195.579,66
196.554,61
197.283,66
198.558,63
199.286,65
200.357,62
201.383,66
202.553,73
203.281,71
204.352,76
205.327,71
206.110,74
207.669,70
208.254,66
209.156,70
210.494,70
211.182,68
212.129,69
213.275,67
214.153,68
215.323,68
216.493,71
217.444,75
218.314,71
219.321,68
220.198,65
221.221,68
222.201,73
223.077,67
224.003,74
225.173,74
226.288,75
226.977,75
228.190,73
229.214,68
230.045,67
231.164,67
232.288,67
232.922,66
234.143,67
235.064,76
236.031,72
237.461,75
238.060,73
238.871,74
240.334,73
240.970,74
241.889,71
243.159,74
243.940,68
244.817,71
246.145,71
246.938,71
248.091,71
248.963,69
249.982,73
250.861,74
252.080,72
252.861,71
253.981,75
254.908,75
255.834,74
256.712,73
257.882,52
258.808,32
259.740,46
260.999,39
261.832,41
262.660,40
263.879,57
264.801,55
265.682,61
266.852,62
267.731,64
268.704,61
269.826,62
270.705,67
271.639,67
272.893,60
273.920,68
274.750,66
275.773,65
276.696,63
277.723,69
278.938,71
279.927,71
280.596,72
282.027,66
282.621,75
283.724,74
284.740,75
285.767,72
286.547,69
287.811,72
288.789,75
289.619,75
290.947,75
291.614,73
292.641,69
293.664,71
294.593,75
295.591,73
296.881,74
297.516,73
298.686,72
299.660,73
300.538,76
301.416,75
302.684,72
303.541,73
304.340,76
305.849,70
306.436,66
307.364,66
308.533,74
309.657,76
310.288,77
311.559,75
312.384,69
313.262,73
314.770,72
315.650,71
316.340,70
317.506,75
318.526,80
319.314,76
320.428,77
321.362,74
322.232,74
323.450,78
324.437,74
325.205,76
326.673,72
327.253,76
328.422,76
329.350,76
330.620,76
331.153,74
332.323,77
333.250,76
334.245,76
335.345,72
336.223,71
337.102,73
338.330,73
339.242,75
340.221,75
341.338,76
342.463,76
343.050,78
344.510,77
345.299,75
346.067,75
347.350,75
348.146,74
349.096,72
350.214,76
351.092,76
352.023,77
353.188,75
354.068,74
354.988,76
356.162,74
357.065,66
357.944,50
359.232,49
360.060,53
360.991,60
362.155,64
363.346,73
363.958,76
365.521,74
366.058,73
366.935,77
368.056,77
368.960,73
369.860,72
371.033,69
372.002,72
372.931,73
374.053,63
374.979,68
375.880,65
377.322,59
377.954,54
378.781,56
379.998,73
380.884,65
381.899,66
382.971,63
383.949,63
384.970,72
385.948,72
386.851,74
387.704,77
388.967,73
389.948,73
390.774,74
391.941,76
393.018,74
393.650,75
394.918,71
395.793,73
396.624,75
397.843,73
398.766,67
399.647,67
400.866,67
401.789,62
402.621,52
403.791,16
404.971,0
405.643,0
406.791,0
407.982,0
408.569,16
409.835,54
410.905,79
411.542,74
412.712,76
413.591,79
414.517,76
415.688,83
416.614,86
417.490,90
418.708,88
419.586,87
420.463,78
421.875,82
422.559,83
423.439,83
424.609,81
425.589,74
426.654,65
427.631,66
428.601,72
429.590,70
430.603,74
431.575,74
