df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,heart_rate
17.640,98
18.519,99
19.741,99
20.615,104
21.787,100
22.715,104
23.587,104
24.492,103
25.684,103
26.587,103
27.488,103
28.658,103
29.635,103
30.515,103
31.631,103
32.557,103
33.435,103
34.605,103
35.539,103
36.457,103
37.579,103
38.505,104
39.386,103
40.942,104
41.484,104
42.429,104
43.575,104
44.453,104
45.330,104
46.549,104
47.426,105
48.623,105
49.564,105
50.695,106
51.277,105
52.496,105
53.373,105
54.307,107
55.518,107
56.353,108
57.274,108
58.443,109
59.344,109
60.252,110
61.515,111
62.296,111
63.221,111
64.391,111
65.317,111
66.200,110
67.757,110
68.291,109
69.469,109
70.339,109
71.265,109
72.171,110
73.401,111
74.241,111
75.124,111
76.335,111
77.214,110
78.113,109
79.316,109
80.386,108
81.112,107
82.282,107
83.159,107
84.040,107
85.256,107
86.211,108
87.014,108
88.240,108
89.107,108
90.033,108
91.203,108
92.178,108
92.958,107
94.308,107
95.065,106
95.982,106
97.222,106
98.077,106
99.003,106
100.179,105
101.005,105
101.928,105
103.109,105
103.977,105
104.927,104
106.088,104
107.047,103
107.973,103
109.046,103
109.923,104
110.856,104
112.019,104
113.006,104
113.876,105
115.191,105
115.919,105
116.797,104
118.090,104
118.893,104
119.770,104
120.940,103
121.867,103
122.744,103
123.939,103
124.843,103
125.864,106
126.937,108
127.814,109
128.741,109
129.910,109
130.788,108
131.691,108
132.884,107
134.030,106
134.639,105
135.858,105
136.735,105
137.613,105
138.834,106
139.761,106
140.639,107
141.807,107
142.786,106
143.610,105
144.883,104
145.656,103
146.683,102
147.753,101
148.631,100
149.556,99
150.776,99
151.606,98
152.632,98
153.700,98
154.628,98
155.506,98
156.987,98
157.600,99
158.502,99
159.648,100
160.574,100
161.452,99
162.633,99
163.551,99
164.427,100
165.693,100
166.522,100
167.497,99
168.618,99
169.596,99
170.377,99
171.591,99
172.469,99
173.395,99
174.566,99
175.443,100
176.397,101
177.643,102
178.416,102
179.347,103
180.520,103
181.411,103
182.666,103
183.486,103
184.364,103
185.300,103
186.460,103
187.386,105
188.657,103
189.486,105
190.360,104
191.237,104
192.407,103
193.334,103
194.310,103
195.386,103
196.425,103
197.187,104
198.553,104
199.281,104
200.163,104
201.329,104
202.257,104
203.147,104
204.316,104
205.231,104
206.106,104
207.666,104
208.207,104
209.152,104
210.344,104
211.177,104
212.125,104
213.272,104
214.150,104
215.103,105
216.266,105
217.440,106
218.308,106
219.220,106
220.195,105
220.978,105
222.194,104
223.071,104
223.997,104
225.167,104
226.100,104
226.971,104
228.141,104
229.022,104
230.006,104
231.116,104
232.164,104
232.919,104
234.137,104
235.020,104
236.023,104
237.147,104
238.042,104
238.866,104
240.331,104
240.963,104
241.840,104
243.156,104
243.936,104
244.814,104
246.136,104
246.933,104
247.886,104
248.957,104
249.889,104
250.858,104
251.986,104
252.857,104
253.740,104
254.905,105
255.831,105
256.709,106
257.878,107
258.805,106
259.682,106
260.905,106
261.781,108
262.656,106
263.875,108
264.752,108
265.679,108
266.848,108
267.727,109
268.701,109
269.822,109
270.700,109
271.636,108
272.852,108
273.917,108
274.573,108
275.770,108
276.691,108
277.702,108
278.837,108
279.920,108
280.548,108
281.997,108
282.618,108
283.526,108
284.691,108
285.764,108
286.543,107
287.665,107
288.593,106
289.615,105
290.939,105
291.569,104
292.638,104
293.661,104
294.588,105
295.588,105
296.588,106
297.512,106
298.403,106
299.560,105
300.534,105
301.412,104
302.681,103
303.525,103
304.337,102
305.649,102
306.433,102
307.314,103
308.530,103
309.654,104
310.285,104
311.503,104
312.381,104
313.258,104
314.533,104
315.482,105
316.284,106
317.503,107
318.346,107
319.310,107
320.425,107
321.351,107
322.228,107
323.398,107
324.281,107
325.202,107
326.668,107
327.250,107
328.179,107
329.346,107
330.616,107
331.150,107
332.320,107
333.246,107
334.227,107
335.299,107
336.220,107
337.097,107
338.327,106
339.202,107
340.073,107
341.330,107
342.222,106
343.045,107
344.338,107
345.190,107
346.018,106
347.347,106
348.115,106
349.090,106
350.211,107
351.088,107
352.017,107
353.185,107
354.063,107
354.940,107
356.158,107
357.060,107
357.938,107
359.191,107
360.013,109
360.941,110
362.112,111
363.330,111
363.915,111
365.166,111
366.054,111
366.932,110
368.053,110
368.954,109
369.857,109
371.027,109
371.953,109
372.854,109
374.050,109
374.976,109
375.877,109
377.319,109
377.950,110
378.778,111
379.957,112
380.875,112
381.789,112
382.926,112
383.946,111
384.736,111
385.945,110
386.848,110
387.700,110
388.924,110
389.802,110
390.678,110
391.897,110
392.988,110
393.647,110
394.915,110
395.743,110
396.621,110
397.840,110
398.717,110
399.643,110
400.862,110
401.702,110
402.617,110
403.788,110
404.963,110
405.640,110
406.788,110
407.648,110
408.565,110
409.740,115
410.616,116
411.538,119
412.709,120
413.586,121
414.512,121
415.682,121
416.608,120
417.486,119
418.705,118
419.582,118
420.460,117
421.633,117
422.556,116
423.434,116
424.603,116
425.578,116
426.432,116
427.626,115
428.521,114
429.390,112
430.600,111
431.477,110
