df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,rr_int
10.769,5265
11.059,600
11.352,585
11.498,315
12.184,200
12.326,585
12.329,250
12.577,10
13.204,275
13.838,570
14.399,600
15.106,640
15.788,675
16.324,650
16.909,585
17.569,575
18.035,560
18.572,545
19.107,565
19.688,555
20.375,580
21.493,710
22.225,1075
22.615,575
23.161,595
23.842,590
24.421,595
24.956,585
25.538,565
26.320,560
26.615,560
27.197,585
27.878,600
28.419,580
29.004,565
29.566,575
30.120,585
30.656,590
31.253,605
32.022,550
32.460,665
33.045,540
33.581,555
34.118,555
34.707,610
35.244,595
35.840,545
35.941,265
35.970,355
36.073,205
36.899,280
37.482,555
38.021,575
38.749,580
39.334,620
39.821,555
40.462,585
40.952,570
41.533,585
42.210,590
42.749,570
43.332,555
43.721,560
44.306,545
44.997,570
45.574,585
46.113,580
46.647,560
47.331,565
47.816,530
48.073,615
48.363,250
48.943,305
49.430,590
49.963,525
50.254,530
51.083,340
51.576,795
52.058,510
52.642,560
53.180,535
53.724,530
54.614,545
54.860,510
55.421,610
55.570,525
55.957,210
56.106,380
56.347,150
56.350,10
56.933,10
57.471,865
58.053,515
58.590,565
59.197,535
59.737,540
60.199,545
60.736,535
61.223,525
61.807,540
62.344,555
62.928,535
63.563,590
64.055,540
64.586,540
65.122,545
65.659,560
66.298,555
66.783,570
67.371,575
67.901,560
68.223,560
68.340,250
69.171,255
70.154,585
70.291,1120
70.534,465
71.509,545
72.094,500
72.631,495
72.927,580
73.019,210
73.247,10
73.751,325
74.292,555
74.873,555
75.410,560
75.993,555
76.529,575
77.119,580
77.651,575
78.188,530
78.772,580
79.362,565
79.845,580
80.137,550
80.191,190
80.430,40
80.966,320
81.553,535
82.087,555
82.626,560
83.221,575
83.749,545
84.288,555
84.866,535
85.405,565
85.845,570
86.962,510
87.573,1105
88.089,540
88.380,575
88.387,240
88.619,10
89.156,290
89.741,585
90.277,560
90.569,565
90.814,200
91.550,365
92.081,585
92.617,565
93.206,570
93.738,580
94.324,550
94.859,545
95.691,565
96.034,585
96.250,595
96.312,220
96.566,10
97.102,320
97.638,580
97.641,585
98.177,10
98.956,550
99.737,600
99.981,545
100.565,585
101.105,555
101.687,580
102.249,600
102.762,590
103.488,570
104.024,585
104.610,590
105.150,590
105.682,595
106.272,585
106.829,560
107.348,545
108.073,555
108.607,570
109.143,580
109.777,590
110.268,590
110.557,600
110.610,275
110.850,230
111.922,550
112.507,550
113.046,560
113.628,560
114.313,590
114.749,605
115.047,585
115.054,250
115.058,10
115.080,10
115.974,295
116.553,575
117.203,575
117.676,600
118.283,610
119.040,580
119.429,585
120.550,565
120.697,1180
120.843,265
121.672,300
122.208,560
122.799,540
123.183,520
123.771,510
124.304,500
124.450,520
124.743,240
125.280,285
125.425,535
125.876,175
126.402,365
126.986,590
127.522,550
128.060,565
128.643,585
129.179,555
129.718,555
130.404,555
130.983,585
131.520,570
132.104,575
132.348,600
132.351,225
132.643,10
133.472,345
133.827,585
134.493,580
135.033,570
135.714,560
136.117,575
136.687,555
137.077,550
137.662,555
138.247,540
138.783,550
139.758,570
140.050,585
140.587,565
141.123,590
141.661,545
141.957,590
142.255,245
142.801,315
143.512,625
144.194,640
144.876,655
145.321,615
145.852,595
146.583,590
147.119,600
147.803,625
148.338,625
149.020,630
149.605,625
150.192,610
150.727,605
151.409,585
151.949,610
152.706,615
153.216,610
153.847,620
154.482,620
155.017,595
155.607,590
156.141,595
156.684,570
157.405,560
157.942,615
158.624,600
159.258,645
159.747,610
160.360,590
161.013,600
161.555,620
162.086,585
162.381,600
162.575,185
162.578,10
162.581,40
162.725,20
163.353,330
163.988,590
164.624,600
165.197,640
165.742,610
166.473,605
167.009,610
167.546,620
168.081,600
168.764,585
169.350,590
169.885,595
170.575,625
171.153,635
171.211,620
171.694,10
172.371,565
172.957,585
173.541,580
174.078,605
174.619,565
175.299,565
175.735,565
176.340,570
176.856,575
177.100,570
177.106,195
177.393,15
178.124,350
178.660,585
179.207,575
179.781,610
180.318,575
181.033,590
181.544,575
182.122,570
182.706,590
183.779,550
184.218,1095
184.754,470
185.593,550
185.899,550
186.417,565
186.996,545
187.534,580
188.118,585
188.882,590
189.190,620
189.307,515
189.922,10
190.067,660
190.176,160
190.315,45
190.462,10
190.997,315
191.579,610
191.872,580
191.875,265
191.972,10
192.118,275
193.383,575
193.940,585
194.504,570
195.871,595
196.162,1090
196.747,580
197.294,595
197.868,585
198.404,555
199.087,590
199.720,580
200.362,585
200.512,620
200.746,190
200.988,15
201.303,330
202.012,600
202.567,590
203.088,600
203.669,570
204.215,575
204.742,590
205.333,560
205.619,570
205.912,265
206.448,290
206.988,565
207.674,570
207.813,605
207.818,160
207.861,15
207.864,10
207.910,15
207.914,10
208.266,20
208.885,315
209.383,590
209.909,565
210.501,580
211.030,605
211.633,560
212.151,585
212.693,540
213.224,555
213.810,560
214.348,565
214.947,570
215.494,550
216.106,540
216.599,565
217.127,575
217.806,545
218.415,635
219.001,565
219.464,595
220.098,580
220.731,595
