df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,perfusion_ir
40.617,0.260
40.997,0.260
41.679,0.260
42.849,0.250
47.965,0.250
54.993,0.250
58.154,0.240
58.643,0.240
66.445,0.240
66.940,0.240
67.420,0.240
68.098,0.240
72.142,0.240
74.342,0.240
75.418,0.240
76.042,0.240
77.169,0.240
77.800,0.240
79.368,0.240
79.893,0.240
80.186,0.230
85.456,0.230
93.790,0.230
95.699,0.230
96.303,0.230
102.269,0.230
102.906,0.230
103.688,0.230
105.200,0.230
106.322,0.230
107.444,0.230
108.704,0.230
109.195,0.220
109.825,0.220
110.319,0.220
110.606,0.210
117.243,0.210
117.683,0.210
119.529,0.210
122.847,0.210
123.235,0.210
124.553,0.210
125.474,0.200
128.123,0.200
128.694,0.200
129.819,0.190
137.133,0.190
141.174,0.200
142.055,0.200
146.632,0.200
147.810,0.200
148.390,0.200
149.069,0.210
149.705,0.210
150.202,0.210
159.313,0.210
159.755,0.210
164.014,0.210
167.060,0.210
168.131,0.210
171.202,0.210
173.691,0.210
175.787,0.210
176.379,0.210
176.905,0.210
179.833,0.220
180.467,0.220
181.040,0.210
181.596,0.210
182.714,0.210
187.058,0.200
189.287,0.200
194.068,0.200
194.555,0.200
197.386,0.200
198.452,0.200
199.966,0.190
203.720,0.200
204.306,0.200
214.985,0.200
215.861,0.190
217.169,0.200
217.858,0.200
220.880,0.200
221.319,0.200
221.951,0.200
222.443,0.200
223.023,0.200
224.267,0.200
225.276,0.200
226.350,0.210
232.144,0.210
233.314,0.200
234.925,0.210
237.795,0.200
240.085,0.210
243.219,0.210
244.768,0.210
245.256,0.210
245.848,0.210
246.374,0.210
247.667,0.210
248.186,0.210
249.883,0.210
252.618,0.210
253.735,0.210
254.319,0.210
255.929,0.210
256.474,0.210
257.638,0.210
260.858,0.210
261.535,0.210
266.281,0.210
272.065,0.200
276.998,0.200
277.671,0.200
279.234,0.200
279.523,0.200
280.161,0.200
281.427,0.200
282.995,0.200
283.521,0.200
285.279,0.190
287.473,0.190
289.371,0.200
290.464,0.190
292.686,0.190
293.277,0.190
294.301,0.190
296.005,0.180
296.495,0.180
297.082,0.180
297.661,0.180
299.999,0.180
300.686,0.180
301.028,0.180
302.589,0.190
304.250,0.190
304.640,0.190
305.362,0.190
305.901,0.180
307.478,0.190
308.194,0.190
308.971,0.190
309.459,0.180
310.482,0.180
311.016,0.180
313.759,0.180
314.526,0.190
314.867,0.190
315.456,0.200
316.677,0.200
317.698,0.190
318.726,0.190
323.694,0.190
324.276,0.180
326.423,0.180
327.597,0.180
328.813,0.180
329.154,0.180
330.275,0.180
330.961,0.180
331.394,0.180
331.934,0.180
333.638,0.180
334.953,0.180
335.832,0.180
339.294,0.180
340.956,0.180
344.276,0.180
345.364,0.180
349.831,0.180
350.949,0.180
351.628,0.180
352.328,0.180
352.701,0.180
353.724,0.180
354.845,0.180
355.390,0.180
356.750,0.180
363.861,0.180
364.449,0.180
364.947,0.180
365.573,0.180
366.207,0.190
367.225,0.190
372.836,0.190
376.929,0.190
377.562,0.190
378.544,0.190
384.012,0.190
385.024,0.190
385.581,0.190
388.042,0.190
393.455,0.190
394.051,0.200
395.406,0.200
397.020,0.200
409.405,0.200
409.735,0.200
410.960,0.200
412.956,0.200
431.992,0.200
433.635,0.200
436.794,0.200
448.153,0.200
547.857,0.190
548.242,0.190
554.533,0.190
556.525,0.180
573.201,0.190
573.277,0.190
574.663,0.190
575.676,0.190
575.924,0.200
576.174,0.200
579.973,0.210
585.336,0.210
591.137,0.210
591.538,0.210
592.109,0.210
592.645,0.210
602.544,0.200
602.985,0.200
604.202,0.200
604.836,0.200
608.882,0.200
