df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,respiration_rate
163.047,22
167.287,22
171.537,22
175.637,22
180.247,22
184.797,22
189.227,23
194.457,25
198.477,25
202.537,25
253.587,22
315.187,24
319.607,24
324.097,25
328.527,22
333.027,22
337.527,22
342.027,22
346.547,22
355.507,17
360.927,17
365.227,17
369.647,17
374.057,17
378.447,17
