df_hash,22ZHK4.C8ZX7D
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LYCG
person_label,V151
date_time_start,2026-06-08_18-21-38.649000_+03
date_time_start_unix,1780924898.649
date_time_end,2026-06-08_18-32-21.394000_+03
length_difference_noticed,no

time,omega
40.621,0.539
41.000,0.539
41.683,0.539
42.853,0.540
47.969,0.540
54.997,0.545
58.157,0.550
58.663,0.553
66.452,0.550
66.952,0.545
67.423,0.545
68.102,0.545
72.146,0.553
74.345,0.561
75.422,0.561
76.046,0.561
77.174,0.553
77.804,0.553
79.460,0.545
79.898,0.553
80.190,0.553
85.461,0.553
93.796,0.553
95.703,0.559
96.308,0.544
102.273,0.537
102.909,0.517
103.694,0.500
105.204,0.500
106.326,0.499
107.449,0.517
108.754,0.517
109.198,0.514
109.829,0.512
110.322,0.517
110.609,0.519
117.249,0.524
117.686,0.524
119.533,0.533
122.851,0.519
123.244,0.517
124.572,0.519
125.481,0.519
128.136,0.519
128.698,0.519
129.822,0.519
137.144,0.519
141.178,0.533
142.058,0.533
146.644,0.533
147.813,0.519
148.487,0.519
149.073,0.531
149.709,0.536
150.206,0.544
159.363,0.544
159.760,0.544
164.017,0.536
167.119,0.536
168.165,0.536
171.207,0.536
173.700,0.536
175.797,0.536
176.395,0.523
176.911,0.523
179.836,0.510
180.472,0.523
181.049,0.523
181.607,0.523
182.999,0.523
187.061,0.523
189.306,0.536
194.072,0.536
194.560,0.544
197.390,0.521
198.459,0.498
199.970,0.498
203.724,0.490
204.312,0.490
214.988,0.521
215.872,0.534
217.193,0.512
218.058,0.512
220.883,0.524
221.324,0.542
221.959,0.564
222.684,0.564
223.028,0.542
224.274,0.542
225.609,0.542
226.356,0.542
232.158,0.524
233.358,0.519
234.928,0.519
237.802,0.519
240.090,0.524
243.253,0.524
244.771,0.524
245.450,0.524
245.985,0.524
246.380,0.520
247.676,0.524
248.192,0.524
249.888,0.539
252.625,0.522
253.739,0.522
254.330,0.522
255.932,0.539
256.562,0.554
257.643,0.568
260.862,0.581
261.539,0.581
266.296,0.581
272.069,0.580
277.011,0.581
277.675,0.584
279.237,0.586
279.527,0.588
280.360,0.592
281.431,0.592
282.998,0.592
283.525,0.592
285.295,0.592
287.665,0.588
289.375,0.588
290.598,0.584
292.735,0.567
293.280,0.534
294.304,0.534
296.151,0.530
296.499,0.530
297.085,0.530
297.665,0.530
300.002,0.553
300.783,0.553
301.032,0.553
302.680,0.553
304.254,0.530
304.828,0.530
305.384,0.530
305.905,0.526
307.658,0.546
308.197,0.546
308.974,0.546
309.466,0.546
310.486,0.546
311.020,0.546
313.771,0.546
314.531,0.546
314.871,0.546
315.480,0.546
316.680,0.543
317.702,0.526
318.731,0.508
323.697,0.504
324.280,0.500
326.427,0.495
327.602,0.492
328.833,0.484
329.157,0.484
330.285,0.484
330.965,0.484
331.398,0.465
331.956,0.465
333.642,0.465
334.956,0.465
335.836,0.465
339.391,0.448
340.959,0.444
344.279,0.438
345.376,0.438
349.921,0.444
350.953,0.444
351.632,0.467
352.346,0.467
352.705,0.439
353.728,0.439
354.850,0.467
355.393,0.467
356.756,0.443
363.864,0.465
364.452,0.465
364.953,0.503
365.576,0.477
366.210,0.454
367.229,0.477
372.853,0.454
376.933,0.477
377.566,0.503
378.564,0.503
384.024,0.519
385.028,0.508
385.585,0.487
388.046,0.471
393.459,0.473
394.137,0.487
395.410,0.508
397.063,0.508
409.408,0.519
409.739,0.530
410.964,0.566
412.959,0.530
432.000,0.530
433.871,0.555
436.797,0.574
448.156,0.596
547.867,0.714
548.255,0.714
554.543,0.733
556.619,0.714
573.212,0.659
573.281,0.631
574.666,0.608
575.709,0.631
575.930,0.631
576.177,0.631
580.016,0.691
585.339,0.691
591.141,0.631
591.542,0.606
592.113,0.578
592.649,0.559
602.548,0.554
602.988,0.546
604.206,0.554
604.841,0.559
608.885,0.578
