df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,rr_int
12.318,7045
12.902,700
13.585,580
14.024,640
14.707,510
15.243,635
15.828,565
16.512,600
17.193,665
17.778,680
18.317,585
18.996,590
19.777,720
20.410,710
20.946,610
21.677,590
22.214,745
23.046,585
23.725,730
24.457,680
25.139,780
25.675,730
26.357,575
26.945,645
27.625,590
28.311,630
28.892,690
29.578,665
30.697,640
30.940,1120
31.382,265
31.818,250
32.354,640
33.036,585
33.183,810
34.694,805
35.279,735
35.961,520
36.255,650
36.410,520
37.391,635
37.923,350
38.451,470
38.887,670
39.423,360
40.009,520
40.548,545
41.129,575
41.696,565
42.204,570
42.816,600
43.323,545
43.908,510
44.444,555
45.126,620
45.809,665
46.255,705
46.409,595
47.759,675
48.490,735
49.026,660
49.855,560
50.592,785
51.274,750
51.951,655
52.780,760
53.463,820
54.194,780
54.876,705
55.173,645
55.413,320
56.390,220
56.826,900
57.557,575
58.195,645
58.789,580
59.318,710
59.898,535
60.583,600
61.263,685
62.091,595
62.774,855
63.505,755
64.334,680
64.870,790
65.553,680
66.138,620
66.455,585
66.677,355
66.679,10
67.812,320
68.673,1010
69.453,785
69.459,890
70.282,10
70.866,770
71.549,655
72.085,615
72.674,540
73.060,565
73.798,540
74.328,580
74.913,575
75.449,615
76.131,600
76.862,675
77.545,615
78.228,745
78.913,730
79.495,625
80.183,605
80.714,645
81.397,615
81.982,700
82.664,640
83.252,605
83.932,610
84.321,690
84.618,415
85.199,250
85.882,645
86.564,700
87.393,600
87.978,905
88.806,590
89.489,825
89.928,720
90.172,620
91.585,700
92.122,710
92.804,590
93.389,670
94.071,585
94.608,635
95.193,610
96.031,620
96.558,730
97.143,615
97.540,530
97.679,395
98.026,175
98.654,330
99.093,670
99.777,480
100.458,665
101.044,625
101.433,595
101.579,615
103.028,755
103.383,665
103.533,495
104.654,765
104.953,630
106.113,750
106.327,595
107.576,595
108.112,710
108.648,580
108.941,505
109.233,540
110.500,730
110.750,580
111.137,255
111.330,280
112.695,380
112.841,1325
112.987,300
114.647,715
115.229,860
116.302,675
117.131,1090
117.862,870
118.843,625
119.812,1080
121.469,920
122.834,1760
123.419,1385
123.956,510
125.613,520
125.905,1675
126.052,265
126.588,200
127.563,565
128.148,1010
128.538,585
129.659,395
130.635,1065
131.658,1075
132.292,935
133.950,740
134.389,1570
134.778,465
135.509,435
136.194,665
136.486,665
136.734,320
137.460,265
137.849,790
138.142,300
138.483,290
138.705,350
139.265,270
139.802,550
140.238,360
141.311,660
141.766,1020
142.334,535
143.163,545
143.890,840
144.531,665
145.064,660
145.211,390
145.796,290
146.088,580
146.332,370
147.063,280
147.307,615
147.600,295
148.136,300
148.574,580
149.403,375
150.768,845
150.915,1595
151.743,510
152.330,275
152.865,575
153.449,515
153.985,640
154.425,555
154.668,405
155.112,310
155.500,405
155.938,345
156.083,660
156.911,430
157.447,290
157.739,855
158.568,260
159.153,590
159.543,560
160.262,510
160.810,630
161.786,635
162.175,985
163.299,315
163.736,1160
164.028,490
164.858,285
165.539,810
165.784,925
166.368,540
166.905,590
167.638,665
168.172,355
168.708,285
169.147,565
169.439,600
170.269,365
171.389,570
171.926,1105
172.462,590
173.194,565
173.729,705
174.314,535
175.144,530
175.826,800
176.362,705
176.948,580
177.342,545
178.317,335
178.897,1050
179.295,660
179.970,325
180.408,775
180.555,320
181.676,160
181.920,1120
182.504,365
183.041,475
183.479,560
183.869,495
184.162,395
184.709,305
185.434,575
185.820,595
186.258,500
186.941,340
187.482,775
188.062,535
188.598,570
189.183,605
189.719,570
190.411,495
190.695,670
190.988,330
191.670,255
192.062,725
192.352,350
192.937,275
193.327,660
193.619,615
194.156,355
194.887,270
195.424,680
196.106,580
196.935,730
197.541,775
198.202,595
198.645,680
199.031,435
199.328,360
200.451,305
200.458,840
200.737,250
201.420,335
201.956,735
202.497,535
202.931,570
203.469,420
203.906,480
204.442,520
205.027,515
205.567,510
206.148,620
206.831,615
207.246,610
207.806,480
208.348,485
208.391,620
209.025,10
209.322,640
209.609,580
210.734,600
211.414,575
212.096,720
212.827,680
213.363,670
213.900,570
214.631,475
215.167,720
215.850,595
216.438,655
217.117,615
217.653,645
218.248,575
219.067,650
219.750,820
220.335,610
221.066,635
221.553,660
222.285,610
222.675,635
223.114,455
223.358,380
224.090,360
224.625,630
225.063,595
225.067,355
225.746,15
226.282,760
226.575,475
227.501,295
227.550,1035
228.818,320
229.890,905
230.328,1135
230.475,560
232.132,1605
232.717,160
233.108,465
233.546,380
233.790,730
235.060,275
235.350,1045
235.744,260
236.039,395
236.715,340
237.153,655
237.447,480
237.983,280
238.275,785
239.935,1240
240.078,360
240.082,190
240.128,15
240.131,15
240.469,15
240.615,355
241.205,210
241.443,595
241.740,260
242.711,285
244.237,890
246.321,1610
247.440,1795
248.420,1395
248.659,1030
249.244,260
249.634,545
250.463,355
251.194,895
251.584,715
252.169,360
252.419,655
252.705,170
253.537,390
253.826,855
254.655,275
255.191,770
255.484,540
255.776,295
256.605,305
256.898,780
