df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,perfusion_ir
26.455,1.390
27.094,1.390
27.677,1.330
28.363,1.280
28.944,1.250
29.728,1.220
32.406,1.220
33.092,1.220
35.376,1.220
36.013,1.220
40.602,1.210
41.229,1.200
41.702,1.170
42.353,1.140
42.842,1.140
44.495,1.140
45.178,1.140
45.860,1.140
46.399,1.140
48.544,1.140
50.101,1.140
51.425,1.140
52.003,1.140
52.932,1.140
54.343,1.160
55.028,1.200
55.321,1.230
60.632,1.330
61.317,1.350
62.145,1.450
65.750,1.530
66.384,1.540
66.470,1.540
71.015,1.540
72.234,1.570
72.822,1.570
73.112,1.570
73.898,1.580
74.428,1.580
75.010,1.570
75.549,1.580
76.183,1.600
76.869,1.630
80.330,1.630
80.863,1.680
81.497,1.630
82.130,1.600
82.717,1.600
83.304,1.600
83.983,1.580
84.373,1.580
85.935,1.570
87.444,1.580
88.858,1.580
92.178,1.580
92.904,1.580
93.441,1.580
94.120,1.560
95.292,1.580
96.174,1.610
96.606,1.610
97.438,1.610
97.585,1.610
99.144,1.640
99.783,1.640
100.509,1.670
106.119,1.700
106.413,1.700
108.163,1.700
108.699,1.750
134.878,1.700
136.246,1.700
136.497,1.700
143.315,1.700
145.116,1.790
147.358,1.840
148.626,1.840
152.913,1.840
154.037,1.840
154.476,1.840
156.089,1.820
206.980,1.300
207.854,1.300
209.372,1.280
209.905,1.210
210.787,1.170
213.509,1.150
214.049,1.140
214.682,1.140
215.267,1.140
215.950,1.090
216.489,1.090
217.166,1.090
217.949,1.140
218.298,1.140
219.216,1.150
220.386,1.160
221.072,1.160
221.705,1.180
222.336,1.210
224.673,1.200
230.524,1.200
237.208,1.210
255.535,1.210
297.180,1.210
305.845,1.210
307.064,1.210
310.474,1.240
311.110,1.250
311.695,1.250
312.524,1.250
320.673,1.260
321.250,1.260
392.036,1.090
407.113,1.090
407.880,1.090
420.116,1.090
421.781,1.140
424.406,1.190
428.554,1.200
429.281,1.200
429.820,1.230
430.361,1.260
430.795,1.230
434.551,1.300
439.275,1.300
441.615,1.320
442.444,1.320
442.980,1.320
443.418,1.320
444.102,1.320
445.769,1.300
447.031,1.300
452.976,1.320
453.559,1.340
454.392,1.370
455.073,1.340
455.757,1.340
456.290,1.340
462.233,1.330
464.283,1.310
467.355,1.300
477.739,1.300
