df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,acc_x,acc_y,acc_z
6.188,-0.619,0.715,0.039
6.198,-0.621,0.715,0.041
6.208,-0.621,0.717,0.037
6.218,-0.621,0.719,0.039
6.227,-0.621,0.725,0.039
6.237,-0.621,0.727,0.041
6.247,-0.623,0.729,0.037
6.257,-0.627,0.729,0.041
6.267,-0.635,0.719,0.041
6.277,-0.631,0.719,0.035
6.287,-0.629,0.721,0.035
6.297,-0.627,0.721,0.037
6.307,-0.627,0.723,0.037
6.317,-0.629,0.723,0.041
6.327,-0.621,0.721,0.039
6.337,-0.623,0.715,0.039
6.347,-0.619,0.715,0.039
6.356,-0.615,0.721,0.027
6.366,-0.617,0.727,0.037
6.376,-0.623,0.734,0.035
6.386,-0.619,0.734,0.035
6.396,-0.621,0.730,0.039
6.406,-0.621,0.725,0.029
6.416,-0.615,0.725,0.033
6.426,-0.615,0.727,0.035
6.436,-0.617,0.730,0.039
6.446,-0.623,0.730,0.037
6.456,-0.621,0.729,0.035
6.466,-0.615,0.730,0.033
6.476,-0.613,0.734,0.035
6.486,-0.611,0.738,0.033
6.495,-0.625,0.736,0.041
6.505,-0.613,0.729,0.037
6.515,-0.615,0.752,0.043
6.525,-0.637,0.742,0.041
6.535,-0.639,0.725,0.033
6.545,-0.633,0.721,0.041
6.555,-0.635,0.723,0.043
6.565,-0.643,0.723,0.037
6.575,-0.633,0.711,0.043
6.585,-0.619,0.709,0.035
6.595,-0.613,0.713,0.045
6.605,-0.613,0.725,0.043
6.615,-0.613,0.717,0.043
6.624,-0.604,0.715,0.045
6.634,-0.604,0.725,0.037
6.644,-0.605,0.725,0.033
6.654,-0.605,0.721,0.035
6.664,-0.627,0.732,0.037
6.674,-0.629,0.746,0.039
6.684,-0.627,0.744,0.037
6.694,-0.623,0.736,0.039
6.704,-0.625,0.727,0.039
6.714,-0.635,0.725,0.037
6.724,-0.627,0.713,0.025
6.734,-0.621,0.713,0.031
6.744,-0.627,0.707,0.031
6.754,-0.629,0.707,0.033
6.763,-0.639,0.713,0.033
6.773,-0.629,0.721,0.033
6.783,-0.629,0.725,0.031
6.793,-0.623,0.729,0.027
6.803,-0.613,0.730,0.029
6.813,-0.613,0.730,0.035
6.823,-0.617,0.734,0.033
6.833,-0.617,0.729,0.031
6.843,-0.619,0.729,0.033
6.853,-0.615,0.736,0.035
6.863,-0.619,0.729,0.037
6.873,-0.615,0.723,0.033
6.883,-0.619,0.723,0.035
6.892,-0.617,0.725,0.037
6.902,-0.627,0.744,0.029
6.912,-0.635,0.762,0.043
6.922,-0.656,0.766,0.045
6.932,-0.654,0.734,0.031
6.942,-0.633,0.713,0.039
6.952,-0.617,0.715,0.031
6.962,-0.609,0.723,0.027
6.972,-0.609,0.721,0.031
6.982,-0.633,0.713,0.041
6.992,-0.635,0.707,0.033
7.002,-0.621,0.707,0.037
7.012,-0.607,0.707,0.039
7.022,-0.611,0.717,0.035
7.031,-0.621,0.725,0.043
7.041,-0.621,0.723,0.039
7.051,-0.617,0.717,0.039
7.061,-0.615,0.717,0.029
7.071,-0.619,0.719,0.033
7.081,-0.619,0.723,0.025
7.091,-0.627,0.729,0.029
7.101,-0.635,0.727,0.025
7.111,-0.639,0.727,0.021
7.121,-0.639,0.738,0.031
7.131,-0.639,0.729,0.025
7.141,-0.623,0.729,0.025
7.151,-0.611,0.730,0.031
7.160,-0.615,0.738,0.035
7.170,-0.609,0.730,0.035
7.180,-0.604,0.723,0.035
7.190,-0.609,0.730,0.035
7.200,-0.615,0.721,0.029
7.210,-0.611,0.721,0.031
7.220,-0.631,0.730,0.039
7.230,-0.639,0.736,0.039
7.240,-0.625,0.734,0.047
7.250,-0.629,0.732,0.041
7.260,-0.631,0.730,0.047
7.270,-0.639,0.725,0.043
7.280,-0.625,0.730,0.033
7.290,-0.609,0.729,0.035
7.299,-0.621,0.734,0.031
7.309,-0.619,0.730,0.035
7.319,-0.639,0.736,0.045
7.329,-0.645,0.725,0.037
7.339,-0.639,0.713,0.033
7.349,-0.627,0.705,0.033
7.359,-0.629,0.707,0.035
7.369,-0.645,0.711,0.039
7.379,-0.645,0.719,0.041
7.389,-0.641,0.723,0.037
7.399,-0.633,0.723,0.033
7.409,-0.625,0.719,0.035
7.419,-0.623,0.719,0.037
7.428,-0.617,0.717,0.035
7.438,-0.613,0.715,0.035
7.448,-0.621,0.719,0.033
7.458,-0.621,0.713,0.027
7.468,-0.625,0.721,0.039
7.478,-0.631,0.721,0.033
7.488,-0.631,0.721,0.031
7.498,-0.629,0.719,0.025
7.508,-0.621,0.729,0.029
7.518,-0.619,0.730,0.033
7.528,-0.625,0.736,0.027
7.538,-0.629,0.730,0.033
7.548,-0.631,0.723,0.029
7.558,-0.627,0.727,0.031
7.567,-0.619,0.721,0.031
7.577,-0.619,0.725,0.027
7.587,-0.617,0.725,0.029
7.597,-0.623,0.727,0.033
7.607,-0.621,0.727,0.027
7.617,-0.615,0.725,0.031
7.627,-0.623,0.725,0.031
7.637,-0.615,0.734,0.029
7.647,-0.611,0.732,0.033
7.657,-0.627,0.730,0.037
7.667,-0.631,0.727,0.027
7.677,-0.623,0.725,0.029
7.687,-0.621,0.729,0.027
7.696,-0.623,0.732,0.031
7.706,-0.627,0.736,0.039
7.716,-0.621,0.727,0.033
7.726,-0.615,0.725,0.035
7.736,-0.621,0.725,0.035
7.746,-0.621,0.729,0.033
7.756,-0.623,0.729,0.037
7.766,-0.629,0.725,0.037
7.776,-0.629,0.713,0.031
7.786,-0.623,0.717,0.035
7.796,-0.631,0.723,0.035
7.806,-0.635,0.736,0.037
7.816,-0.639,0.727,0.037
7.826,-0.631,0.723,0.035
7.835,-0.629,0.725,0.037
7.845,-0.631,0.734,0.041
7.855,-0.639,0.730,0.043
7.865,-0.641,0.725,0.043
7.875,-0.648,0.711,0.043
7.885,-0.646,0.705,0.037
7.895,-0.637,0.715,0.033
7.905,-0.635,0.717,0.033
7.915,-0.629,0.725,0.031
7.925,-0.615,0.730,0.035
7.935,-0.615,0.729,0.035
7.945,-0.617,0.721,0.035
7.955,-0.621,0.721,0.037
7.964,-0.629,0.721,0.041
7.974,-0.629,0.721,0.029
7.984,-0.625,0.717,0.039
7.994,-0.633,0.717,0.039
8.004,-0.633,0.717,0.025
8.014,-0.623,0.707,0.041
8.024,-0.633,0.713,0.037
8.034,-0.637,0.717,0.033
8.044,-0.637,0.721,0.029
8.054,-0.635,0.721,0.031
8.064,-0.637,0.723,0.033
8.074,-0.635,0.725,0.039
8.084,-0.623,0.725,0.033
8.094,-0.625,0.725,0.037
8.103,-0.631,0.723,0.035
8.113,-0.635,0.717,0.031
8.123,-0.627,0.723,0.039
8.133,-0.621,0.723,0.035
8.143,-0.623,0.719,0.037
8.153,-0.623,0.721,0.037
8.163,-0.627,0.721,0.039
8.173,-0.627,0.719,0.041
8.183,-0.619,0.727,0.039
8.193,-0.625,0.723,0.037
8.203,-0.625,0.723,0.039
8.213,-0.621,0.723,0.039
8.223,-0.623,0.723,0.039
8.232,-0.625,0.727,0.037
8.242,-0.629,0.725,0.037
8.252,-0.633,0.730,0.037
8.262,-0.629,0.725,0.041
8.272,-0.633,0.729,0.043
8.282,-0.633,0.723,0.037
8.292,-0.631,0.723,0.043
8.302,-0.631,0.719,0.039
8.312,-0.629,0.715,0.045
8.322,-0.631,0.715,0.039
8.332,-0.629,0.717,0.043
8.342,-0.623,0.719,0.045
8.352,-0.619,0.717,0.041
8.362,-0.615,0.713,0.037
8.371,-0.619,0.721,0.043
8.381,-0.631,0.727,0.041
8.391,-0.629,0.732,0.043
8.401,-0.627,0.732,0.039
8.411,-0.623,0.730,0.039
8.421,-0.619,0.729,0.043
8.431,-0.621,0.727,0.043
8.441,-0.625,0.723,0.041
8.451,-0.621,0.721,0.039
8.461,-0.629,0.723,0.035
8.471,-0.633,0.727,0.029
8.481,-0.619,0.730,0.035
8.491,-0.615,0.740,0.035
8.500,-0.615,0.734,0.035
8.510,-0.615,0.721,0.031
8.520,-0.615,0.713,0.033
8.530,-0.613,0.715,0.037
8.540,-0.619,0.721,0.037
8.550,-0.615,0.717,0.033
8.560,-0.617,0.713,0.035
8.570,-0.623,0.715,0.033
8.580,-0.621,0.713,0.033
8.590,-0.617,0.715,0.033
8.600,-0.615,0.723,0.029
8.610,-0.619,0.727,0.025
8.620,-0.619,0.723,0.023
8.629,-0.625,0.725,0.023
8.639,-0.627,0.727,0.021
8.649,-0.625,0.725,0.023
8.659,-0.631,0.715,0.021
8.669,-0.631,0.705,0.021
8.679,-0.637,0.697,0.020
8.689,-0.631,0.688,0.014
8.699,-0.637,0.701,0.006
8.709,-0.639,0.699,0.008
8.719,-0.646,0.697,0.008
8.729,-0.650,0.699,0.010
8.739,-0.652,0.703,0.006
8.749,-0.646,0.705,0.008
8.759,-0.652,0.711,0.002
8.768,-0.658,0.705,-0.002
8.778,-0.658,0.705,0.004
8.788,-0.650,0.705,0.000
8.798,-0.656,0.709,0.000
8.808,-0.654,0.703,-0.006
8.818,-0.656,0.695,-0.010
8.828,-0.654,0.695,-0.014
8.838,-0.658,0.697,-0.014
8.848,-0.664,0.697,-0.016
8.858,-0.666,0.697,-0.020
8.868,-0.666,0.703,-0.014
8.878,-0.674,0.691,-0.018
8.888,-0.674,0.691,-0.025
8.897,-0.680,0.693,-0.020
8.907,-0.674,0.686,-0.029
8.917,-0.668,0.695,-0.018
8.927,-0.674,0.701,-0.018
8.937,-0.662,0.693,-0.027
8.947,-0.654,0.686,-0.027
8.957,-0.664,0.684,-0.031
8.967,-0.678,0.676,-0.037
8.977,-0.678,0.676,-0.035
8.987,-0.684,0.688,-0.029
8.997,-0.682,0.680,-0.041
9.007,-0.680,0.676,-0.041
9.017,-0.678,0.678,-0.035
9.027,-0.680,0.672,-0.043
9.036,-0.676,0.672,-0.043
9.046,-0.674,0.682,-0.041
9.056,-0.682,0.688,-0.043
9.066,-0.668,0.688,-0.047
9.076,-0.674,0.684,-0.049
9.086,-0.678,0.686,-0.053
9.096,-0.674,0.695,-0.053
9.106,-0.670,0.693,-0.053
9.116,-0.674,0.701,-0.059
9.126,-0.664,0.713,-0.057
9.136,-0.662,0.713,-0.066
9.146,-0.656,0.709,-0.055
9.156,-0.658,0.713,-0.053
9.165,-0.664,0.699,-0.051
9.175,-0.648,0.691,-0.061
9.185,-0.652,0.682,-0.057
9.195,-0.650,0.680,-0.064
9.205,-0.650,0.676,-0.059
9.215,-0.660,0.678,-0.053
9.225,-0.666,0.682,-0.055
9.235,-0.660,0.691,-0.049
9.245,-0.666,0.693,-0.051
9.255,-0.666,0.701,-0.051
9.265,-0.668,0.705,-0.051
9.275,-0.666,0.705,-0.049
9.285,-0.666,0.715,-0.051
9.295,-0.674,0.723,-0.049
9.304,-0.693,0.713,-0.047
9.314,-0.689,0.691,-0.062
9.324,-0.666,0.670,-0.064
9.334,-0.648,0.676,-0.066
9.344,-0.652,0.689,-0.064
9.354,-0.668,0.693,-0.041
9.364,-0.676,0.691,-0.047
9.374,-0.664,0.684,-0.045
9.384,-0.645,0.676,-0.047
9.394,-0.652,0.680,-0.039
9.404,-0.666,0.684,-0.055
9.414,-0.652,0.678,-0.047
9.424,-0.652,0.686,-0.049
9.433,-0.664,0.689,-0.047
9.443,-0.668,0.693,-0.045
9.453,-0.664,0.695,-0.053
9.463,-0.656,0.680,-0.047
9.473,-0.662,0.688,-0.051
9.483,-0.670,0.686,-0.051
9.493,-0.668,0.693,-0.041
9.503,-0.672,0.691,-0.039
9.513,-0.664,0.686,-0.045
9.523,-0.662,0.680,-0.055
9.533,-0.670,0.676,-0.045
9.543,-0.674,0.684,-0.049
9.553,-0.676,0.697,-0.045
9.563,-0.670,0.699,-0.051
9.572,-0.656,0.693,-0.043
9.582,-0.660,0.695,-0.049
9.592,-0.660,0.691,-0.045
9.602,-0.664,0.689,-0.043
9.612,-0.664,0.686,-0.043
9.622,-0.664,0.686,-0.047
9.632,-0.658,0.686,-0.047
9.642,-0.652,0.684,-0.043
9.652,-0.658,0.684,-0.043
9.662,-0.656,0.680,-0.041
9.672,-0.664,0.678,-0.043
9.682,-0.666,0.678,-0.043
9.692,-0.670,0.680,-0.043
9.701,-0.670,0.686,-0.047
9.711,-0.672,0.684,-0.051
9.721,-0.668,0.697,-0.045
9.731,-0.676,0.695,-0.045
9.741,-0.676,0.680,-0.057
9.751,-0.660,0.686,-0.045
9.761,-0.662,0.686,-0.051
9.771,-0.646,0.688,-0.059
9.781,-0.646,0.699,-0.047
9.791,-0.650,0.697,-0.055
9.801,-0.658,0.689,-0.049
9.811,-0.666,0.686,-0.053
9.821,-0.666,0.688,-0.055
9.831,-0.650,0.693,-0.061
