df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,ppg_quality
100.911,2
101.921,5
102.931,12
103.941,17
104.951,17
105.961,17
106.971,10
107.981,8
108.991,11
110.001,18
111.011,27
113.031,51
115.051,68
117.071,78
118.081,85
119.091,83
120.101,82
122.121,72
124.141,42
126.161,62
128.181,54
129.191,48
130.201,45
132.221,45
133.221,54
134.231,61
135.241,54
137.261,46
138.271,51
139.281,55
141.301,51
142.311,54
143.321,54
145.341,39
146.351,34
148.371,26
149.381,18
150.391,15
152.411,4
159.481,3
160.491,3
165.541,1
166.551,4
167.561,2
172.611,14
173.621,17
175.641,12
177.661,9
179.681,13
181.701,18
183.721,9
184.731,9
186.751,5
188.771,1
199.881,5
201.901,8
202.911,2
232.201,9
233.211,20
234.221,25
235.231,23
236.241,26
237.251,31
238.261,22
239.271,13
240.281,7
241.291,1
243.311,17
244.321,8
246.341,9
248.361,20
249.371,34
251.391,70
253.411,33
255.431,41
257.451,38
258.461,24
259.471,11
268.561,7
270.581,22
272.601,27
274.621,38
276.641,60
279.671,51
281.691,48
283.711,49
285.731,26
287.751,5
298.861,21
300.881,24
301.891,21
303.911,34
304.921,39
305.931,42
307.951,25
309.971,36
310.981,48
311.991,55
314.011,50
316.031,41
317.041,38
318.051,41
319.061,48
320.071,46
321.081,47
322.091,45
323.101,42
325.121,30
327.141,40
329.161,43
330.171,37
332.191,38
333.201,31
334.211,24
336.231,12
337.241,6
340.271,12
342.291,8
344.311,27
346.331,37
348.351,31
350.371,14
351.381,3
352.391,11
353.401,15
355.421,30
356.431,25
357.441,32
359.461,59
360.471,51
361.481,51
362.491,39
363.501,28
364.511,28
365.521,25
366.531,42
368.551,22
369.561,13
370.571,20
371.581,23
372.591,19
374.611,15
377.641,7
378.651,11
379.661,12
381.681,28
382.691,41
383.701,44
385.721,20
387.741,22
388.751,26
389.761,25
391.781,18
392.791,16
393.801,17
394.811,31
396.831,30
397.841,22
398.851,2
400.871,18
402.891,26
404.911,17
405.921,23
406.931,20
408.951,49
409.961,45
411.981,19
415.011,8
416.021,17
418.041,25
419.051,21
420.061,27
421.071,34
422.081,46
424.101,61
425.111,46
426.121,29
428.141,18
429.151,16
441.271,7
442.281,6
452.381,6
454.401,24
455.411,29
456.421,32
458.441,40
459.451,42
460.461,28
461.471,13
469.551,5
471.571,1
472.581,2
