df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,quality
17.634,62
18.416,70
19.645,68
20.707,70
21.412,75
22.606,70
23.530,73
24.367,73
25.582,62
26.507,71
27.385,62
28.555,50
29.454,66
30.359,75
31.688,58
32.504,34
33.347,40
34.503,36
35.428,29
36.403,27
37.524,26
38.409,20
39.279,0
40.449,28
41.376,37
42.549,24
43.423,48
44.353,62
45.238,60
46.581,37
47.372,31
48.201,39
49.421,63
50.542,71
51.269,64
52.394,67
53.271,57
54.148,62
55.369,69
56.245,45
57.128,34
58.341,39
59.313,54
60.096,43
61.510,54
62.387,53
63.119,32
64.288,31
65.458,71
66.092,69
67.502,64
68.142,59
69.315,41
70.238,26
71.164,49
72.040,27
73.355,27
74.138,42
75.017,48
76.433,71
77.111,59
77.987,46
79.206,46
80.178,61
80.961,65
82.179,62
83.058,73
84.232,83
85.154,83
86.274,78
86.908,74
88.130,61
89.007,57
90.028,58
91.101,60
91.982,59
92.953,60
94.220,59
94.954,64
95.880,66
97.051,73
98.022,68
98.852,47
100.071,43
100.948,34
101.826,31
103.257,29
103.922,48
104.947,52
106.019,56
106.993,67
107.823,65
109.044,61
109.873,32
111.111,38
111.966,32
112.908,36
113.725,36
115.086,41
115.843,36
116.889,22
118.257,0
118.837,39
119.718,30
120.889,39
121.793,0
122.691,0
123.861,3
124.797,0
125.665,2
126.834,0
127.761,0
128.641,23
129.808,17
130.735,16
131.758,21
132.785,36
133.855,40
134.587,29
135.805,18
136.728,20
137.560,13
138.973,15
139.656,15
140.588,21
141.753,0
142.633,13
143.556,19
144.823,31
145.604,47
146.627,66
147.700,65
148.980,54
149.504,28
150.674,0
151.600,0
152.478,0
153.656,0
154.577,26
155.451,31
156.621,35
157.549,34
158.529,26
159.595,16
160.667,21
161.399,29
162.629,0
163.495,0
164.372,0
165.591,0
166.469,0
167.355,0
168.566,22
169.495,20
170.369,14
171.585,29
172.417,31
173.486,43
174.561,46
175.439,33
176.317,25
177.487,29
178.507,27
179.290,29
180.461,0
181.386,23
182.264,20
183.435,26
184.360,30
185.238,32
186.408,29
187.477,36
188.357,50
189.430,51
190.406,62
191.186,57
192.404,54
193.282,41
194.180,45
195.378,49
196.255,53
197.183,56
198.353,56
199.324,42
200.444,39
201.334,31
202.212,34
203.130,30
204.299,17
205.229,26
206.103,43
207.370,40
208.201,38
209.317,55
210.491,63
211.173,56
212.050,35
213.269,46
214.150,59
215.024,53
216.246,58
217.412,65
218.238,68
219.265,56
220.098,56
221.024,60
222.192,61
223.071,48
223.997,46
225.164,44
226.091,32
226.970,24
228.138,14
229.066,14
229.963,0
231.113,0
232.051,1
232.916,0
234.151,25
235.012,27
236.032,20
237.110,15
238.034,21
238.863,27
240.227,19
241.200,28
241.889,28
243.055,27
243.995,0
244.846,38
246.032,37
246.907,46
247.842,39
249.003,0
249.882,0
250.806,0
251.977,0
252.865,0
253.788,0
254.951,0
255.828,18
256.779,30
257.927,25
258.877,20
259.728,20
261.198,0
262.016,0
262.703,0
263.969,19
264.944,20
265.676,23
266.846,24
267.772,0
268.650,0
269.868,0
270.746,0
271.769,0
272.842,0
273.963,19
274.597,0
275.910,0
276.742,0
374.142,54
374.978,39
376.000,33
377.070,0
377.947,0
378.919,0
380.044,0
380.921,23
381.847,22
383.358,26
383.896,25
385.113,31
386.040,28
386.954,18
387.796,0
389.211,0
390.034,0
390.769,0
391.938,21
392.865,24
393.743,33
395.302,35
395.839,29
396.862,0
397.889,0
398.813,0
399.744,13
401.006,14
401.786,22
402.667,28
403.883,24
404.760,27
405.637,31
406.856,27
407.733,19
408.903,25
409.830,19
410.853,24
411.635,0
412.861,0
413.776,0
414.608,0
416.021,0
416.655,0
417.627,0
418.797,0
419.774,0
420.749,21
422.022,30
422.610,40
423.539,23
424.701,46
425.626,42
426.503,26
427.673,37
428.625,56
429.476,66
430.647,58
431.573,26
432.505,29
433.620,36
434.658,22
435.426,0
436.642,27
437.520,33
438.492,31
439.617,25
440.591,50
441.373,48
442.590,48
443.760,59
444.345,67
445.610,52
446.444,63
447.321,55
448.583,49
449.434,38
450.342,43
451.609,43
452.389,46
453.315,44
454.631,49
455.457,65
456.337,66
457.557,42
458.382,36
459.263,30
460.453,22
461.392,22
462.285,19
463.454,25
464.378,36
465.211,32
466.424,36
467.315,25
468.187,30
469.356,17
470.282,31
471.158,31
472.328,37
473.255,45
474.134,50
475.352,49
476.244,36
477.105,38
478.324,0
479.396,23
480.225,0
481.299,24
482.256,31
483.054,40
484.272,38
485.149,26
486.027,31
487.246,30
488.124,39
489.001,34
490.220,26
