df_hash,22ZHK4.PQKCV4
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1AT4
person_label,v132
date_time_start,2026-04-07_18-21-14.430000_+03
date_time_start_unix,1775568074.43
date_time_end,2026-04-07_18-29-30.496000_+03
length_difference_noticed,no

time,temperature
384.565,36.125
385.501,36.125
386.476,36.094
387.501,36.094
388.474,36.094
389.516,36.062
390.473,36.062
391.502,36.125
392.472,36.094
393.496,36.125
394.471,36.125
395.495,36.125
396.470,36.156
397.493,36.219
398.468,36.219
399.492,36.250
400.567,36.281
401.491,36.188
402.466,36.219
403.490,36.188
404.488,36.219
405.490,36.250
406.484,36.250
407.487,36.188
408.478,36.188
409.486,36.156
410.461,36.156
411.485,36.188
412.460,36.188
413.484,36.188
414.459,36.188
415.510,36.188
416.457,36.188
417.481,36.188
418.505,36.219
419.480,36.219
420.554,36.219
421.479,36.250
422.454,36.250
423.477,36.219
424.481,36.250
425.493,36.250
426.477,36.219
427.489,36.219
428.450,36.219
429.523,36.219
430.497,36.094
431.472,36.094
432.519,36.062
433.471,36.094
434.494,36.094
435.716,36.094
436.494,36.000
437.469,36.000
438.512,36.000
439.496,36.031
440.491,36.125
441.466,36.125
442.490,36.250
443.764,36.250
444.489,36.250
445.468,36.312
446.488,36.375
447.463,36.375
448.486,36.344
449.461,36.375
450.485,36.406
451.508,36.438
452.484,36.375
453.459,36.375
454.482,36.344
455.462,36.281
456.481,36.312
457.561,36.344
458.484,36.344
459.455,36.312
460.490,36.281
461.651,36.281
462.480,36.250
463.463,36.250
464.480,36.281
465.451,36.344
466.475,36.312
467.599,36.344
468.473,36.344
469.449,36.344
470.472,36.344
471.600,36.375
472.472,36.375
473.447,36.375
474.470,36.375
475.449,36.344
476.526,36.344
477.463,36.344
478.468,36.344
479.443,36.344
480.466,36.344
481.491,36.219
482.465,36.250
483.489,36.250
484.467,36.250
485.489,36.156
486.463,36.125
487.487,36.125
488.462,36.125
489.485,36.156
490.460,36.156
