df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,quality
10.570,100
11.672,22
12.358,0
13.528,0
14.454,0
15.331,51
16.791,60
17.427,58
18.351,51
19.493,38
20.399,0
21.420,0
22.449,3
23.375,10
24.251,20
25.574,14
26.347,2
27.225,3
28.445,6
29.419,37
30.294,37
31.515,25
32.490,24
33.172,30
34.391,52
35.269,55
36.147,56
37.365,59
38.243,37
39.122,29
40.339,26
41.216,20
42.391,20
43.315,25
44.201,39
45.068,51
46.345,36
47.165,26
48.337,30
49.308,37
50.139,34
51.065,34
52.238,55
53.114,54
54.041,60
55.216,58
56.086,58
57.259,56
58.189,62
59.083,54
60.132,48
61.160,29
62.083,0
62.962,9
64.130,19
65.057,0
65.934,100
67.142,0
68.030,0
68.938,13
70.081,0
71.005,18
72.174,0
73.100,17
73.977,17
74.855,0
76.025,0
76.951,31
77.828,35
79.190,41
79.924,53
81.093,44
82.019,45
82.897,37
84.066,25
84.993,39
86.211,33
86.747,0
87.966,0
89.184,0
89.778,6
90.939,2
91.817,3
92.694,0
94.305,22
94.790,27
95.667,30
96.898,0
97.910,0
98.663,0
99.859,0
100.836,35
101.619,27
102.841,36
103.710,43
104.636,53
105.851,55
106.832,65
107.610,69
108.876,64
109.658,67
110.585,68
111.947,69
112.681,70
113.556,63
114.869,56
115.605,57
116.529,58
117.796,62
118.626,53
119.503,43
120.673,41
121.693,42
122.476,43
123.669,51
124.572,51
125.545,64
126.623,56
127.643,20
128.429,0
129.593,0
130.520,0
131.446,0
132.615,0
133.785,24
134.421,35
135.589,0
136.467,30
137.347,27
138.611,29
139.451,21
140.317,0
141.536,0
142.511,0
143.291,0
144.604,30
145.390,23
146.413,24
147.627,20
148.363,22
149.238,22
150.457,30
151.383,0
152.404,0
153.476,0
154.403,0
155.474,23
156.406,21
157.283,18
158.218,18
159.377,27
160.255,26
161.181,19
162.351,25
163.424,0
164.154,19
165.327,0
166.204,8
167.226,5
168.302,0
169.225,0
170.109,5
171.311,0
172.247,0
173.222,18
174.246,35
175.318,25
176.049,27
177.365,11
178.155,9
179.025,15
180.195,0
181.121,0
181.997,0
183.216,0
184.139,0
184.972,7
186.189,13
187.115,0
187.944,0
189.165,0
190.048,0
190.918,0
192.382,100
193.016,0
193.942,0
195.110,0
196.139,0
196.865,12
198.084,15
198.961,9
199.911,28
201.057,29
201.937,23
202.864,33
204.031,39
205.008,23
205.835,19
207.006,20
207.932,17
208.824,14
209.982,0
211.002,0
211.782,14
213.057,15
213.878,19
215.045,0
215.926,0
216.998,0
217.729,0
218.950,0
219.827,13
220.709,24
221.922,27
222.802,54
223.679,50
224.897,26
226.160,29
226.845,38
227.892,32
229.037,26
229.626,35
230.845,23
231.964,26
232.598,27
233.818,22
234.694,32
235.621,64
236.791,60
237.668,55
238.546,34
239.813,30
240.644,24
241.569,20
242.739,23
243.615,36
244.543,44
245.712,38
246.590,40
247.517,0
248.687,0
249.563,30
250.489,4
251.659,0
252.586,0
253.463,30
254.633,26
255.560,37
256.439,22
257.607,23
258.533,0
259.508,0
260.629,2
261.507,10
262.385,29
263.559,0
264.481,0
265.358,0
266.529,25
267.600,29
268.332,30
269.553,32
270.430,39
271.333,39
272.524,46
273.499,21
274.374,21
275.504,0
276.425,22
277.397,20
278.474,31
279.373,39
280.238,39
281.447,59
282.323,54
283.395,58
284.419,50
285.345,60
286.369,65
287.393,37
288.319,28
289.155,0
290.367,0
291.291,1
292.164,0
293.390,0
294.225,25
295.144,29
296.314,28
297.192,1
298.120,20
299.288,6
300.407,0
301.092,31
302.287,44
303.139,40
304.068,28
305.238,9
306.305,15
307.039,0
308.209,0
309.136,24
310.013,20
311.188,24
312.109,34
313.282,30
314.159,26
315.083,0
316.253,0
317.139,0
318.057,0
319.228,0
320.162,0
321.127,25
321.909,27
323.127,37
324.005,44
324.883,34
326.149,32
326.979,44
327.859,47
329.221,36
329.953,41
330.829,34
332.146,0
332.926,32
333.947,31
335.025,26
335.900,22
336.880,0
337.997,0
338.873,17
340.043,35
340.972,0
341.993,27
343.017,33
343.946,0
344.821,0
345.699,0
346.920,0
347.795,0
348.721,0
349.891,0
350.770,28
351.697,29
352.867,30
353.745,24
354.669,27
355.840,26
356.860,30
357.688,34
359.202,43
359.690,34
360.618,28
361.788,0
362.713,0
363.590,43
364.785,51
365.735,47
366.574,33
367.735,0
368.614,36
369.539,0
370.708,13
371.607,17
372.512,15
373.681,36
374.902,25
375.485,28
376.704,0
377.581,41
378.467,0
379.873,33
380.555,31
381.576,38
382.611,25
383.672,24
384.501,29
385.628,28
386.505,24
387.436,31
388.599,23
389.485,24
390.354,24
391.579,0
392.450,0
393.328,18
394.546,21
395.424,0
396.302,0
397.520,0
398.422,0
399.276,0
400.495,13
401.664,3
402.298,43
403.516,47
404.345,41
405.272,36
406.590,0
407.319,12
408.246,10
409.415,1
410.296,0
411.220,0
412.438,0
413.362,25
414.193,34
415.664,35
416.290,35
417.362,0
418.337,26
419.263,21
420.141,0
421.603,0
422.237,20
423.114,24
424.335,0
425.376,28
