df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,heart_rate
10.567,46
11.478,46
12.352,46
13.522,46
14.448,46
15.326,81
16.500,82
17.422,83
18.324,83
19.491,82
20.396,82
21.296,82
22.447,82
23.370,82
24.248,82
25.570,82
26.344,82
27.222,82
28.441,82
29.416,82
30.245,82
31.421,82
32.472,82
33.169,82
34.388,81
35.266,81
36.143,81
37.362,81
38.240,81
39.117,81
40.336,81
41.214,81
42.386,81
43.310,81
44.187,81
45.065,83
46.324,82
47.161,82
48.334,77
49.279,77
50.135,75
51.062,76
52.232,76
53.109,76
54.036,76
55.206,75
56.083,76
57.256,76
58.179,77
59.080,76
60.006,76
61.154,76
62.080,76
62.957,76
64.127,76
65.054,76
65.931,61
67.139,66
68.027,67
68.932,67
70.075,66
71.001,66
71.880,66
73.097,66
73.975,66
74.852,66
76.022,66
76.948,58
77.825,56
79.046,56
79.921,58
80.832,57
82.017,56
82.894,56
83.775,56
84.990,56
85.892,56
86.744,56
87.963,56
88.842,56
89.775,56
90.936,56
91.814,56
92.691,56
94.302,54
94.787,62
95.664,67
96.884,63
97.763,62
98.660,62
99.856,62
100.833,56
101.611,58
102.829,59
103.707,67
104.633,72
105.805,73
106.829,74
107.606,74
108.778,74
109.653,74
110.580,74
111.777,74
112.676,74
113.553,74
114.730,74
115.600,75
116.526,75
117.699,76
118.622,75
119.500,75
120.670,75
121.599,75
122.473,77
123.667,79
124.569,80
125.483,80
126.617,80
127.546,79
128.425,79
129.590,79
130.516,79
131.443,79
132.612,79
133.528,79
134.416,73
135.586,76
136.463,66
137.341,61
138.563,58
139.437,61
140.314,61
141.533,60
142.508,60
143.288,60
144.509,60
145.384,60
146.408,60
147.509,60
148.358,60
149.235,70
150.454,61
151.380,61
152.231,62
153.430,62
154.308,61
155.204,61
156.401,61
157.278,61
158.205,61
159.374,61
160.252,66
161.178,64
162.348,63
163.421,63
164.152,63
165.322,63
166.199,63
167.130,63
168.295,63
169.221,63
170.099,63
171.303,63
172.196,63
173.082,63
174.242,59
175.315,56
176.046,54
177.275,56
178.142,56
179.020,55
180.190,55
181.116,55
181.993,55
183.212,55
184.090,55
184.967,55
186.186,55
187.065,55
187.941,55
189.159,55
190.037,55
190.914,55
192.136,50
193.011,51
193.937,51
195.107,51
195.987,50
196.862,50
198.080,50
198.958,50
199.884,50
201.054,59
201.932,55
202.858,62
204.028,67
205.006,63
205.832,62
207.002,62
207.929,62
208.806,62
209.976,62
210.913,62
211.779,62
213.042,62
213.875,62
214.773,62
215.923,62
216.862,62
217.727,62
218.945,62
219.824,62
220.700,65
221.919,64
222.798,68
223.674,70
224.894,68
225.778,67
226.703,75
227.870,72
228.746,71
229.621,73
230.840,72
231.722,72
232.595,72
233.814,72
234.691,73
235.618,74
236.788,74
237.665,75
238.543,74
239.782,74
240.639,74
241.565,74
242.735,74
243.612,79
244.539,81
245.709,81
246.586,81
247.513,80
248.683,80
249.560,80
250.486,80
251.656,80
252.583,80
253.460,80
254.630,80
255.556,76
256.434,78
257.604,77
258.530,77
259.411,77
260.626,77
261.504,77
262.381,76
263.552,76
264.478,76
265.355,76
266.525,76
267.453,76
268.329,76
269.548,66
270.425,73
271.327,76
272.521,78
273.402,75
274.288,75
275.498,75
276.378,75
277.251,75
278.469,75
279.368,76
280.224,76
281.442,75
282.320,75
283.219,75
284.416,76
285.343,76
286.175,76
287.390,75
288.316,75
289.146,75
290.364,75
291.249,75
292.160,75
293.348,75
294.215,75
295.141,76
296.311,78
297.189,77
298.115,76
299.286,76
300.166,76
301.089,76
302.284,76
303.136,76
304.063,76
305.233,76
306.171,76
307.036,76
308.206,76
309.133,79
310.010,77
311.182,72
312.106,64
313.279,61
314.154,64
315.080,64
315.963,63
317.128,63
318.054,63
319.224,63
320.155,63
321.124,63
321.905,66
323.124,68
324.002,68
324.879,67
326.114,59
326.975,58
327.853,56
329.077,58
329.949,58
330.827,57
332.069,57
332.923,57
333.811,57
335.022,57
335.897,57
336.874,57
337.993,57
338.870,57
339.770,55
340.967,55
341.847,65
342.734,68
343.943,64
344.818,63
345.695,64
346.914,64
347.792,63
348.718,63
349.888,63
350.766,69
351.692,73
352.862,77
353.739,73
354.666,73
355.836,73
356.740,73
357.661,73
359.199,73
359.687,81
360.613,78
361.783,77
362.709,77
363.587,77
364.780,69
365.636,72
366.561,72
367.731,72
368.608,61
369.535,65
370.705,66
371.604,66
372.508,65
373.678,71
374.653,69
375.482,78
376.657,74
377.578,73
378.456,73
379.870,66
380.552,63
381.459,60
382.601,62
383.532,62
384.409,61
385.622,61
386.500,61
387.381,63
388.596,62
389.476,61
390.351,61
391.570,61
392.447,61
393.325,61
394.544,61
395.421,61
396.299,61
397.517,61
398.418,61
399.272,61
400.492,61
401.372,61
402.295,57
403.467,55
404.342,53
405.269,52
406.442,53
407.316,53
408.242,52
409.412,52
410.290,52
411.216,52
412.389,52
413.314,52
414.190,52
415.659,52
416.286,52
417.184,52
418.334,52
419.260,61
420.138,57
421.359,56
422.234,56
423.111,56
424.330,56
