df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,rr_int
10.402,4335
10.406,1680
10.499,15
10.502,45
10.694,230
10.698,10
10.755,10
10.763,10
10.769,15
10.792,15
10.795,15
10.801,20
10.804,15
10.843,15
10.987,20
10.990,15
10.993,15
10.996,190
12.644,795
13.328,795
14.156,800
14.302,765
14.839,155
15.569,555
15.572,690
16.254,10
16.950,705
17.768,720
17.910,925
17.916,10
18.300,10
19.568,445
20.542,1270
21.517,1025
21.664,865
23.077,255
24.150,1325
24.881,1140
24.885,705
25.271,10
25.275,455
25.418,10
25.421,15
25.424,20
25.427,25
25.467,15
25.470,10
25.515,10
25.518,15
25.523,10
25.564,15
25.613,10
25.616,10
25.618,10
25.621,15
25.711,210
25.722,10
27.368,735
27.957,905
28.050,735
28.054,10
28.880,820
29.564,20
29.855,685
29.860,200
29.907,10
29.915,25
29.921,35
30.000,15
30.004,10
30.008,10
30.011,10
30.195,25
30.308,100
30.445,270
31.122,10
31.125,755
31.804,10
32.243,745
32.246,400
32.292,10
32.295,10
32.298,10
32.633,20
32.636,320
33.316,10
33.462,780
33.473,150
33.632,110
33.757,20
33.760,10
33.763,15
34.047,395
34.194,15
34.730,135
35.571,545
35.705,750
35.761,10
36.241,165
36.251,560
36.407,10
37.070,170
37.801,615
39.313,830
39.459,1410
39.464,165
39.507,15
39.512,20
39.517,40
39.556,20
39.561,10
39.605,15
39.609,15
39.653,10
39.658,15
39.663,20
39.728,15
39.774,25
39.848,30
39.851,25
39.855,190
40.000,10
41.262,700
41.265,685
41.945,10
41.949,660
42.094,10
42.482,10
43.213,635
43.220,675
44.041,10
44.724,745
44.870,810
45.556,10
46.528,800
46.530,935
46.674,10
46.679,135
46.820,185
46.825,15
46.872,10
46.966,10
46.971,10
47.015,10
47.026,15
47.037,10
47.065,10
47.068,20
47.357,390
47.503,10
47.506,160
47.649,15
47.655,25
47.700,60
47.703,10
47.706,10
48.088,10
48.916,475
48.919,785
48.965,10
49.014,10
49.017,135
49.066,20
49.160,15
49.164,15
49.209,15
49.212,10
49.216,15
49.219,10
49.258,15
49.323,15
49.600,65
50.428,375
50.431,835
50.574,10
50.720,165
50.724,15
50.769,20
50.772,30
50.775,25
50.818,15
50.821,10
50.823,10
50.827,15
50.967,20
51.257,15
51.259,425
52.085,10
52.917,825
53.061,845
53.212,310
53.217,20
53.646,460
53.889,15
54.084,300
54.090,10
54.095,10
54.331,15
55.157,385
55.163,760
55.986,10
56.668,775
56.672,810
56.961,10
56.964,190
57.009,10
57.013,10
57.015,10
57.497,25
57.500,560
58.327,10
58.764,810
59.155,340
59.886,425
59.889,790
59.983,15
59.987,10
60.137,15
60.141,15
60.144,210
60.279,10
60.425,90
60.428,20
60.571,80
60.575,15
61.397,1070
61.403,15
61.543,15
61.547,20
61.690,70
61.693,40
61.696,40
61.699,60
61.836,165
62.665,730
64.471,130
66.273,1695
66.573,1930
66.669,295
66.955,10
66.958,380
68.076,20
68.081,1075
68.222,10
68.228,10
68.418,270
68.423,10
68.628,190
68.759,10
68.798,150
68.808,15
68.813,10
68.817,15
68.824,40
69.051,225
69.056,15
69.197,75
69.200,10
69.246,10
69.249,85
69.252,20
69.734,495
69.737,10
69.880,15
70.026,220
70.029,10
71.538,460
71.540,1090
72.221,10
72.805,705
73.049,780
74.860,1390
75.291,565
75.583,340
75.587,285
77.388,840
78.361,1000
78.365,950
78.458,10
78.510,10
78.605,245
78.607,10
78.751,175
78.755,10
78.800,10
78.804,15
78.806,15
78.897,10
78.901,10
78.949,10
78.951,15
79.195,335
79.872,10
80.411,615
80.555,675
80.701,10
80.703,140
80.749,20
80.753,15
80.756,15
81.139,15
81.822,370
81.825,740
81.968,10
81.971,130
82.358,15
82.367,425
83.040,10
83.048,615
83.771,10
84.330,705
84.600,595
84.893,240
85.139,535
86.549,1415
87.622,10
87.625,1205
87.673,15
87.676,10
87.787,10
88.353,15
89.358,565
89.426,1080
89.718,25
89.721,335
89.769,10
89.864,10
90.159,350
91.131,255
91.135,820
91.375,10
91.378,15
91.547,290
91.667,15
91.961,250
92.106,320
93.914,1025
95.424,615
96.786,1740
97.664,1390
97.760,875
98.589,10
98.592,960
100.295,10
100.444,1700
100.538,195
100.542,115
100.590,10
100.593,10
100.685,10
100.688,20
100.733,25
100.736,25
100.740,15
100.978,320
101.806,10
102.634,780
102.781,805
102.927,215
103.463,40
104.292,560
105.023,840
105.121,820
105.856,10
106.000,805
106.680,10
106.689,810
107.509,10
108.338,820
109.167,805
109.849,800
110.678,805
111.554,815
111.559,800
112.396,10
112.433,815
112.481,10
112.627,305
113.896,525
114.723,770
114.877,755
114.918,215
114.924,10
114.929,10
114.933,10
115.049,10
115.167,10
115.176,15
115.410,15
115.555,500
115.747,10
116.236,230
117.063,535
117.113,845
117.209,15
117.212,200
117.404,10
117.407,10
117.452,10
117.455,15
117.459,10
117.504,15
117.940,30
117.943,585
118.037,15
118.045,10
118.089,15
119.452,35
120.133,1375
120.136,795
120.962,10
120.965,770
121.255,10
121.258,225
121.303,15
