df_hash,22ZHK4.02YP5X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.LGCH
person_label,V27
date_time_start,2025-08-06_10-40-12.534000_+03
date_time_start_unix,1754458812.534
date_time_end,2025-08-06_10-48-57.375000_+03
length_difference_noticed,no

time,ppg_quality
57.413,72
58.423,79
60.443,84
62.463,13
63.473,3
73.563,45
75.583,59
77.603,57
78.613,61
79.623,44
82.653,53
84.673,43
86.693,36
88.713,37
90.733,34
91.743,21
93.763,2
95.783,13
96.793,21
97.803,23
99.823,30
100.833,44
101.843,63
102.853,83
104.873,96
106.893,100
108.913,120
110.933,121
111.943,124
112.953,127
115.983,129
116.993,128
118.003,122
120.023,115
122.043,111
123.053,109
125.073,114
126.083,113
127.093,88
129.113,94
131.133,73
133.153,65
135.173,41
137.193,48
138.203,41
140.223,8
142.243,23
144.263,41
146.283,21
148.303,1
149.313,37
151.333,24
153.353,16
155.373,11
156.383,14
157.393,19
159.413,12
160.423,14
166.483,4
167.493,16
169.513,23
170.523,26
171.533,33
172.543,42
173.553,49
175.573,51
177.593,39
179.613,81
181.633,74
182.643,76
183.653,75
184.663,74
185.673,73
186.683,84
187.693,89
188.703,66
190.723,38
192.743,39
194.763,32
195.773,39
196.783,38
197.793,34
198.803,35
200.823,37
201.833,46
203.853,43
204.863,45
205.873,39
207.893,18
209.913,36
210.923,32
212.943,35
214.963,23
216.983,59
219.003,55
220.013,39
221.023,32
222.033,32
224.053,30
226.073,26
228.093,20
230.113,21
232.133,29
235.163,46
237.183,60
239.203,69
241.223,79
243.243,86
245.263,77
246.273,75
248.293,70
250.313,64
251.323,61
252.333,48
254.353,58
255.363,63
256.373,63
257.383,57
259.403,47
261.413,45
263.433,47
265.453,48
267.473,33
268.483,38
269.493,47
270.503,54
272.523,55
274.543,59
275.553,56
276.563,58
277.573,69
278.583,70
279.593,69
281.613,86
283.633,92
285.653,104
287.673,91
288.683,102
289.693,99
290.703,87
292.723,70
294.743,80
296.763,85
297.773,92
300.803,79
302.823,68
303.833,45
305.853,11
307.873,2
309.893,8
311.913,21
312.923,24
313.933,33
314.943,40
316.963,71
318.983,83
321.003,79
322.013,81
323.023,93
324.033,100
326.053,93
328.073,79
330.093,90
331.103,88
332.113,84
334.133,53
337.163,60
339.183,64
341.203,55
343.223,71
344.233,81
346.253,87
348.273,73
350.293,71
352.313,53
354.333,49
355.343,44
357.363,39
358.373,37
359.383,39
361.403,43
363.423,43
365.443,45
366.453,48
368.473,46
369.483,47
372.513,50
374.533,50
376.553,59
378.573,61
379.583,63
380.593,67
381.603,68
383.623,68
385.643,76
387.663,56
389.683,39
391.703,28
392.713,23
393.723,19
394.733,8
398.773,21
400.793,42
402.813,49
404.833,61
405.843,60
407.863,39
409.883,25
410.893,15
413.923,24
414.933,16
416.953,17
418.973,57
419.983,66
420.993,72
422.003,70
423.013,71
425.033,67
428.063,49
430.083,29
432.103,26
434.123,24
436.143,36
438.163,53
439.173,56
441.193,73
443.213,72
444.223,63
446.243,56
447.253,50
449.273,48
451.293,44
452.303,44
454.323,45
456.343,52
458.363,52
460.383,62
461.393,63
463.413,58
465.433,77
467.453,59
469.473,84
471.493,46
472.503,48
474.523,55
476.543,51
478.563,69
480.583,81
482.603,101
484.623,91
485.633,86
487.653,79
488.663,80
489.673,19
490.683,14
491.693,10
493.713,12
495.733,11
497.753,7
499.773,29
500.783,33
502.803,28
503.813,12
508.863,11
509.873,41
515.933,10
517.953,5
520.983,73
521.993,77
