df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,quality
20.417,55
21.297,65
22.466,65
23.392,69
24.270,67
25.484,67
26.366,38
27.244,26
28.458,40
29.448,64
30.222,62
31.529,69
32.311,61
33.335,54
34.456,55
35.286,56
36.165,53
37.432,66
38.501,71
39.138,73
40.357,63
41.427,56
42.160,66
43.621,62
44.208,17
45.085,24
46.306,12
47.179,0
48.060,1
49.322,0
50.179,0
51.031,19
52.398,39
53.128,63
54.053,70
55.223,71
56.100,68
56.978,68
58.203,66
59.077,72
60.001,75
61.170,66
62.061,55
62.974,61
64.147,64
65.022,46
65.948,55
67.212,49
67.995,31
69.166,54
70.092,76
71.021,75
72.187,81
73.357,82
73.992,81
74.872,78
76.039,75
76.965,67
77.844,66
79.012,51
79.989,25
80.861,0
81.995,0
83.056,7
83.836,3
84.969,3
86.129,0
86.764,20
87.976,24
88.868,46
89.738,62
90.953,73
92.125,73
92.808,70
93.957,61
94.853,65
95.733,70
96.949,64
97.875,40
98.658,44
100.169,45
100.754,37
101.632,38
102.851,42
103.728,47
104.846,61
105.828,47
106.729,28
107.578,30
108.897,59
109.680,69
110.601,55
111.819,67
112.844,70
113.575,74
114.766,72
115.624,73
116.548,72
117.723,66
118.596,72
119.582,72
120.695,71
121.571,70
122.499,71
123.760,66
124.543,68
125.479,73
126.640,55
127.517,28
128.443,29
129.708,30
130.490,36
131.561,42
132.586,31
133.753,0
134.436,22
135.570,29
136.487,39
137.364,81
138.537,69
139.461,61
140.338,64
141.508,72
142.434,72
143.312,68
144.520,70
145.409,67
146.285,67
147.454,63
148.476,65
149.307,65
150.724,58
151.356,64
152.259,65
153.497,61
154.329,67
155.206,31
156.427,49
157.399,48
158.180,46
159.398,46
160.279,47
161.155,50
162.374,28
163.253,15
164.129,13
165.346,0
166.236,0
167.101,0
168.367,0
169.437,0
170.123,0
171.318,21
172.170,29
173.099,44
174.458,32
175.290,22
176.118,15
177.267,20
178.361,32
179.044,39
180.214,39
181.285,41
182.112,12
183.479,14
184.129,4
184.992,2
186.257,34
187.088,37
188.205,27
189.135,19
190.307,0
190.938,21
192.133,32
193.035,23
193.962,0
195.082,0
196.305,25
197.031,0
198.107,0
199.177,0
200.005,17
201.076,0
201.956,18
202.834,0
204.052,18
204.930,13
205.808,16
207.027,0
207.901,0
224.871,59
225.747,70
226.817,68
228.087,22
228.769,0
229.650,0
230.863,0
231.740,26
232.621,0
233.792,5
234.812,19
235.742,14
236.765,0
237.693,26
238.569,22
239.838,23
240.711,28
241.545,30
242.713,0
243.640,36
244.519,34
245.687,26
246.610,0
247.492,21
248.661,27
249.587,15
250.465,0
251.639,0
252.561,16
253.731,20
254.609,25
255.535,25
256.702,29
257.631,0
258.753,32
259.386,29
260.605,29
261.484,0
262.360,0
263.579,29
264.458,43
265.335,42
266.553,42
267.430,56
268.311,79
269.527,67
270.406,0
271.284,0
272.508,0
273.628,0
274.355,0
275.507,0
276.354,0
277.280,28
278.451,29
279.326,14
280.262,32
281.450,34
282.543,32
283.228,35
284.737,43
285.274,50
286.200,70
287.370,60
288.248,37
289.175,47
290.344,43
291.274,43
292.148,28
293.318,33
294.244,34
295.316,44
296.445,48
297.264,47
298.095,53
299.362,47
300.192,42
301.166,35
302.288,38
303.360,34
304.048,24
305.602,22
306.189,31
307.017,37
308.236,26
309.113,32
309.991,36
311.209,43
312.087,46
312.991,51
314.183,53
315.068,62
315.939,73
317.159,75
318.034,71
319.055,76
320.132,74
321.300,73
321.934,68
323.253,68
324.274,67
324.908,63
326.124,66
326.956,63
327.979,61
329.100,63
330.173,64
330.856,57
332.037,64
332.952,29
333.876,30
335.001,0
335.959,0
336.804,0
338.267,0
338.900,26
339.804,0
340.948,0
341.874,16
342.752,22
344.064,24
345.144,26
345.725,35
346.946,49
347.834,52
348.701,40
349.919,24
350.795,31
351.673,17
352.892,30
353.770,30
354.648,24
355.917,22
356.743,26
357.620,23
359.238,0
359.721,0
360.645,0
361.861,0
362.691,28
363.618,0
364.836,0
365.664,0
366.592,0
367.761,0
368.638,24
369.805,57
370.735,63
371.661,65
372.828,70
373.708,69
374.634,72
375.755,68
376.682,65
377.800,62
378.680,61
379.658,62
380.582,54
381.460,64
382.630,68
383.584,68
384.434,39
385.746,40
386.529,30
387.407,32
388.674,31
389.511,21
390.381,29
391.553,63
392.480,68
393.406,63
394.817,71
395.451,66
396.365,74
397.500,66
398.425,69
399.302,72
400.769,71
401.398,67
402.325,68
403.691,68
404.415,71
405.250,64
406.469,69
407.443,73
408.224,75
409.493,65
410.320,64
411.197,67
412.417,68
413.294,66
414.171,62
415.390,60
416.267,61
417.291,61
418.364,68
419.241,70
420.168,57
421.724,55
422.215,59
423.169,57
424.311,56
425.189,60
426.115,69
427.287,70
428.165,70
429.381,71
430.261,70
431.136,72
432.063,70
433.383,67
434.208,66
435.036,69
436.206,72
437.425,73
438.010,70
439.180,72
440.350,71
440.984,73
442.300,71
443.081,70
443.958,70
445.128,71
446.298,70
446.932,70
448.539,75
449.028,78
449.951,72
451.462,70
