df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,rr_int
10.177,3975
10.180,1615
10.420,260
10.423,10
10.566,105
10.572,150
10.860,10
11.249,565
11.688,35
12.809,420
13.053,1220
13.057,165
13.101,20
13.105,10
13.108,15
13.199,15
13.202,20
13.205,30
13.345,175
13.348,10
14.467,550
14.613,565
14.617,150
14.666,55
14.670,15
14.860,15
15.442,300
15.978,555
16.293,555
16.563,160
17.099,400
17.784,560
17.928,610
17.932,160
17.976,10
17.980,15
17.983,15
18.074,10
18.077,10
18.101,15
18.366,310
18.370,10
19.439,565
19.585,550
19.588,160
19.733,85
19.744,10
19.755,10
20.075,265
21.014,575
21.245,535
21.535,10
22.120,550
22.125,545
22.656,10
23.193,550
23.777,525
24.314,540
24.997,580
25.581,625
26.264,675
26.556,720
26.949,165
27.531,480
28.215,615
28.750,595
29.456,635
29.579,620
30.017,205
30.554,400
30.705,620
30.992,10
30.997,300
31.139,230
31.383,185
31.535,135
32.358,260
32.503,610
32.507,205
32.555,10
32.566,10
32.569,10
32.650,30
33.478,300
34.161,650
34.164,615
34.307,10
34.310,185
34.746,25
34.750,385
35.429,10
35.969,630
36.696,625
36.793,665
36.798,180
36.842,10
36.939,20
36.945,15
37.439,15
37.915,405
38.515,640
38.551,585
39.182,10
39.725,585
40.304,550
40.840,645
41.543,590
41.817,605
42.107,10
42.110,565
42.253,10
42.256,215
42.351,10
42.354,85
42.497,195
44.349,1060
45.275,760
45.280,925
45.380,10
45.422,45
45.427,80
47.080,1670
48.737,10
48.785,1695
49.029,245
49.049,20
49.078,15
49.084,10
49.090,15
49.326,235
50.541,580
51.127,640
51.662,575
52.246,580
52.250,615
52.929,10
53.075,610
53.079,180
53.467,20
54.199,410
54.733,610
55.172,565
55.879,555
56.390,575
56.927,570
57.512,565
58.081,590
58.242,560
58.246,195
58.250,10
58.361,15
58.632,15
59.169,345
59.855,585
60.438,615
60.680,640
61.119,200
61.123,460
61.804,10
62.386,645
62.923,595
63.068,580
63.218,265
64.049,280
64.580,570
65.165,570
65.168,610
65.847,10
66.530,655
67.217,715
67.361,680
67.944,10
68.479,645
69.172,610
69.749,635
70.429,665
70.576,685
71.112,160
71.115,475
71.697,10
72.380,625
73.062,625
73.649,655
73.656,635
74.186,10
75.018,605
75.023,590
75.452,170
75.991,400
76.669,590
77.254,650
77.950,680
78.086,640
78.473,10
79.156,595
80.277,675
80.423,1090
80.427,185
80.570,10
80.573,10
80.866,40
81.008,280
81.012,90
81.021,105
81.108,10
81.111,10
82.080,270
82.375,835
83.061,310
83.494,600
83.741,540
83.786,175
83.789,35
84.031,15
84.616,300
85.152,565
85.688,560
86.419,590
86.955,635
87.638,625
88.225,615
88.372,595
88.479,10
88.759,205
89.441,380
90.026,615
90.711,625
91.246,620
91.830,595
92.423,570
92.955,555
93.488,570
94.027,560
94.608,575
95.291,590
95.845,590
96.412,595
96.954,545
97.777,625
98.606,560
98.899,1165
99.045,275
99.048,10
99.145,10
99.148,15
99.191,195
99.194,10
100.313,550
100.848,535
101.385,545
101.824,530
102.360,545
102.949,520
103.481,520
104.066,550
104.602,580
105.284,620
105.967,700
106.698,705
107.235,650
107.917,610
108.505,640
109.185,625
109.721,610
110.306,580
110.842,565
111.427,570
112.110,600
112.645,610
113.231,605
113.917,605
114.059,590
114.063,185
114.108,10
114.477,15
114.986,355
115.570,580
116.107,565
116.703,575
117.228,570
117.813,545
118.349,560
118.885,580
119.635,595
120.183,595
120.739,595
121.274,580
121.810,555
122.399,545
122.934,570
123.468,545
124.055,560
124.589,560
125.126,555
125.710,545
126.831,550
126.977,1155
128.050,170
128.053,1155
129.610,20
129.714,1475
129.856,250
129.903,10
130.683,410
131.566,395
132.099,955
132.243,560
132.632,45
132.635,410
133.071,10
134.195,510
134.341,1080
134.387,175
134.443,25
134.585,15
134.729,10
135.167,290
135.703,520
136.240,520
136.833,520
137.510,530
137.897,550
138.482,560
139.018,570
139.604,560
139.996,550
140.676,550
141.261,565
141.797,580
142.385,565
142.920,570
143.456,560
144.040,550
144.576,540
145.209,560
145.843,565
145.846,560
146.234,215
146.818,360
147.355,590
147.500,570
147.939,170
148.487,370
149.061,600
149.743,600
150.279,635
150.868,595
151.402,600
152.089,555
152.620,595
153.204,555
153.350,625
153.353,150
153.356,25
153.502,10
153.744,10
153.747,280
154.624,10
154.865,1190
156.275,1270
156.279,110
156.327,15
156.330,15
156.665,10
157.250,375
157.786,630
157.933,530
158.079,260
158.908,290
159.590,610
160.127,575
160.711,595
161.248,590
161.540,540
161.833,280
162.223,345
162.517,365
162.808,260
163.636,310
164.612,840
165.732,985
165.735,1140
166.951,10
167.537,1260
168.072,555
169.193,510
169.443,1200
169.879,260
170.448,320
170.997,605
171.399,630
171.679,290
172.216,305
172.509,600
172.801,535
173.630,905
174.465,315
175.140,505
176.701,640
177.237,1555
177.529,625
178.602,195
178.895,1100
179.921,345
180.552,1040
181.673,670
182.117,1120
182.356,340
183.484,365
183.769,790
185.037,560
185.427,1295
186.263,425
187.815,855
188.211,1550
