df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,omega
145.317,0.599
181.823,0.601
226.047,0.602
226.594,0.608
230.479,0.614
235.894,0.621
239.741,0.628
381.334,0.718
382.487,0.727
383.853,0.730
391.064,0.727
393.361,0.718
393.845,0.709
394.528,0.706
394.972,0.703
395.649,0.703
398.682,0.701
401.839,0.697
403.495,0.697
404.718,0.697
405.937,0.701
407.890,0.701
408.422,0.697
413.883,0.697
417.191,0.697
424.269,0.697
424.409,0.689
426.841,0.689
430.122,0.680
430.796,0.680
431.263,0.680
432.018,0.667
432.706,0.667
436.749,0.667
443.718,0.652
448.026,0.645
450.194,0.645
452.147,0.645
467.606,0.645
