df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,ppg_quality
57.417,57
59.437,65
60.447,64
62.467,74
64.487,76
66.507,74
68.517,79
71.547,81
73.567,81
75.587,85
77.607,84
79.627,99
82.657,98
84.677,86
86.697,79
88.717,79
89.727,63
90.737,57
91.747,56
92.757,62
93.767,68
95.787,82
96.797,84
97.807,92
99.827,92
101.847,72
103.867,66
104.877,65
106.897,64
108.917,52
110.937,65
112.957,80
114.977,84
115.987,86
118.007,87
120.027,89
122.047,91
123.057,91
124.067,93
126.087,93
127.097,74
129.117,67
131.137,58
133.157,51
134.167,51
136.187,44
137.197,57
138.207,59
140.227,73
142.247,85
144.267,87
146.287,97
148.307,104
149.317,104
150.327,104
151.337,105
153.357,107
155.377,87
157.397,60
158.407,55
160.427,34
162.447,29
164.467,16
166.487,33
168.507,36
169.517,43
170.527,52
171.537,57
173.557,26
177.597,14
179.617,28
181.637,35
182.647,47
184.667,52
186.687,55
188.707,23
196.787,19
197.797,32
199.817,37
202.847,25
203.857,28
205.877,25
207.897,31
208.907,49
210.927,77
212.947,87
213.957,84
215.977,71
216.987,70
217.997,55
220.017,29
222.037,27
224.057,32
226.077,46
228.097,66
230.117,97
231.127,103
233.147,88
235.167,77
236.177,72
237.187,68
238.197,71
239.207,52
242.237,44
243.247,81
244.257,78
246.277,82
248.297,80
249.307,78
250.317,70
252.337,42
254.357,15
256.377,11
262.437,8
263.447,4
269.507,13
271.527,16
272.537,20
274.557,34
275.567,45
276.577,66
278.597,50
280.617,39
282.637,59
283.647,59
284.657,57
285.667,51
287.687,48
289.707,54
291.727,56
292.737,55
293.747,61
294.757,60
296.777,60
298.797,72
300.817,83
302.837,71
304.857,76
305.867,75
307.887,77
308.897,72
309.907,72
311.927,82
313.947,59
315.967,46
317.987,42
318.997,48
320.007,47
321.017,41
323.037,42
324.047,51
325.057,58
326.067,56
327.077,55
328.087,55
329.097,50
330.107,48
332.127,62
334.147,68
336.167,62
338.187,70
340.207,85
341.217,83
342.227,75
343.237,65
344.247,57
345.257,61
347.277,74
349.297,79
351.317,49
352.327,45
353.337,57
354.347,62
356.367,57
357.377,59
358.387,53
359.397,41
360.407,33
362.427,38
364.447,20
366.467,28
367.477,14
369.497,11
371.517,33
373.537,59
375.557,53
377.577,49
379.597,53
382.627,70
384.647,79
386.657,74
388.677,65
390.697,63
391.707,62
392.717,57
393.727,52
395.747,38
397.767,60
399.787,69
401.807,58
404.837,57
405.847,56
406.857,54
408.877,56
409.887,60
410.897,63
412.917,72
415.947,86
417.967,90
419.987,79
422.007,78
423.017,82
425.037,84
427.057,75
429.077,81
431.097,78
433.117,71
435.137,71
437.157,77
438.167,72
440.187,62
442.207,67
444.227,62
446.247,54
449.277,65
451.297,71
452.307,74
453.317,79
455.337,85
457.357,86
460.387,87
462.407,86
464.427,84
466.447,78
468.467,61
469.477,52
470.487,51
471.497,47
473.517,44
475.537,41
476.547,18
477.557,83
479.577,85
481.597,87
483.617,76
484.627,66
485.637,72
486.647,86
487.657,57
488.667,55
489.677,54
490.687,52
491.697,49
