df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,acc_mag
4.322,1.005
4.352,1.012
4.382,0.994
4.412,0.986
4.442,0.991
4.472,1.000
4.502,1.005
4.532,1.005
4.562,1.005
4.592,1.004
4.622,1.001
4.652,0.998
4.682,0.999
4.712,0.996
4.742,0.993
4.772,0.996
4.802,0.995
4.832,1.017
4.862,1.000
4.892,1.010
4.922,1.005
4.952,1.010
4.982,1.015
5.012,1.009
5.042,1.008
5.072,1.008
5.102,1.008
5.132,1.007
5.162,1.004
5.192,0.998
5.222,1.013
5.252,1.003
5.282,0.999
5.312,1.013
5.342,1.017
5.372,1.006
5.402,1.003
5.432,1.008
5.462,1.011
5.492,1.001
5.522,1.004
5.552,1.006
5.582,1.010
5.612,1.005
5.642,1.009
5.672,1.016
5.702,1.012
5.732,1.010
5.762,1.012
5.792,1.006
5.822,1.002
5.852,1.003
5.882,1.009
5.912,1.016
5.942,1.011
5.972,1.006
6.002,1.010
6.032,1.009
6.062,1.010
6.092,1.006
6.122,1.014
6.152,1.005
6.182,1.000
6.212,1.008
6.242,1.015
6.272,1.010
6.302,1.013
6.332,1.014
6.362,1.005
6.392,1.005
6.422,1.000
6.452,1.010
6.482,1.013
6.512,1.005
6.542,1.008
6.572,1.011
6.602,1.004
6.632,1.007
6.662,1.008
6.692,1.006
6.722,1.003
6.752,1.007
6.782,1.016
6.812,1.011
6.842,1.009
6.872,1.014
6.902,1.006
6.932,1.003
6.962,1.003
6.992,1.010
7.022,1.011
7.052,1.005
7.082,1.003
7.112,1.003
7.142,1.010
7.172,1.011
7.202,1.014
7.232,1.007
7.262,1.006
7.292,1.002
7.322,1.000
7.352,1.013
7.382,1.007
7.412,1.010
7.442,1.013
7.472,1.008
7.502,1.006
7.532,1.009
7.562,1.007
7.592,1.015
7.622,1.008
7.652,1.007
7.682,1.004
7.712,1.011
7.742,1.011
7.772,1.011
7.802,1.012
7.832,1.010
7.862,0.999
7.892,1.000
7.922,1.012
7.952,1.017
7.982,1.009
8.012,1.005
8.042,1.003
8.072,1.008
8.102,1.012
8.132,1.003
8.162,1.012
8.192,1.007
8.222,1.005
8.252,1.006
8.282,1.009
8.312,1.008
8.342,1.008
8.372,1.013
8.402,1.011
8.432,0.999
8.462,1.004
8.492,1.006
8.522,1.011
8.552,1.008
8.582,1.009
8.612,1.013
8.642,1.002
8.672,1.001
8.702,1.004
8.732,1.015
8.762,1.010
8.792,1.005
8.822,1.010
8.852,1.002
8.882,1.009
8.912,1.013
8.942,1.013
8.972,1.011
9.002,1.002
9.032,1.004
9.062,1.004
9.092,1.011
9.122,1.011
9.152,1.008
9.182,1.013
9.212,1.007
9.242,1.010
9.272,1.009
9.302,1.010
9.332,1.011
9.362,1.012
9.392,1.008
9.422,1.008
9.452,1.005
9.482,1.008
9.512,1.008
9.542,1.009
9.572,1.007
9.602,1.006
9.632,1.003
9.662,1.005
9.692,1.010
9.722,1.004
9.752,1.009
9.782,1.013
9.812,1.006
9.842,1.009
9.872,1.009
9.902,1.011
9.932,1.013
9.962,1.006
9.992,1.005
10.022,1.006
10.052,1.010
10.082,1.009
10.112,1.007
10.142,1.009
10.172,1.006
10.202,1.001
10.232,1.000
10.262,1.010
10.292,1.012
10.322,1.008
10.352,1.008
10.382,1.006
10.412,1.000
10.442,1.007
10.472,1.008
10.502,1.010
10.532,1.015
10.562,1.007
10.592,1.002
10.622,1.007
10.652,1.009
10.682,1.010
10.712,1.008
10.742,1.014
10.772,1.004
10.802,1.006
10.832,1.006
10.862,1.015
10.892,1.006
10.922,1.001
10.952,1.004
10.982,1.008
11.012,1.004
11.042,1.004
11.072,1.011
11.102,1.012
11.132,1.005
11.162,0.990
11.192,0.999
11.222,1.005
11.252,1.016
11.282,1.017
11.312,1.010
11.342,1.001
11.372,1.000
11.402,1.008
11.432,1.023
11.462,1.016
11.492,1.013
11.522,1.009
11.552,1.019
11.582,0.998
11.612,1.003
11.642,1.001
11.672,1.006
11.702,0.999
11.732,1.000
11.762,0.998
11.792,1.004
11.822,1.010
11.852,1.013
11.882,1.013
11.912,1.008
11.942,1.005
11.972,1.001
12.002,0.999
12.032,1.004
12.062,1.006
12.092,1.008
12.122,1.006
12.152,0.996
12.182,1.013
12.212,1.006
12.242,1.005
12.272,1.013
12.302,1.012
12.332,1.010
12.362,1.005
12.392,1.002
12.422,0.999
12.452,1.009
12.482,1.016
12.512,1.017
12.542,1.007
12.572,1.004
12.602,1.006
12.632,1.001
12.662,1.007
12.692,1.010
12.722,1.006
12.752,1.007
12.782,1.009
12.812,1.010
12.842,1.011
12.872,1.010
12.902,1.002
12.932,0.999
12.962,1.008
12.992,1.015
13.022,1.006
13.052,1.004
13.082,1.002
13.112,1.008
13.142,1.006
13.172,1.004
13.202,1.013
13.232,1.013
13.262,1.013
13.292,1.007
13.322,1.009
13.352,1.007
13.382,1.006
13.412,1.009
13.442,1.006
13.472,1.005
13.502,1.008
13.532,1.012
13.562,1.006
13.592,1.011
13.622,1.006
13.652,1.005
13.682,1.007
13.712,1.005
