df_hash,22ZHK4.YPQ43H
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.8438
person_label,V24
date_time_start,2025-08-05_11-36-03.957000_+03
date_time_start_unix,1754375763.957
date_time_end,2025-08-05_11-44-20.112000_+03
length_difference_noticed,no

time,battery
13.785,72
23.875,72
33.869,72
43.765,72
53.758,72
63.851,72
73.745,72
83.738,72
93.732,72
103.773,72
113.767,72
123.765,72
133.759,72
143.747,72
153.740,72
163.734,72
173.727,72
183.721,72
193.763,72
203.757,72
213.761,72
223.745,72
233.740,72
243.756,72
253.776,72
263.726,72
273.718,72
283.711,72
293.705,72
303.748,72
313.742,72
323.737,72
333.735,72
343.723,72
353.718,72
363.712,72
373.802,71
383.699,71
393.693,71
403.736,71
413.744,71
423.723,71
433.717,71
443.809,71
453.756,71
463.801,71
473.708,71
483.870,71
