df_hash,22ZHK4.JCYLLW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.AJFP
person_label,V26
date_time_start,2025-08-05_12-01-44.304000_+03
date_time_start_unix,1754377304.304
date_time_end,2025-08-05_12-09-59.263000_+03
length_difference_noticed,no

time,rr_int
9.863,4175
11.081,755
11.666,950
12.641,900
13.470,935
14.445,925
15.421,935
16.248,965
17.224,895
18.060,885
18.881,885
19.710,890
20.685,850
21.660,925
22.635,1035
23.610,985
24.292,870
25.122,780
25.951,825
26.927,880
27.913,960
29.021,1005
30.021,1015
30.831,985
31.728,865
32.483,860
33.458,890
34.433,915
35.408,980
36.383,955
37.358,950
38.187,995
39.015,900
39.844,810
40.819,865
41.846,965
42.769,1000
43.647,970
44.477,880
45.450,820
46.279,900
47.352,935
48.327,1040
49.083,955
49.887,795
50.717,840
51.691,880
52.666,935
53.641,1020
54.470,945
55.298,825
56.273,880
57.248,940
58.223,960
59.198,970
59.881,930
60.896,835
61.831,905
62.806,950
63.781,960
64.610,970
65.298,840
66.121,785
67.245,840
68.077,945
69.046,985
70.070,1010
70.850,980
71.825,880
72.822,925
73.775,995
74.750,1010
75.725,980
76.554,940
77.382,890
78.357,830
79.332,930
80.454,1025
81.429,1030
82.258,970
83.090,855
83.915,870
84.890,920
85.865,965
86.694,875
87.523,870
88.498,925
89.473,960
90.305,965
91.276,870
92.251,940
93.226,955
94.055,975
94.884,870
95.860,880
96.834,925
97.663,950
98.638,915
99.466,880
100.453,945
101.417,975
102.099,905
102.831,750
103.513,705
104.634,725
105.610,1050
106.584,1030
107.559,995
108.515,965
109.219,890
110.192,825
111.021,890
111.996,920
112.828,920
113.799,910
114.628,910
115.515,895
116.286,850
117.163,790
118.093,845
118.918,900
119.893,930
120.868,940
121.697,935
122.526,895
123.387,810
124.232,840
125.207,890
126.133,955
127.108,995
128.090,965
128.912,935
129.790,920
130.618,830
131.447,795
132.458,865
133.397,915
134.470,1065
135.445,1055
136.430,1040
137.395,1030
138.370,975
139.345,950
140.174,885
141.002,840
142.149,945
142.952,1070
143.928,920
144.917,965
145.878,940
146.706,930
147.438,830
148.266,800
149.193,840
150.216,900
151.045,940
151.874,925
152.851,845
153.775,910
154.750,970
155.628,980
156.456,945
157.285,845
158.261,835
159.236,910
160.213,1005
161.283,1020
162.160,1015
162.989,900
163.969,910
164.793,895
165.621,855
166.450,840
167.279,850
167.988,830
168.791,730
169.619,765
170.497,845
171.423,900
172.154,910
172.988,790
173.812,760
174.643,855
175.615,885
176.445,920
177.419,925
178.102,870
178.930,770
179.762,850
180.734,870
181.563,885
182.440,895
183.269,885
184.098,845
184.927,815
185.903,860
186.877,880
187.710,965
188.681,975
189.509,920
190.484,850
191.313,895
192.434,955
193.361,1010
194.338,1000
195.318,1000
196.188,960
197.117,875
198.090,935
199.072,980
200.039,1045
200.868,965
201.843,880
202.818,930
203.800,990
204.914,1010
205.896,1030
206.773,1015
207.693,895
208.673,945
209.644,1040
210.784,980
211.740,1060
212.813,1050
213.787,1030
214.763,1030
215.885,1005
216.858,1005
217.706,980
218.516,975
219.491,835
220.320,870
221.441,940
222.562,1045
223.704,1085
224.659,1120
225.586,1035
226.470,915
227.388,885
228.267,940
228.804,855
228.852,580
228.855,15
229.095,10
230.070,260
230.607,1015
230.611,560
231.045,10
231.874,420
232.556,790
233.238,735
234.071,685
234.773,780
235.643,780
236.465,860
237.285,830
238.260,845
239.089,895
239.925,870
240.210,880
240.264,285
240.747,10
241.575,585
242.266,775
243.086,760
243.964,800
244.646,780
245.475,810
246.331,825
247.284,855
248.125,865
248.936,875
249.911,880
250.594,895
251.423,765
252.302,805
253.226,870
254.062,930
254.933,870
255.859,885
256.736,910
257.565,895
258.542,870
259.381,885
260.201,895
261.173,885
262.001,885
262.830,875
263.659,895
264.342,775
265.268,795
266.145,845
267.023,915
267.998,895
268.826,900
269.662,890
270.484,860
271.352,785
272.141,805
273.019,860
273.945,920
274.677,875
275.505,790
276.339,790
277.016,780
277.900,820
278.528,790
279.357,710
280.088,765
281.063,820
281.892,880
282.723,885
283.549,875
284.526,870
285.353,880
286.228,870
287.010,840
287.693,805
288.522,750
289.350,805
290.088,810
290.913,805
291.739,835
292.714,860
293.543,865
294.372,875
295.201,830
296.029,815
296.907,850
297.543,785
298.418,750
299.247,900
299.931,820
300.816,730
301.588,830
302.590,880
303.390,915
304.219,905
304.950,780
305.635,700
306.464,730
307.290,810
308.266,875
309.097,915
309.934,900
310.898,865
311.580,865
312.409,760
313.241,815
313.969,810
314.798,815
315.627,820
316.455,825
317.284,810
317.967,785
318.705,745
319.580,770
320.355,770
321.038,790
321.720,755
322.549,765
323.527,810
324.209,820
325.084,855
325.913,850
326.888,865
327.717,880
328.545,865
329.381,885
330.349,885
331.180,885
332.009,870
332.835,810
333.567,815
334.396,810
335.226,825
336.053,825
336.882,805
337.711,850
338.699,895
339.514,885
340.497,915
341.172,850
342.001,830
342.976,845
343.806,870
344.640,890
345.608,915
346.529,865
347.266,865
348.094,895
348.924,845
349.801,820
350.483,785
351.312,785
352.141,810
352.970,860
353.652,830
354.481,700
355.358,810
356.289,875
357.264,950
358.234,980
359.115,940
359.941,835
360.769,875
361.744,900
362.720,935
363.402,945
364.231,780
364.914,745
